name_trip,address_trip,name_g,address_g
Criollo,padova,Criollo,padova
Osteria Don,varese,Osteria Don,varese
Assaje,di porta vercellina,Assaje,di porta vercellina
Meravigli 13,meravigli,Bar Meravigli 13,meravigli
L'aragosta innamorata,filippo juvara,L'Aragosta Innamorata,filippo juvara
Apuliami,bernardino bellincione,ApuliaMi,bernardino bellincione
Pasta Mi,piazzale francesco baracca,Pasta mi,piazzale francesco baracca
Porkettiamo,savona,Porkettiamo,savona
Porkettiamo,savona,Porchettiamo,savona 94100
I Capatosta Viale Umbria,perugino   angolo umbria,I Capatosta Viale Umbria,perugino
CÖR Italian Restaurant,galileo galilei,CÖR Italian Restaurant,galileo galilei
La Birreria Italiana Milano Darsena,piazzale cantore   zona darsena,La Birreria Italiana - Milano,piazzale antonio cantore
B87 Bistrot,bonfadini,B87 bistrot,romualdo bonfadini
Joy Grill,enrico noe,Joy Grill,enrico nöe
El Beverin,brera,El Beverin.,brera
Frizzi & Lazzi Bar,evangelista torricelli,Frizzi E Lazzi,evangelista torricelli
Denis Milano Moscova,statuto,Denis Milano Moscova,statuto
La Collina Dei Ciliegi,nicolo fortiguerra,La Collina dei Ciliegi,nicolò fortiguerra
Le Castellet,cola di rienzo,Le Castellet,cola di rienzo
Tairyo,raffaello sanzio,Tairyo,raffaello sanzio
Same Restaurant,crema,Same Restaurant,crema
Moba Milano,giovanni pascoli,MOBA Milano,giovanni pascoli
Buono Ravioli,saverio mercadante,Buono Ravioli,saverio mercadante
Ristorante Le Muse Milano,pasubio,Ristorante Le Muse Milano,pasubio
Osteria Il Piccolo Porto,monza,Osteria Il Piccolo Porto,monza
Inada Ramen,lodovico muratori,Inada ramen,lodovico muratori
Napoli Cafè - BistrO' amburgHeria,carlo imbonati,Napoli Cafè - Bistrò amburgHeria,carlo imbonati
Osteria del Pesce Azzurro,padova   angolo pieri,Osteria Del Pesce Azzurro da Fernando,padova
Arcano,san michele del carso,Arcano,san michele del carso
Dada Cafe,tortona,Dada Cafè,tortona
Tea and Rolls Sushi,bruno cassinari,Tea and Rolls Sushi,bruno cassinari
Steak It Easy,di porta romana,Steak it Easy,di porta romana
Farinami Bicocca,della trivulziana,Farinami Bicocca,della trivulziana
Lele Ristorante,odoardo tabacchi,Lele Ristorante,odoardo tabacchi
Bacaro Montenapoleone,monte napoleone,Cova Montenapoleone,monte napoleone
Bacaro Montenapoleone,monte napoleone,Bacaro Montenapoleone,monte napoleone
Trattoria Da Angela & Valentina,san faustino   zona ortica,Trattoria Angela E Valentina,san faustino
Mozzarella e Pomodoro,volvinio,Mozzarella e Pomodoro,volvinio
Princi,venticinque aprile,Princi,venticinque aprile
Fonderie Milanesi,giovenale,Fonderie Milanesi,giovenale
Nannini Restaurant,monforte,Nannini Restaurant,monforte
Roses Pizza and More,cesare beccaria,Roses Pizza & More,cesare beccaria
Cantun Bakery & Bistrot,severino boezio   zona city life,Cantun Bakery and Bistrot,severino boezio
I Love Poke Filzi,fabio filzi,I Love Poke - Filzi,fabio filzi
Dal Milanese,premuda,Dal Milanese,premuda
Yamakawa,faenza,Yamakawa,faenza
La Bodeguita del Medio,col di lana   vicino a xxiv maggiovicino darsenavicino naviglio,La Bodeguita del Medio,col di lana
Osteria Serafina,luigi sacco,Osteria Serafina,luigi sacco
Ristorante Pizzeria Lepontina,lepontina,Ristorante Pizzeria Lepontina,valtellina lepontina   zona lepontina
El Idolo 2,lorenteggio,El Idolo,lorenteggio
Pizza al Trancio,famagosta,Pizza Al Trancio,famagosta
Oishii,sempione,Oishii,sempione
Hamerica’s,luigi sacco,Hamerica's,luigi sacco
D'ire Mini Bakery & Bistrot,domenico cimarosa,D'Ire - Bakery & Bistrot,domenico cimarosa
Cocciuto,lazzaro spallanzani   angolo melzo,Cocciuto,melzo
Wok of Milan,cenisio,Wok of Milan,cenisio
