Unnamed: 0,Index,business_status,geometry,name_g,place_id,types,address_g,rating_g,total_reviews_g,price_level_g,address_g_backup
7536,32931,OPERATIONAL,"{'lat': 45.5020858, 'lng': 9.182122199999998}",Poke House - Imbonati,ChIJUWfL-7vBhkcRLGiCjeXsSkQ,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",carlo imbonati,4.1,46.0,,"Via Carlo Imbonati, 24, Milano"
7539,32951,OPERATIONAL,"{'lat': 45.5016443, 'lng': 9.188568199999999}",Pancafè,ChIJSz9qR9HAhkcRtrdVRFFKpoE,"['restaurant', 'food', 'point_of_interest', 'establishment']",valassina,4.0,18.0,,"Via Valassina, 42, Milano"
7540,32956,OPERATIONAL,"{'lat': 45.5020556, 'lng': 9.189907999999999}",Sciué Sciué 90 Ristorante Pizzeria,ChIJ4bIXO0vBhkcRUdP4znDJGe0,"['restaurant', 'food', 'point_of_interest', 'establishment']",gioacchino murat,4.1,284.0,1.0,"Via Gioacchino Murat, 72, Milano"
7541,32959,OPERATIONAL,"{'lat': 45.5018975, 'lng': 9.198919100000001}",Ponte d'Oro,ChIJD-K0VyzHhkcREtjhfSIVV-w,"['restaurant', 'food', 'point_of_interest', 'establishment']",piazzale istria,4.2,111.0,1.0,"Piazzale Istria, 12, Milano"
7542,32960,OPERATIONAL,"{'lat': 45.50195339999999, 'lng': 9.1990006}",Wind Rose,ChIJoXs1VizHhkcR7fXk2C8hCTU,"['meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",piazzale istria,4.5,11.0,1.0,"Piazzale Istria, 12, Milano"
7543,32962,OPERATIONAL,"{'lat': 45.50195339999999, 'lng': 9.1990006}",Star,ChIJFXgZP97HhkcRN4JgQBNC5dw,"['restaurant', 'food', 'point_of_interest', 'establishment']",piazzale istria,3.9,8.0,,"Piazzale Istria, 12, Milano"
7545,32965,OPERATIONAL,"{'lat': 45.5019183, 'lng': 9.2121021}",Bi Emme Dieci wine bar,ChIJT5tnsY_HhkcR17wdmqIIPJM,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",greco,4.6,63.0,,"Piazza Greco, 10, Milano"
7546,32966,OPERATIONAL,"{'lat': 45.5020855, 'lng': 9.2113475}",Greco Turkish Kebap Pizzeria,ChIJZeiC7yTHhkcRMaZJUVzeU74,"['restaurant', 'food', 'point_of_interest', 'establishment']",greco,4.4,65.0,1.0,"Piazza Greco, 55, Milano"
7549,32987,OPERATIONAL,"{'lat': 45.5016888, 'lng': 9.2273257}",Brasserie - Ramada Plaza Milano,ChIJ3RarZRrHhkcRHTzBpEVVK2A,"['restaurant', 'food', 'point_of_interest', 'establishment']",stamira dancona,3.6,18.0,,"Via Stamira d'Ancona, 27, Milano"
7550,32988,OPERATIONAL,"{'lat': 45.5017617, 'lng': 9.227457500000002}",Decanter,ChIJdavqjRrHhkcRMCJKzK4d29Y,"['restaurant', 'food', 'point_of_interest', 'establishment']",stamira dancona,4.0,25.0,,"Via Stamira d'Ancona, 27, Milano"
7553,32995,OPERATIONAL,"{'lat': 45.5012431, 'lng': 9.2347221}",Ordina e Gusta,ChIJLxT2jQXHhkcRd7_cmwqH5iQ,"['restaurant', 'food', 'point_of_interest', 'establishment']",agordat,,,,"Via Agordat, 13, Milano"
7557,33034,OPERATIONAL,"{'lat': 45.5028129, 'lng': 9.122665}",Bar Principe,ChIJHRFsLazBhkcRDiVgk2aaPvM,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",certosa,4.6,107.0,1.0,"Viale Certosa, 301, Milano"
7559,33037,OPERATIONAL,"{'lat': 45.502162, 'lng': 9.1243386}",Museum Di Grossale Maria,ChIJx7MuOTXAhkcRNUYKNDEOR7E,"['restaurant', 'food', 'point_of_interest', 'establishment']",certosa,3.3,3.0,,"Viale Certosa, 287, Milano"
7560,33042,OPERATIONAL,"{'lat': 45.5024483, 'lng': 9.124795599999999}",Starfish,ChIJaWSXajXAhkcRbMDbPwHMIg8,"['restaurant', 'food', 'point_of_interest', 'establishment']",certosa,4.3,15.0,,"Viale Certosa, 288, Milano"
7561,33043,OPERATIONAL,"{'lat': 45.50238410000001, 'lng': 9.124900600000002}",Bar 288,ChIJlXfcQTXAhkcRpCweQlcR5SI,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",certosa,3.8,13.0,1.0,"Viale Certosa, 288, Milano"
7562,33051,OPERATIONAL,"{'lat': 45.5023154, 'lng': 9.1281382}",La Botte - Ristorante Pizzeria,ChIJS8rn6ErAhkcRfpK0JOMnZxI,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",vilfredo pareto,4.2,255.0,2.0,"Via Vilfredo Pareto, 3, Milano"
7565,33059,OPERATIONAL,"{'lat': 45.5023034, 'lng': 9.1398797}",Pizzeria Kebab San Ciro,ChIJHc0MeFhMgUcR5HYXFPaZHpY,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",giuseppe montanelli,3.9,30.0,,"Via Giuseppe Montanelli, 2, Milano"
7567,33066,OPERATIONAL,"{'lat': 45.5024062, 'lng': 9.1538129}",Pitstop Milano Pizza Kebab,ChIJ9RJOlf7AhkcRc8oW6u67NxQ,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",raffaele lambruschini,4.3,102.0,,"Via Raffaele Lambruschini, 29, Milano"
7568,33067,OPERATIONAL,"{'lat': 45.5024062, 'lng': 9.1538129}",PoliBov Istanbul Kebap (Politecnico Bovisa),ChIJeTHhov_BhkcRP1i7F4Ge4ig,"['restaurant', 'food', 'point_of_interest', 'establishment']",raffaele lambruschini,4.5,32.0,,"Via Raffaele Lambruschini, 29, Milano"
7570,33069,OPERATIONAL,"{'lat': 45.50242249999999, 'lng': 9.154035700000001}",Gnam Gnam,ChIJFW1Gut7BhkcR-N5WmRc_8P0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",raffaele lambruschini,4.5,10.0,,"Via Raffaele Lambruschini, 27, Milano"
7571,33080,OPERATIONAL,"{'lat': 45.50238270000001, 'lng': 9.1569197}",Pan Sushi,ChIJCxRDafzAhkcRvonMkFdP7kg,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",raffaele lambruschini,4.2,93.0,1.0,"Via Raffaele Lambruschini, 7, Milano"
7572,33081,OPERATIONAL,"{'lat': 45.5024203, 'lng': 9.157025299999999}",Meet Restaurant Bar Take Away,ChIJwdLna_zAhkcRfxBujj3DmZY,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",raffaele lambruschini,3.7,73.0,,"Via Raffaele Lambruschini, 7, Milano"
