,Index,business_status,geometry,name_g,place_id,types,address_g,rating_g,total_reviews_g,price_level_g
11,16,OPERATIONAL,"{'lat': 45.4028435, 'lng': 9.152347899999999}",Panino Giusto,ChIJU5P6SHjDhkcR3r3uHXajH1M,"['restaurant', 'food', 'point_of_interest', 'establishment']","CC Carrefour, Viale Milano Fiori, 23, Milano",3.8,438.0,2.0
24,59,OPERATIONAL,"{'lat': 45.4039192, 'lng': 9.1724335}",Pizzeria Il Molo,ChIJ13yD6ZjEhkcRqupBIvl6VSo,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Costantino Baroni, 244, Milano",4.0,130.0,1.0
25,60,OPERATIONAL,"{'lat': 45.4040433, 'lng': 9.1723005}",Pizzeria Da Kiro Pizza da asporto,ChIJcS-p8ZjEhkcRRFjuY9Kx4f8,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Costantino Baroni, 242, Milano",3.9,47.0,1.0
28,116,OPERATIONAL,"{'lat': 45.404514, 'lng': 9.174146}",Antica Osteria Il Ronchettino,ChIJZexKQpjEhkcRSKnOqLVEEOU,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Lelio Basso, 9, Milano",4.3,1232.0,2.0
37,135,OPERATIONAL,"{'lat': 45.4050454, 'lng': 9.152785100000001}",Sushi Daily Assago,ChIJN9z2447DhkcROxmg2dU22Cg,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Milanofiori Centro Commerciale, Viale Milanofiori, Milano",4.1,7.0,
57,215,OPERATIONAL,"{'lat': 45.4083552, 'lng': 9.1520686}",Vintage Break,ChIJgbTfz2jDhkcR0qZw26mJca8,"['restaurant', 'food', 'point_of_interest', 'establishment']","Piazza degli Incontri, 12, Milano",4.0,345.0,2.0
67,259,OPERATIONAL,"{'lat': 45.40934, 'lng': 9.1513387}",La Piadineria,ChIJNzzRpg_DhkcRWjML2zeTja8,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via del Bosco Rinnovato, 8, Milano",3.0,2.0,1.0
77,334,OPERATIONAL,"{'lat': 45.4124126, 'lng': 9.1737185}",La Pizza Pulcinella,ChIJBcFGuITEhkcRiZH5r5O_BQI,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Costantino Baroni, 12, Milano",4.0,141.0,1.0
78,335,OPERATIONAL,"{'lat': 45.4122049, 'lng': 9.174050000000001}",Braceria Gratosoglio del pascolo verde,ChIJ7XoxyITEhkcRke3livPQYgY,"['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']","Via Costantino Baroni, 1, Milano",3.8,60.0,
84,360,OPERATIONAL,"{'lat': 45.4134441, 'lng': 9.209488200000001}",Locanda Macconago Ristorante,ChIJRYh2IfzEhkcRODTGAkghhj4,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Macconago, 20, Milano",4.4,240.0,2.0
89,382,OPERATIONAL,"{'lat': 45.4140508, 'lng': 9.162860199999999}",Charleston,ChIJRZUFlXzDhkcRpk0sBaJuIIE,"['bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']","Via Icilio Calzolari, 1, Milano",4.0,411.0,2.0
90,383,OPERATIONAL,"{'lat': 45.4140904, 'lng': 9.1629139}",Salcone Sas,ChIJZYMQlXzDhkcRpPXG4oOeZ0k,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Icilio Calzolari, 1, Milano",,,
91,388,OPERATIONAL,"{'lat': 45.4146849, 'lng': 9.1694502}",SAN GAUDIENZO,ChIJwygH8-rFhkcRENsYwTjsLMo,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Gratosoglio, Milano",,,
92,390,OPERATIONAL,"{'lat': 45.4144386, 'lng': 9.175942299999999}",Vita Bistrot,ChIJ6yB9UYTEhkcRqgJyGAhVphc,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via dei Missaglia, 89, Milano",,,
94,404,OPERATIONAL,"{'lat': 45.4155455, 'lng': 9.1695726}",Pizzeria Tramonti,ChIJw0avQYLEhkcR1K_egtGFBQI,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Gratosoglio, 99A, Milano",4.2,93.0,
95,408,OPERATIONAL,"{'lat': 45.414953, 'lng': 9.176276000000003}","Gustop - Ristorante, Bar, Catering",ChIJyzcsAYzEhkcRpViQU-S64JA,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Via Selvanesco, 77, Milano",4.1,111.0,1.0
109,446,OPERATIONAL,"{'lat': 45.4162556, 'lng': 9.1772362}",Pizzeria da Tito,ChIJQc7k1YXEhkcRFdBUhFrjKlw,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Ettore Bugatti, 11, Milano",4.0,89.0,
110,448,OPERATIONAL,"{'lat': 45.4162556, 'lng': 9.1772362}",Bistro' terrazze,ChIJdwib-yXFhkcR0Pz0uVqxkts,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Ettore Bugatti, 11, Milano",4.3,36.0,
111,449,OPERATIONAL,"{'lat': 45.4162556, 'lng': 9.1772362}",Molini Besozzi Marzoli,ChIJQc7k1YXEhkcRI6btHtJ3dHk,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Ettore Bugatti, 11, Milano",,,
112,451,OPERATIONAL,"{'lat': 45.4166489, 'lng': 9.1777515}",Shon Cafè,ChIJ0SrmfobEhkcR_Ok2mucQzVo,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via Ettore Bugatti, 7, Milano",4.1,418.0,1.0
113,454,OPERATIONAL,"{'lat': 45.4159051, 'lng': 9.239568000000002}",Borgo Nuovo Restaurant Lounge,ChIJAdVhfXXFhkcRfNqSKXrq22o,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via San Bernardo, 16, Milano",4.1,246.0,2.0
114,456,OPERATIONAL,"{'lat': 45.41579540000001, 'lng': 9.2401305}",Locanda Chiaravalle,ChIJLeEdfXXFhkcR94FVCoea8IM,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via San Bernardo, 36, Milano",,,
127,517,OPERATIONAL,"{'lat': 45.41715139999999, 'lng': 9.1702899}",Da Max Hamburger House,ChIJ65glVw7FhkcR5WtTAAUN1HY,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Teresa Noce, 5, Milano",,,
128,529,OPERATIONAL,"{'lat': 45.416966, 'lng': 9.178153600000002}",Bugatti Pizza - Pizza al Trancio,ChIJ0decy33FhkcRLe7-f3hcsCk,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via Ettore Bugatti, 5, Milano",4.8,124.0,
155,662,OPERATIONAL,"{'lat': 45.4193261, 'lng': 9.157824800000002}",Fratelli Diversi,ChIJEfq13nnDhkcRt8KjQrFWKi4,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via del Mare, 49, Milano",3.6,512.0,1.0
156,663,OPERATIONAL,"{'lat': 45.4193156, 'lng': 9.157868}",프라텔리 식당,ChIJN1SRtLnDhkcR1N1LuokHtBQ,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via del Mare, 49, Milano",3.0,1.0,
157,664,OPERATIONAL,"{'lat': 45.4188159, 'lng': 9.1745567}","Da kiro,2",ChIJDdAyYXHFhkcRhEkzB8MLXZk,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via Guido de Ruggiero, 8, Milano",5.0,1.0,
158,665,OPERATIONAL,"{'lat': 45.4187756, 'lng': 9.174799600000002}",Pizzeria Mina,ChIJAxpu1YbEhkcRFAW-rz536Cg,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Guido de Ruggiero, 4, Milano",4.1,77.0,1.0
159,670,OPERATIONAL,"{'lat': 45.4191231, 'lng': 9.179327299999997}",A Casa di Rucci Ristorante,ChIJzbZGhxXFhkcRCf0VL31fVl8,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Nicola Romeo, 5, Milano",4.5,189.0,
160,672,OPERATIONAL,"{'lat': 45.4186668, 'lng': 9.237983700000001}",Trattoria Al Laghett,ChIJUXl3zKHFhkcRiHoZYQUxVaY,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Sant'Arialdo, 126, Milano",4.1,697.0,2.0
171,728,OPERATIONAL,"{'lat': 45.41976199999999, 'lng': 9.155415999999999}",Autogrill,ChIJAV-VGnfDhkcRmzRAHY51AWQ,"['restaurant', 'supermarket', 'cafe', 'bar', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']","Via del Mare, 34, Milano",3.4,1513.0,2.0
172,741,OPERATIONAL,"{'lat': 45.4197222, 'lng': 9.1777778}",Cristian Pizzeria Ristorante,ChIJd11HuofEhkcRXq-UrhJM2Rw,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Nicola Romeo, 6, Milano",4.1,278.0,1.0
173,746,OPERATIONAL,"{'lat': 45.4199474, 'lng': 9.192944899999999}",Al Garghet,ChIJ2TuYqYvEhkcRZ6J0guPGTLM,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']","Via Selvanesco, 36, Milano",4.5,4248.0,3.0
200,861,OPERATIONAL,"{'lat': 45.4209299, 'lng': 9.2771977}",Bucataria de acasa,ChIJb8OotHHPhkcR2a3Q1UW_QJ4,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Unica Bolgiano, 9, Milano",4.5,699.0,2.0
207,897,OPERATIONAL,"{'lat': 45.4214956, 'lng': 9.204021400000002}",La Taverna,ChIJ0ys27FnEhkcRepS2oLRBNso,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Giuseppe Ripamonti, 340, Milano",4.1,514.0,2.0
208,898,OPERATIONAL,"{'lat': 45.4215621, 'lng': 9.204149200000002}",Jump In The Past di Pedonesi Rodolfo,ChIJ0ys27FnEhkcRj-QM4VZxjFw,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Giuseppe Ripamonti, 334, Milano",3.6,7.0,
209,901,OPERATIONAL,"{'lat': 45.421906, 'lng': 9.2042276}",Carbonara Ristorante,ChIJySBNjpzFhkcRAXgMoEI5RnA,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Giuseppe Ripamonti, Milano",3.0,1.0,
215,939,OPERATIONAL,"{'lat': 45.4229157, 'lng': 9.167400100000002}",Erba Brusca,ChIJDfnXyoHDhkcRgcYhd6Wg15A,"['restaurant', 'point_of_interest', 'food', 'establishment']","Alzaia Naviglio Pavese, 286, Milano",4.2,981.0,2.0
216,940,OPERATIONAL,"{'lat': 45.4225393, 'lng': 9.1766136}",Trattoria Isola Anita,ChIJ76ds0H3EhkcRYh4U8RswVDA,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via dei Missaglia, 48, Milano",4.2,262.0,2.0
218,956,OPERATIONAL,"{'lat': 45.4227864, 'lng': 9.2821295}",Rossopomodoro,ChIJL1N0qWXPhkcRBqUQtsXvVag,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Strada Provinciale ex Strada Statale 415 Paullese, 415, Milano",3.8,1401.0,2.0
223,974,OPERATIONAL,"{'lat': 45.4234161, 'lng': 9.1653671}",Birrificio Boffalora,ChIJ1Y0yjoHDhkcRYg93WGoYzis,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Boffalora, 15, Milano",4.5,29.0,1.0
224,981,OPERATIONAL,"{'lat': 45.4235541, 'lng': 9.1767477}",Pizzeria 40,ChIJ_auELHzEhkcRv3USTjK6XCM,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via dei Missaglia, 40, Milano",4.4,119.0,1.0
237,1020,OPERATIONAL,"{'lat': 45.4242366, 'lng': 9.168193100000002}",Carlotta Café,ChIJQ1j1VYDDhkcRdL5Eoe3F4jY,"['restaurant', 'food', 'point_of_interest', 'establishment']","Alzaia Naviglio Pavese, 274, Milano",4.2,372.0,2.0
238,1026,OPERATIONAL,"{'lat': 45.4244956, 'lng': 9.203449599999997}",Melara Restaurant,ChIJ7R1JN1rEhkcRZAm9fiVi3_o,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Giuseppe Ripamonti, 294, Milano",4.3,555.0,2.0
242,1064,OPERATIONAL,"{'lat': 45.42567359999999, 'lng': 9.1549405}",Pizzeria Il Maestro,ChIJj9rmTpzDhkcRqY_WWoYbei8,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Cascina Bianca, 22, Milano",3.8,67.0,1.0
243,1066,OPERATIONAL,"{'lat': 45.4254502, 'lng': 9.167737399999998}",CAMBIOPIZZA,ChIJj_ZtmSnDhkcRa9A1kXfBJgo,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Jan Palach, Milano",4.5,192.0,
258,1118,OPERATIONAL,"{'lat': 45.42608459999999, 'lng': 9.169751099999997}",Osteria Della Conca Fallata,ChIJFygFyYDDhkcRfk4vjOQE7CM,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via della Chiesa Rossa, 113, Milano",4.3,388.0,2.0
259,1120,OPERATIONAL,"{'lat': 45.4262058, 'lng': 9.169847299999999}",3z O.k. S.a.s.,ChIJnT6vy4DDhkcR0gkinUEJAQA,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via della Chiesa Rossa, 111, Milano",1.0,1.0,
260,1121,OPERATIONAL,"{'lat': 45.4262665, 'lng': 9.1698909}",Mon Amour,ChIJU_wey4DDhkcRbjD_IEkqmd0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via della Chiesa Rossa, 111, Milano",3.8,176.0,1.0
261,1125,OPERATIONAL,"{'lat': 45.4264761, 'lng': 9.200971700000002}",Il Riccio Di Mare,ChIJ-UQBEVvEhkcR47cISKXx8g0,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Muzio Attendolo Detto Sforza, 5, Milano",4.3,847.0,2.0
262,1128,OPERATIONAL,"{'lat': 45.4263558, 'lng': 9.250322299999999}",McDonald’s Milano Rogoredo,ChIJM-dx-dfFhkcRLTg063w8bDw,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Rogoredo, 110, Milano",4.0,519.0,1.0
263,1129,OPERATIONAL,"{'lat': 45.42591209999999, 'lng': 9.251674}",SANTA SOFIA PIZZA - KEBAP - GRILL,ChIJRfODANTFhkcRSJLyZL8Yv7Y,"['restaurant', 'bar', 'liquor_store', 'grocery_or_supermarket', 'point_of_interest', 'food', 'store', 'establishment']","Via Rogoredo, 119, Milano",4.7,56.0,
264,1130,OPERATIONAL,"{'lat': 45.42591209999999, 'lng': 9.251674}",Birrificio di Ringhiera,ChIJ4bigPpDFhkcR6g6D__NfRmo,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via Rogoredo, 119, Milano",4.9,90.0,
266,1133,OPERATIONAL,"{'lat': 45.4264562, 'lng': 9.2511406}",TRAM Laboratorio del tramezzino veneziano,ChIJvx39TpDFhkcR6oyogbRazCM,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Rogoredo, 113, Milano",4.6,144.0,
276,1179,OPERATIONAL,"{'lat': 45.4267624, 'lng': 9.169440900000001}",Motelombroso,ChIJKSP5g6vDhkcRvjCwS8Q_5UM,"['restaurant', 'food', 'point_of_interest', 'establishment']","Alzaia Naviglio Pavese, 256, Milano",4.7,112.0,
277,1189,OPERATIONAL,"{'lat': 45.42709929999999, 'lng': 9.178510100000002}",Majuda,ChIJwWPvlGnFhkcRafQmqI9ud6Q,"['store', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via dei Missaglia, 13, Milano",4.2,174.0,
278,1195,OPERATIONAL,"{'lat': 45.426966, 'lng': 9.2504501}",SICILY FISH,ChIJYZIzq5HFhkcRtjZNcKgiTSQ,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Rogoredo, 103, Milano",,,
286,1237,OPERATIONAL,"{'lat': 45.4275519, 'lng': 9.139592799999999}",La Corte Della Risaia Ristorante,ChIJZY-oiqbDhkcR7GDwC4xBGhc,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Bardolino, 30, Milano",3.9,398.0,2.0
289,1248,OPERATIONAL,"{'lat': 45.4274586, 'lng': 9.2046373}",pizzeria ilcoccodrillo,ChIJoYIixVrEhkcRtFdHeDioc7A,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via dei Guarneri, 11, Milano",3.9,130.0,1.0
290,1251,OPERATIONAL,"{'lat': 45.4276963, 'lng': 9.2496215}",Ai Due Orsi,ChIJdcCNDZHFhkcRNnmMaZGLQZY,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Privata Fidenza, 1, Milano",4.4,926.0,2.0
291,1253,OPERATIONAL,"{'lat': 45.42764689999999, 'lng': 9.2499766}",Locanda 2 orsi,ChIJYfTMYAHFhkcRcgRuDbN4Lzg,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Privata Fidenza, 4, Milano",5.0,3.0,
295,1289,OPERATIONAL,"{'lat': 45.4291697, 'lng': 9.171538}",Pizzeria Nord & Sud,ChIJA1SukYfDhkcRreLMqiPWjG8,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via della Chiesa Rossa, 73, Milano",4.1,63.0,
296,1293,OPERATIONAL,"{'lat': 45.4290047, 'lng': 9.1798085}",Yankee Burger,ChIJQ7e4QJHFhkcRvCvyz8rNjzk,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Ulisse Dini, 9, Milano",5.0,2.0,
297,1295,OPERATIONAL,"{'lat': 45.4283501, 'lng': 9.202434600000002}",Pizzeria Trattoria Oscar,ChIJn3WMSlvEhkcR377lN1Ejep0,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Giuseppe Ripamonti, 244, Milano",4.2,105.0,1.0
302,1319,OPERATIONAL,"{'lat': 45.4294234, 'lng': 9.1716822}",Cose Nostre,ChIJXR4djofDhkcR-rXygmgZAzU,"['restaurant', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']","Via della Chiesa Rossa, 71, Milano",4.4,2456.0,2.0
303,1320,OPERATIONAL,"{'lat': 45.4296157, 'lng': 9.171822599999999}",San Tommaso,ChIJG7WLjYfDhkcRrWklijTA5RI,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via della Chiesa Rossa, 69, Milano",3.6,43.0,2.0
305,1330,OPERATIONAL,"{'lat': 45.4298733, 'lng': 9.202053299999998}",La bottega della pizza,ChIJd8o_nETEhkcRTNvAJFguTVE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Giuseppe Ripamonti, 218, Milano",4.7,150.0,
306,1331,OPERATIONAL,"{'lat': 45.4292962, 'lng': 9.203334399999997}",Pane e... Delizie,ChIJUZ0ExETEhkcR-hGZBQQ8D3s,"['restaurant', 'point_of_interest', 'food', 'store', 'establishment']","Via Val di Sole, 21, Milano",4.5,157.0,2.0
307,1335,OPERATIONAL,"{'lat': 45.42938609999999, 'lng': 9.256494000000002}",4420 Simple Street Food,ChIJuyoXFzvFhkcRGtTtYSoZ6FU,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Giuseppe Impastato, Milano",5.0,1.0,
317,1372,OPERATIONAL,"{'lat': 45.43035219999999, 'lng': 9.1785983}",Mediterraneo,ChIJVe5AqXDEhkcRhRBqjzr8f9w,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Medeghino, 39, Milano",3.2,169.0,
318,1374,OPERATIONAL,"{'lat': 45.4306944, 'lng': 9.1785329}",Macchupisco,ChIJH4wvU3_FhkcRyc0BrFPj9As,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Medeghino, 34, Milano",4.0,474.0,
319,1377,OPERATIONAL,"{'lat': 45.4308199, 'lng': 9.1995684}",Lo Stacco,ChIJPURUc0PEhkcRlHEbIfY_y5s,"['restaurant', 'night_club', 'food', 'point_of_interest', 'establishment']","Via Noto, 8, Milano",3.9,885.0,2.0
320,1382,OPERATIONAL,"{'lat': 45.43085689999999, 'lng': 9.245864399999999}",Pizzeria da Omar,ChIJ10UPNZTFhkcRMs9KXMJ7Cbs,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Monte Popera, 8, Milano",4.5,142.0,1.0
330,1424,OPERATIONAL,"{'lat': 45.4312716, 'lng': 9.126188299999999}",Gsd Pianeta Verde,ChIJvYQlTVPChkcRPPjsYKpl24A,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Buccinasco, 45, Milano",4.0,602.0,1.0
331,1427,OPERATIONAL,"{'lat': 45.43164439999999, 'lng': 9.173017199999999}",Ò-ste | Birreria e taverna con cucina,ChIJWRHL1JrDhkcRdaXN72zfHrk,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via della Chiesa Rossa, 53, Milano",4.6,13.0,
332,1430,OPERATIONAL,"{'lat': 45.4319111, 'lng': 9.1771089}",Maison Milano,ChIJBxIcGHfEhkcR75R7luyxVg4,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Lodovico Montegani, 68, Milano",4.0,1294.0,2.0
333,1436,OPERATIONAL,"{'lat': 45.4316318, 'lng': 9.1813853}",Alaa,ChIJ5y1xCPLFhkcR8TcpDHZFcVU,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Medeghino, 15, Milano",,,
335,1442,OPERATIONAL,"{'lat': 45.431429, 'lng': 9.201579900000002}",Spq,ChIJMwHjfUPEhkcRCO1rTCQ8y8o,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Giuseppe Ripamonti, 204, Milano",4.2,801.0,2.0
336,1445,OPERATIONAL,"{'lat': 45.43133939999999, 'lng': 9.2435209}",Osteria di Rogoredo,ChIJUdn1MxLFhkcRKKe7335mPV0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Monte Palombino, 2, Milano",4.1,51.0,
337,1446,OPERATIONAL,"{'lat': 45.4314038, 'lng': 9.243675099999997}",Pizzeria Stella di Rogoredo,ChIJEZuAtIvFhkcRZMKcZvin3PE,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Monte Palombino, 2, Milano",3.9,194.0,
338,1447,OPERATIONAL,"{'lat': 45.431822, 'lng': 9.243717100000001}",Kappa's Cafe',ChIJZQzampXFhkcRZL2BD4aS6j8,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Monte Palombino, 7, Milano",4.5,21.0,
339,1451,OPERATIONAL,"{'lat': 45.4316587, 'lng': 9.244860700000002}",Napoli.it,ChIJ9-bdXnXFhkcRL_3zcQx-Jw8,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Freiköfel, 15, Milano",4.1,17.0,
351,1502,OPERATIONAL,"{'lat': 45.4322005, 'lng': 9.1732557}",L'Isola della Pizza,ChIJA0dt8yHDhkcRBpo34gO1Q-g,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via della Chiesa Rossa, 47, Milano",4.2,787.0,2.0
352,1508,OPERATIONAL,"{'lat': 45.4323977, 'lng': 9.177444999999999}",Ristorante Villa,ChIJH98PSUnFhkcRrdGuCaItAX0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Lodovico Montegani, 64, Milano",4.1,87.0,1.0
354,1519,OPERATIONAL,"{'lat': 45.4328071, 'lng': 9.1825852}",Felice,ChIJfZejSszFhkcRz_OVqfk-kag,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Medeghino, 4, Milano",4.2,56.0,
355,1521,OPERATIONAL,"{'lat': 45.4328504, 'lng': 9.200985299999997}",Crostone.it,ChIJof-w2wTFhkcRl0oqtvTU_TA,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Giuseppe Ripamonti, 190, Milano",5.0,12.0,
363,1553,OPERATIONAL,"{'lat': 45.4329838, 'lng': 9.108404799999999}",Openshop24 Snack Bevande Panini,ChIJ3R36aFzChkcR5YDwUvIkrto,"['restaurant', 'point_of_interest', 'food', 'establishment']",Italy,,,
372,1602,OPERATIONAL,"{'lat': 45.433305, 'lng': 9.149904}",Osteria Bel Sit,ChIJnxSzUb3DhkcREFfID-_dKFs,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Barona, 51, Milano",4.1,449.0,2.0
373,1604,OPERATIONAL,"{'lat': 45.4337057, 'lng': 9.1641474}",Ristorante Il Ciclone 2,ChIJo1mOcYXDhkcRDv3lTo-bgEs,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via San Paolino, 2, Milano",3.7,66.0,1.0
374,1607,OPERATIONAL,"{'lat': 45.43310140000001, 'lng': 9.176419}",Ristorante Le Delizie Della Mamma,ChIJVQaxodXFhkcRd607g6IIHcc,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Neera, 11, Milano",4.7,7.0,
377,1625,OPERATIONAL,"{'lat': 45.433456, 'lng': 9.193869900000001}",4cento,ChIJNV0ddGnEhkcR7P6FpJ7mXsA,"['restaurant', 'park', 'food', 'point_of_interest', 'establishment']","Via Campazzino, 14, Milano",4.1,1250.0,2.0
379,1628,OPERATIONAL,"{'lat': 45.4329213, 'lng': 9.200690500000002}",Il Milanese,ChIJ7Qf-FSrFhkcRAO4J0bH7U1Y,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Sibari, 3, Milano",4.5,74.0,1.0
381,1634,OPERATIONAL,"{'lat': 45.4334692, 'lng': 9.200876599999999}",Captain Cook,ChIJiQ3v6szFhkcRaeEs23NCaXw,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Giuseppe Ripamonti, 186, Milano",,,
382,1635,OPERATIONAL,"{'lat': 45.4334692, 'lng': 9.200876599999999}",Restaurante El Guayaco,ChIJ__9viUrEhkcRwQsvamMyuVw,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Giuseppe Ripamonti, 186, Milano",3.9,76.0,
383,1636,OPERATIONAL,"{'lat': 45.433501, 'lng': 9.200884}",Istanbul Turkish kebap,ChIJa7adSSXFhkcRmb4r3NeyP9I,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Giuseppe Ripamonti, 186, Milano",4.6,14.0,
384,1637,OPERATIONAL,"{'lat': 45.433739, 'lng': 9.200911000000001}",Il Mago,ChIJ5bj1ZEHEhkcRewlJ5dimQhY,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']","Via Giuseppe Ripamonti, 184, Milano",4.1,507.0,1.0
385,1644,OPERATIONAL,"{'lat': 45.4334555, 'lng': 9.222119799999998}",Gobbato,ChIJ0yEx47TFhkcRaUGJevb6gB4,"['bakery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']","Via Nicolò Barabino, 7, Milano",4.6,918.0,1.0
386,1646,OPERATIONAL,"{'lat': 45.4331359, 'lng': 9.2384138}",POST OFFICE,ChIJ5fayh0vFhkcRHPYCf9SG2L4,"['post_office', 'finance', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via Giovanni Battista Cassinis, 76, Milano",4.2,105.0,
388,1650,OPERATIONAL,"{'lat': 45.4336929, 'lng': 9.2383729}",Juice Bar - Milano Rogoredo,ChIJoZe3ML_FhkcRLsNXOLTFrhk,"['cafe', 'bar', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']","Via Giovanni Battista Morgagni, Milano",3.4,16.0,
389,1653,OPERATIONAL,"{'lat': 45.43361639999999, 'lng': 9.24063}",Pizzikotto,ChIJdaYX6arFhkcRUO7qmWhTN28,"['restaurant', 'meal_takeaway', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']","Via Luigi Russolo, 5, Milano",3.7,172.0,2.0
