,Index,business_status,geometry,name_g,place_id,types,address_g,rating_g,total_reviews_g,price_level_g
2764,11973,OPERATIONAL,"{'lat': 45.4615614, 'lng': 9.190997500000002}",SIYUAN思源中国兰州牛肉面,ChIJ27C7O6fHhkcRBzXetIlInn0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Flavio Baracchini, 7, Milano",4.2,212.0,
2765,11975,OPERATIONAL,"{'lat': 45.4616077, 'lng': 9.190909399999999}",Duomo Kebap Halal Grill Pizza Turkish,ChIJ4yWwzxLHhkcRYcoVbL9IYG8,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Flavio Baracchini, 7, Milano",4.4,510.0,1.0
2766,11976,OPERATIONAL,"{'lat': 45.46133340000001, 'lng': 9.192342499999999}",California Bakery,ChIJb-JZ3ajGhkcR-NAoE7oHIl4,"['bakery', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']","Via Larga, 19, Milano",3.4,1075.0,2.0
2767,11983,OPERATIONAL,"{'lat': 45.4611887, 'lng': 9.193755099999999}",albufera,ChIJFXyRbC7HhkcRUAOu0aFfx5k,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Sant'Antonio, 5, Milano",,,
2768,11988,OPERATIONAL,"{'lat': 45.4614843, 'lng': 9.1950571}",DAR ZEN,ChIJZ4MvGqbGhkcRApuCJVv4XNQ,"['restaurant', 'food', 'point_of_interest', 'establishment']","Vicolo Laghetto, Milano",4.0,2.0,
2769,11989,OPERATIONAL,"{'lat': 45.461561, 'lng': 9.194891499999999}",KINDII Baan Thai,ChIJB0dALTXHhkcRndrltRkgXtM,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Festa del Perdono, 1, Milano",4.2,141.0,
2770,11990,OPERATIONAL,"{'lat': 45.46161739999999, 'lng': 9.1946446}",Cagiada Milano,ChIJY-3SkFvHhkcRUBC6nLUgNUM,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Festa del Perdono, 4, Milano",4.6,60.0,
2771,11991,OPERATIONAL,"{'lat': 45.4614374, 'lng': 9.195442000000002}",Cantina Piemontese,ChIJp047EKbGhkcR0lqRWJa3lhk,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Laghetto, 2, Milano",4.3,666.0,2.0
2772,11992,OPERATIONAL,"{'lat': 45.46159509999999, 'lng': 9.1956683}",Antica Salumeria Laghetto,ChIJAa45EqbGhkcRYXq4WAF1aeM,"['grocery_or_supermarket', 'restaurant', 'store', 'food', 'point_of_interest', 'establishment']","Via Laghetto, 7, Milano",4.7,13.0,
2773,11994,OPERATIONAL,"{'lat': 45.4615626, 'lng': 9.1956376}",Il panino del laghetto,ChIJ-6W1E6bGhkcRR5BCiZUxEGg,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Laghetto, 7, Milano",4.7,275.0,1.0
2774,11995,OPERATIONAL,"{'lat': 45.4615962, 'lng': 9.195365599999999}",La Ca' di Tencitt,ChIJzbLvBKbGhkcRFdwY-K1K4FY,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Laghetto, 2, Milano",4.0,5.0,
2775,11996,OPERATIONAL,"{'lat': 45.4611232, 'lng': 9.1966411}",Hanabi Milan Sushi Restaurant,ChIJjd-mZqbGhkcRTEb8g8BLHBc,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Francesco Sforza, 14, Milano",4.0,650.0,2.0
2776,11997,OPERATIONAL,"{'lat': 45.4611232, 'lng': 9.1966411}",Bar Sforza,ChIJHQxTZqbGhkcRHUND0ZzKRL8,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Francesco Sforza, 14, Milano",4.2,31.0,1.0
2777,11998,OPERATIONAL,"{'lat': 45.4616075, 'lng': 9.196142699999998}",Elior Ristorazione S.P.A.,ChIJzdTscabGhkcRSgZ3gh_jhTU,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via della Signora, 3, Milano",5.0,1.0,1.0
2778,11999,OPERATIONAL,"{'lat': 45.4616075, 'lng': 9.196142699999998}",Mensa,ChIJ4T4OcabGhkcRchMagmXITqI,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via della Signora, 3, Milano",3.5,39.0,1.0
2779,12002,OPERATIONAL,"{'lat': 45.4612413, 'lng': 9.200094199999999}",Lealta' Srl,ChIJjU99S6HGhkcR0pC2xsATqb4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Carlo Freguglia, 4, Milano",3.6,5.0,
2780,12003,OPERATIONAL,"{'lat': 45.46141189999999, 'lng': 9.2001911}",Break Bianco,ChIJ4RVgS6HGhkcRmKDwXMocB4E,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Carlo Freguglia, 4, Milano",4.3,52.0,
2781,12005,OPERATIONAL,"{'lat': 45.4615122, 'lng': 9.2002071}",Bentobus Tribunale,ChIJK2r7oQPHhkcRK9BHS0RAg8U,"['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']","Via Carlo Freguglia, 2, Milano",4.6,36.0,
2783,12010,OPERATIONAL,"{'lat': 45.4613504, 'lng': 9.202552599999999}",La Toga,ChIJT8syY6HGhkcRJROsLrkW7m8,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Luciano Manara, 10, Milano",3.8,99.0,1.0
2784,12011,OPERATIONAL,"{'lat': 45.4614157, 'lng': 9.202488799999998}",I Love Poke Tribunale,ChIJRe3t5gDHhkcRh7ldJ41yzKA,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Luciano Manara, 5, Milano",4.7,19.0,2.0
2785,12015,OPERATIONAL,"{'lat': 45.46111149999999, 'lng': 9.207102899999997}",Fratelli La Bufala,ChIJeQilNZ_GhkcRZEJNO7yWGlU,"['restaurant', 'food', 'point_of_interest', 'establishment']","Viale Regina Margherita angolo, Via Vicenza, Milano",3.8,719.0,2.0
2786,12016,OPERATIONAL,"{'lat': 45.4612199, 'lng': 9.2069501}",FEDERICO Pizza dal 1929 - Milano,ChIJmZaAXI_HhkcRWPTjUvhI0kM,"['restaurant', 'food', 'point_of_interest', 'establishment']","Viale Regina Margherita, 32, Milano",4.8,28.0,
2787,12017,OPERATIONAL,"{'lat': 45.4607553, 'lng': 9.2073305}",Hambroeus,ChIJfRGpSJ_GhkcRPfft4Iz9SQg,"['restaurant', 'food', 'point_of_interest', 'establishment']","Viale Regina Margherita, 30, Milano",4.4,314.0,2.0
2788,12022,OPERATIONAL,"{'lat': 45.4612682, 'lng': 9.207430600000002}",Al Pizzetta,ChIJe-7zS5_GhkcRkwtC-Hms8H4,"['restaurant', 'food', 'point_of_interest', 'establishment']","Viale Monte Nero, 73, Milano",4.4,181.0,1.0
2789,12025,OPERATIONAL,"{'lat': 45.4615995, 'lng': 9.207172299999998}",Spontini,ChIJ6wEesZjGhkcR0oLH6G0_Ihk,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Piazza Cinque Giornate, 6, Milano",4.0,1946.0,1.0
2790,12028,OPERATIONAL,"{'lat': 45.4608072, 'lng': 9.208443999999998}",Pizzium - Via Anfossi,ChIJtS7zMZ_GhkcRYmoF4rCSzt0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Augusto Anfossi, 1, Milano",4.3,2583.0,2.0
2792,12036,OPERATIONAL,"{'lat': 45.4609304, 'lng': 9.2095058}",Panigacci Milano Bistrot,ChIJq9fTLJnGhkcROBUwUfSrY4E,"['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']","Via Bezzecca, 2, Milano",4.3,383.0,2.0
2793,12037,OPERATIONAL,"{'lat': 45.4610806, 'lng': 9.209325099999997}",Piadina & Co.,ChIJaQUw057GhkcR9aEt6ZXJ8pk,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']","Via Amatore Sciesa, 8, Milano",4.1,16.0,
2794,12045,OPERATIONAL,"{'lat': 45.4610813, 'lng': 9.2097363}",Le Presine Volanti,ChIJNTFpuybHhkcRNuUZo0B0wMQ,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Bezzecca, 1, Milano",4.6,188.0,
2796,12047,OPERATIONAL,"{'lat': 45.46137820000001, 'lng': 9.209373}",CHIHUAHUA TACOS - Sciesa,ChIJq_ultebHhkcRZZRDcFGgWbY,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Amatore Sciesa, 6, Milano",4.5,24.0,
2797,12048,OPERATIONAL,"{'lat': 45.4613126, 'lng': 9.2096293}",Kebhouze - Cinque Giornate,ChIJ-5HL1iTHhkcR21BS7HG0Zwg,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Amatore Sciesa, 7, Milano",4.9,114.0,
2799,12050,OPERATIONAL,"{'lat': 45.4608891, 'lng': 9.210191299999998}",Veranda,ChIJaVxzyp7GhkcRgACf-RU7-iM,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Bezzecca, 6, Milano",4.3,486.0,2.0
2800,12054,OPERATIONAL,"{'lat': 45.4610043, 'lng': 9.210871899999999}",NEW NATURE CAFE & BISTROT,ChIJVUvRsp7GhkcRtfc06PWC2u8,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Bezzecca, 9, Milano",4.1,22.0,
2801,12069,OPERATIONAL,"{'lat': 45.4607267, 'lng': 9.211157400000001}",Pizzeria Ali Baba 2,ChIJzSkvrJ7GhkcRYkhs4l2Khqk,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Emilio Morosini, 12, Milano",3.0,1.0,
2802,12072,OPERATIONAL,"{'lat': 45.46153839999999, 'lng': 9.2111407}",Mugs & co. Cozy cafe and Bakery,ChIJ-3LvT5nGhkcRwgwNgdaz6Ss,"['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Via Emilio Morosini, 4, Milano",4.4,330.0,2.0
2803,12075,OPERATIONAL,"{'lat': 45.4607622, 'lng': 9.2111351}",Shin Fusion Restaurant,ChIJWQxFqZ7GhkcRUg03sSIBvTw,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Emilio Morosini, 12, Milano",4.2,841.0,2.0
2804,12077,OPERATIONAL,"{'lat': 45.461254, 'lng': 9.211518499999999}",Chopsticks Ramen&sushi,ChIJ6URAesrHhkcRX_7QAGVKrX4,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Emilio Morosini, 5, Milano",4.5,15.0,
2805,12083,OPERATIONAL,"{'lat': 45.4611068, 'lng': 9.2119944}",IN CARLO FOLDI Ristorantino Italiano,ChIJjR___pvGhkcRNNMpTHcnlJQ,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Carlo Foldi, 1, Milano",,,
2806,12085,OPERATIONAL,"{'lat': 45.4611068, 'lng': 9.2119944}",Ristorante 46 Giallo,ChIJjR___pvGhkcRLHz85Zf87OU,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Carlo Foldi, 1, Milano",4.5,2.0,
2808,12089,OPERATIONAL,"{'lat': 45.4611068, 'lng': 9.2119944}",Monkey In The City,ChIJCRa4_ZvGhkcRaRxyo1KeGdU,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Carlo Foldi, 1, Milano",4.4,357.0,2.0
2809,12096,OPERATIONAL,"{'lat': 45.4611827, 'lng': 9.2141917}",L'Altra Taverna,ChIJlR5AhJvGhkcRqgw2Y0zlgsg,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via Cadore, 8, Milano",4.3,1979.0,2.0
2812,12108,OPERATIONAL,"{'lat': 45.46130439999999, 'lng': 9.228015099999999}",Donna Assunta 1954,ChIJhVwhbYfGhkcR6SxY-mfbxnE,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Annibale Grasselli, 4, Milano",4.4,629.0,2.0
2813,12110,OPERATIONAL,"{'lat': 45.4615675, 'lng': 9.2300854}",Made In Sud,ChIJrZRbg33GhkcRk4gUvZkaPN4,"['convenience_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']","Via Azzo Carbonera, 19, Milano",4.5,123.0,
2814,12115,OPERATIONAL,"{'lat': 45.4615094, 'lng': 9.2439365}",Pizza Party,ChIJQ_1cynHGhkcRkQugKNj1QwM,"['restaurant', 'point_of_interest', 'food', 'establishment']","Piazza Artigianato, Milano",4.3,202.0,1.0
2815,12116,OPERATIONAL,"{'lat': 45.4612279, 'lng': 9.2443047}",Pizzeria Trattoria Forlanini,ChIJi3p-rHHGhkcRuXjMpZ3Rzhw,"['restaurant', 'point_of_interest', 'food', 'establishment']","Viale Enrico Forlanini, 50/9, Milano",4.0,165.0,1.0
2827,12162,OPERATIONAL,"{'lat': 45.4622648, 'lng': 9.085979100000001}",Picanha Gourmet,ChIJUah5bQ7DhkcRd1Es_sh8GcA,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Cusago, 20, Milano",5.0,44.0,2.0
