id,link
50,https://www.tripadvisor.it/Restaurant_Review-g187849-d15656117-Reviews-Sine_by_Di_Pinto-Milan_Lombardy.html
51,https://www.tripadvisor.it/Restaurant_Review-g187849-d15576847-Reviews-LUX_Gourmet_Social_Club-Milan_Lombardy.html
52,https://www.tripadvisor.it/Restaurant_Review-g187849-d7949529-Reviews-Dagli_Amici_di_Patty-Milan_Lombardy.html
53,https://www.tripadvisor.it/Restaurant_Review-g187849-d23702518-Reviews-Maccheroni_Cucina_Italiana-Milan_Lombardy.html
54,https://www.tripadvisor.it/Restaurant_Review-g187849-d1080405-Reviews-Ristorante_Lucca-Milan_Lombardy.html
55,https://www.tripadvisor.it/Restaurant_Review-g187849-d2366348-Reviews-Piadineria_Doppio_Zero-Milan_Lombardy.html
56,https://www.tripadvisor.it/Restaurant_Review-g187849-d12432575-Reviews-Ristorante_Enrico_Bartolini-Milan_Lombardy.html
57,https://www.tripadvisor.it/Restaurant_Review-g187849-d12631501-Reviews-Maison_Tuareg-Milan_Lombardy.html
58,https://www.tripadvisor.it/Restaurant_Review-g187849-d10221684-Reviews-Cibario-Milan_Lombardy.html
59,https://www.tripadvisor.it/Restaurant_Review-g187849-d1675094-Reviews-Iyo-Milan_Lombardy.html
60,https://www.tripadvisor.it/Restaurant_Review-g187849-d10791496-Reviews-Drinc_Cocktail_Conversation-Milan_Lombardy.html
61,https://www.tripadvisor.it/Restaurant_Review-g187849-d10809021-Reviews-Soprattutto-Milan_Lombardy.html
62,https://www.tripadvisor.it/Restaurant_Review-g187849-d12289875-Reviews-Pizzium_Via_Procaccini-Milan_Lombardy.html
63,https://www.tripadvisor.it/Restaurant_Review-g187849-d14128914-Reviews-Tripburger-Milan_Lombardy.html
64,https://www.tripadvisor.it/Restaurant_Review-g187849-d14000947-Reviews-Pomet_Milano-Milan_Lombardy.html
65,https://www.tripadvisor.it/Restaurant_Review-g187849-d20950376-Reviews-Ta_Bonu_Culurgiones_Bar_Gourmet_Sardo-Milan_Lombardy.html
66,https://www.tripadvisor.it/Restaurant_Review-g187849-d12479650-Reviews-Cantine_Milano-Milan_Lombardy.html
67,https://www.tripadvisor.it/Restaurant_Review-g187849-d2262624-Reviews-Ristorante_Pizzeria_La_Ragazza-Milan_Lombardy.html
68,https://www.tripadvisor.it/Restaurant_Review-g187849-d2481479-Reviews-G_B_Bar-Milan_Lombardy.html
69,https://www.tripadvisor.it/Restaurant_Review-g187849-d8515519-Reviews-Seta-Milan_Lombardy.html
70,https://www.tripadvisor.it/Restaurant_Review-g187849-d13505697-Reviews-Bele_Ristorante-Milan_Lombardy.html
71,https://www.tripadvisor.it/Restaurant_Review-g187849-d15060802-Reviews-La_Muccaccia-Milan_Lombardy.html
72,https://www.tripadvisor.it/Restaurant_Review-g187849-d16692743-Reviews-La_TASTeria_Gourmet_Sicily_Milano_Brera-Milan_Lombardy.html
73,https://www.tripadvisor.it/Restaurant_Review-g187849-d19140680-Reviews-Pizzium_Isola-Milan_Lombardy.html
74,https://www.tripadvisor.it/Restaurant_Review-g187849-d14979437-Reviews-T4_Bistrot_Experience-Milan_Lombardy.html
75,https://www.tripadvisor.it/Restaurant_Review-g187849-d8742666-Reviews-Savana_Ristorante_Eritreo-Milan_Lombardy.html
76,https://www.tripadvisor.it/Restaurant_Review-g187849-d13384626-Reviews-AleXAmber_Fish_Cuisine-Milan_Lombardy.html
77,https://www.tripadvisor.it/Restaurant_Review-g187849-d8477098-Reviews-Entree-Milan_Lombardy.html
78,https://www.tripadvisor.it/Restaurant_Review-g187849-d2024182-Reviews-Pizzeria_Cinder_Mount-Milan_Lombardy.html
79,https://www.tripadvisor.it/Restaurant_Review-g187849-d7387582-Reviews-Ristorante_Yazawa_Milano-Milan_Lombardy.html
80,https://www.tripadvisor.it/Restaurant_Review-g187849-d7107347-Reviews-CHIOSCO_SQUADRE_CALCIO-Milan_Lombardy.html
81,https://www.tripadvisor.it/Restaurant_Review-g187849-d19493892-Reviews-L_Amuri_Sicilian_Restaurant-Milan_Lombardy.html
82,https://www.tripadvisor.it/Restaurant_Review-g187849-d13994981-Reviews-Orianna-Milan_Lombardy.html
83,https://www.tripadvisor.it/Restaurant_Review-g187849-d2185793-Reviews-Ristorante_Santo_Bevitore-Milan_Lombardy.html
84,https://www.tripadvisor.it/Restaurant_Review-g187849-d4008200-Reviews-Pasta_Fresca_da_Giovanni-Milan_Lombardy.html
85,https://www.tripadvisor.it/Restaurant_Review-g187849-d2641008-Reviews-Fei_Yun_Ge-Milan_Lombardy.html
86,https://www.tripadvisor.it/Restaurant_Review-g187849-d19437309-Reviews-Gente_di_Mare_in_Darsena-Milan_Lombardy.html
87,https://www.tripadvisor.it/Restaurant_Review-g187849-d14236402-Reviews-Lo_Spaccio_Cucina_Tradizionale_Italiana-Milan_Lombardy.html
