title,r_bubbles,r_number,cook_type,expensive
60. La Muccaccia,"Punteggio 4,5 su 5",187 recensioni,"Italiana, Mediterranea",€€ - €€€
61. Iyo,"Punteggio 4,5 su 5",3.330 recensioni,"Giapponese, Pesce",€€€€
62. Dagli Amici di Patty,"Punteggio 4,5 su 5",362 recensioni,"Italiana, Pesce",€€ - €€€
64. Tripburger,"Punteggio 4,5 su 5",315 recensioni,"Contemporanea, Cibo di strada",€€ - €€€
65. Pomet Milano,"Punteggio 4,5 su 5",1.038 recensioni,"Italiana, Pizza",€
66. Tà Bonu! Culurgiones Bar & Gourmet Sardo,"Punteggio 4,5 su 5",222 recensioni,"Italiana, Mediterranea",€€ - €€€
67. G.B. Bar,"Punteggio 4,5 su 5",1.097 recensioni,"Italiana, Bar",€
68. La TASTeria Gourmet Sicily Milano Brera,"Punteggio 4,5 su 5",232 recensioni,"Italiana, Pesce",€€ - €€€
69. Seta,"Punteggio 4,5 su 5",1.061 recensioni,"Italiana, Pesce",€€€€
70. Belé Ristorante,"Punteggio 4,5 su 5",399 recensioni,"Italiana, Mediterranea",€€ - €€€
71. Pizzium - Isola,"Punteggio 4,5 su 5",382 recensioni,"Pizza, Mediterranea",€€ - €€€
72. Ristorante Pizzeria La Ragazza,"Punteggio 4,5 su 5",650 recensioni,"Pesce, Italiana",€€ - €€€
73. Savana Ristorante Eritreo,"Punteggio 4,5 su 5",1.038 recensioni,"Africana, Etiope",€€ - €€€
74. T4 Bistrot Experience,"Punteggio 4,5 su 5",236 recensioni,"Italiana, Pesce",€€ - €€€
75. Soprattutto,"Punteggio 4,5 su 5",163 recensioni,"Italiana, Bar",€€ - €€€
76. AleXAmber Fish Cuisine,"Punteggio 4,5 su 5",273 recensioni,"Pesce, Italiana",€€€€
77. Ristorante Yazawa Milano,"Punteggio 4,5 su 5",289 recensioni,"Giapponese, Barbecue",€€€€
78. Entreé,"Punteggio 4,5 su 5",603 recensioni,"Italiana, Pesce",€€ - €€€
79. Pizzeria Cinder Mount,"Punteggio 4,5 su 5",273 recensioni,"Italiana, Pizza",€
80. Orianna,"Punteggio 4,5 su 5",217 recensioni,"Italiana, Emiliana",€€ - €€€
81. L'Amùri Sicilian Restaurant,"Punteggio 4,5 su 5",208 recensioni,"Italiana, Pesce",€€ - €€€
82. CHIOSCO SQUADRE CALCIO,"Punteggio 4,5 su 5",430 recensioni,"Italiana, Bar",€
83. LO SPACCIO - Cucina Tradizionale Italiana,"Punteggio 4,5 su 5",148 recensioni,"Italiana, Mediterranea",€€ - €€€
84. Ristorante Santo Bevitore,"Punteggio 4,5 su 5",364 recensioni,"Italiana, Mediterranea",€€ - €€€
85. Pasta Fresca da Giovanni,"Punteggio 4,5 su 5",476 recensioni,"Italiana, Europea",€
86. Gente di Mare in Darsena,"Punteggio 4,5 su 5",403 recensioni,"Italiana, Mediterranea",€€ - €€€
87. shannara5,"Punteggio 4,5 su 5",273 recensioni,"Pesce, Italiana",€€ - €€€
88. Cous-Cous Restaurant,"Punteggio 4,5 su 5",619 recensioni,"Italiana, Pesce",€€ - €€€
89. Pizza AM,"Punteggio 4,5 su 5",4.240 recensioni,"Italiana, Pizza",€
90. Fei Yun Ge,"Punteggio 4,5 su 5",335 recensioni,"Cinese, Pesce",€€ - €€€
91. Sapori Solari - La Bisteccheria,"Punteggio 4,5 su 5",248 recensioni,"Italiana, Steakhouse",€€€€
92. Thai Chokdee restaurant,"Punteggio 4,5 su 5",166 recensioni,"Tailandese, Pesce",€€ - €€€
93. MooKuzai,"Punteggio 4,5 su 5",827 recensioni,"Sushi, Giapponese",€€ - €€€
94. Macelleria Equina Da Vito,"Punteggio 4,5 su 5",917 recensioni,"Italiana, Steakhouse",€
95. theLab - unconventional burger experience®,"Punteggio 4,5 su 5",522 recensioni,"Contemporanea, Cibo di strada",€
