title,r_bubbles,r_number,cook_type,expensive
34. Wave Cocktail Bar,"Punteggio 5,0 su 5",351 recensioni,"Europea, Pub",€€ - €€€
35. DOT - Chianti Street Food,"Punteggio 4,5 su 5",172 recensioni,"Italiana, Mediterranea",€
36. Pizza Shambo,"Punteggio 4,5 su 5",178 recensioni,"Pizza, Italiana",€€ - €€€
37. Viaggi Nel Gusto,"Punteggio 5,0 su 5",491 recensioni,"Italiana, Mediterranea",€€ - €€€
38. Pizzium - Viale Tunisia,"Punteggio 4,5 su 5",877 recensioni,"Pizza, Italiana",€€ - €€€
39. my Primè,"Punteggio 4,5 su 5",601 recensioni,"Italiana, Pesce",€€ - €€€
40. Tamo Mozzarella Bar,"Punteggio 4,5 su 5",225 recensioni,"Italiana, Mediterranea",€€ - €€€
41. Piz,"Punteggio 4,5 su 5",5.295 recensioni,"Italiana, Pizza",€
42. Sapori Stellari,"Punteggio 4,5 su 5",409 recensioni,"Italiana, Wine Bar",€€ - €€€
43. Boccondivino,"Punteggio 4,5 su 5",922 recensioni,"Italiana, Mediterranea",€€ - €€€
44. Sushi&Sound,"Punteggio 4,5 su 5",375 recensioni,"Giapponese, Pesce",€€ - €€€
45. G Sushi Oriental Pleasure,"Punteggio 4,5 su 5",235 recensioni,"Giapponese, Pesce",€€ - €€€
46. Sapori Solari - Salumeria Bistrot,"Punteggio 4,5 su 5",1.726 recensioni,"Italiana, Gastronomia",€€ - €€€
47. Da Vic - Ristorante Guerrini,"Punteggio 4,5 su 5",2.057 recensioni,"Italiana, Pesce",€€€€
48. Rizzo Come A Casa,"Punteggio 4,5 su 5",1.012 recensioni,"Italiana, Pesce",€€ - €€€
49. Bottega Valtellina 18,"Punteggio 4,5 su 5",531 recensioni,"Italiana, Pizza",€€ - €€€
50. Sine by Di Pinto,"Punteggio 4,5 su 5",332 recensioni,"Italiana, Pesce",€€ - €€€
51. LUX Gourmet Social Club,"Punteggio 4,5 su 5",369 recensioni,"Italiana, Pizza",€€ - €€€
52. Linfa Milano - Eat Different,"Punteggio 4,5 su 5",604 recensioni,"Italiana, Salutistica",€€ - €€€
53. Dagli Amici di Patty,"Punteggio 4,5 su 5",366 recensioni,"Italiana, Pesce",€€ - €€€
54. Maccheroni Cucina Italiana,"Punteggio 4,5 su 5",771 recensioni,"Italiana, Mediterranea",?
55. Ristorante Lucca,"Punteggio 4,5 su 5",810 recensioni,"Toscana, Italiana (centro)",€€ - €€€
56. Piadineria Doppio Zero,"Punteggio 4,5 su 5",328 recensioni,Italiana,€
