,Index,business_status,geometry,name_google,place_id,price_level_google,rating_google,types,total_reviews_google,address
1289,4760,OPERATIONAL,"{'lat': 45.4497134, 'lng': 9.202779}",Same Restaurant,ChIJZzEOhyLEhkcRRmXkxUNAlik,,4.4,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",77.0,"Via Crema, 9, Milano"
1290,4763,OPERATIONAL,"{'lat': 45.45109679999999, 'lng': 9.2007066}",Rossopomodoro,ChIJU-3wGxnEhkcR3ESCDY3shNg,2.0,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",1433.0,"Viale Sabotino, 19, Milano"
1291,4772,OPERATIONAL,"{'lat': 45.45034930000001, 'lng': 9.206695800000002}",Komenn Thai,ChIJVe9FviPEhkcRQsRAgmf4Hpg,2.0,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",565.0,"Via Lazzaro Papi, 5, Milano"
1292,4774,OPERATIONAL,"{'lat': 45.4502682, 'lng': 9.204956400000004}",Pizzeria Da Romano Milano,ChIJ3fSnSCLEhkcR5Z_T0O6NvhI,1.0,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",231.0,"Corso Lodi, 12, Milano"
1293,4780,OPERATIONAL,"{'lat': 45.44982890000001, 'lng': 9.206700999999999}",Yuzu,ChIJhS7BoyPEhkcRrzk9gbPEodc,3.0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",294.0,"Via Lazzaro Papi, 2, Milano"
1294,4781,OPERATIONAL,"{'lat': 45.4514204, 'lng': 9.202803600000001}",McDonald's,ChIJM5HcoBjEhkcRXOprqnVeuzw,1.0,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",1981.0,"Viale Sabotino, 38, Milano"
1295,4782,OPERATIONAL,"{'lat': 45.4495182, 'lng': 9.2069942}",Radicetonda,ChIJ0050dyPEhkcRQWCvCSMwLJI,2.0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",292.0,"Piazza Bruno Buozzi, 5/5, Milano"
1296,4783,PERMANENTLY_CLOSED,"{'lat': 45.4515912, 'lng': 9.2048575}",Corio 2,ChIJlbZWJCLEhkcRWBIsw508mKs,,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,"Via Bernardino Corio, 3, Milano"
1297,4786,OPERATIONAL,"{'lat': 45.4497006, 'lng': 9.2024419}",VegAmore,ChIJy0OsgSLEhkcRgMaoYqC_w4w,1.0,4.5,"['bakery', 'restaurant', 'store', 'food', 'health', 'point_of_interest', 'establishment']",415.0,"Via Crema, 12, Milano"
1298,4788,OPERATIONAL,"{'lat': 45.4491603, 'lng': 9.2028435}",KONYA GA YAMADA,ChIJ-5sqU3DFhkcRlrVVkrEcmus,,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"Via Crema, 17, Milano"
1299,4789,OPERATIONAL,"{'lat': 45.449256, 'lng': 9.2076078}",Izu Milano,ChIJHZNleSPEhkcRgf76_klSSZ0,3.0,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']",917.0,"Corso Lodi, 27, Milano"
1300,4797,OPERATIONAL,"{'lat': 45.4504864, 'lng': 9.207884600000002}",Aiyara Thai,ChIJ-0BUjSPEhkcRq-jLp4r44po,,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",42.0,"Via Pietro Colletta, 17, Milano"
1301,4798,OPERATIONAL,"{'lat': 45.451588, 'lng': 9.2051911}",Pastamadre,ChIJ8zMZLyLEhkcRAuT_zPBUG6Q,2.0,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']",602.0,"Via Bernardino Corio, 8, Milano"
1302,4800,OPERATIONAL,"{'lat': 45.451133, 'lng': 9.2077335}",Zerobriciole,ChIJtb-U7yPEhkcRImEVqTLIpjQ,,4.9,"['restaurant', 'point_of_interest', 'food', 'establishment']",7.0,"Via Lazzaro Papi, 18, Milano"
1303,4804,OPERATIONAL,"{'lat': 45.45116530000001, 'lng': 9.2060053}",Tapa,ChIJG1LVzSPEhkcRI4G9esYDWoM,2.0,4.0,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",1027.0,"Via Francesco Burlamacchi, 7, Milano"
1304,4811,OPERATIONAL,"{'lat': 45.4500889, 'lng': 9.2119722}",Solo Pizza,ChIJdVycuSXEhkcRbILgHqsElL0,2.0,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']",945.0,"Viale Umbria, 25, Milano"
1305,4822,OPERATIONAL,"{'lat': 45.4488901, 'lng': 9.2091495}",Dar Kenza,ChIJi92yNe7FhkcRcQyR55fgqJw,,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']",97.0,"Via Friuli, 6, Milano"
1306,4823,OPERATIONAL,"{'lat': 45.4489831, 'lng': 9.2080626}",Civico29 Wine & Food,ChIJ9YClQx7FhkcRzUxVC2Y3PcU,2.0,4.6,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",79.0,"Corso Lodi, 29, Milano"
1307,4826,PERMANENTLY_CLOSED,"{'lat': 45.44928960000001, 'lng': 9.2076238}",Dorando Giannasi Fritti,ChIJdb0GeSPEhkcRnIw7nyD_TT0,,5.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",1.0,"Corso Lodi, 27, Milano"
1308,4827,PERMANENTLY_CLOSED,"{'lat': 45.44990180000001, 'lng': 9.209477600000001}",Bottegas,ChIJVVVlaCTEhkcR8nuQMaNzfJ4,,,"['restaurant', 'point_of_interest', 'food', 'establishment']",,"Via Pietro Colletta, 31, Milano"
1309,4828,PERMANENTLY_CLOSED,"{'lat': 45.4495252, 'lng': 9.207717900000002}",GHEAMA Restaurant,ChIJrxEWflLFhkcRSZSl5mh9zCs,,3.8,"['general_contractor', 'restaurant', 'point_of_interest', 'food', 'establishment']",33.0,"Via San Gerolamo Emiliani, 2, Milano"
1310,4829,OPERATIONAL,"{'lat': 45.451133, 'lng': 9.211579}",Un Posto a Milano,ChIJjzFILSTEhkcRfr8sJMfR9pU,2.0,4.0,"['restaurant', 'bar', 'lodging', 'food', 'point_of_interest', 'establishment']",1245.0,"Via Privata Cuccagna, 2/4, Milano"
1311,4836,PERMANENTLY_CLOSED,"{'lat': 45.4498602, 'lng': 9.211796999999999}",Corte Di Artu',ChIJuYxoryXEhkcRhn2cq1oxM2w,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Viale Umbria, 21, Milano"
1312,4837,OPERATIONAL,"{'lat': 45.4492378, 'lng': 9.211264}",Alice Pizza,ChIJF13ZE1vFhkcR0VPH6_jKvNs,2.0,3.5,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",42.0,"Viale Umbria, 15, Milano"
1313,4838,PERMANENTLY_CLOSED,"{'lat': 45.4489603, 'lng': 9.211098400000001}",Pizza Forno A Legna,ChIJr0YuASXEhkcR_fxzMqHWAqU,,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,Italy
1314,4839,OPERATIONAL,"{'lat': 45.44893649999999, 'lng': 9.211062799999999}",Pizzeria Turkish Kebap,ChIJKbO6wn_FhkcRfPfjOkTKYNk,,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",34.0,"Viale Umbria, 11, Milano"
1315,4842,OPERATIONAL,"{'lat': 45.4497717, 'lng': 9.211759}",Zhen Asian Fusion Restaurant,ChIJNzqpuyXEhkcR_wyeTwuderw,1.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",621.0,"viale, Viale Umbria, 21, Milano"
1316,4844,PERMANENTLY_CLOSED,"{'lat': 45.4496646, 'lng': 9.2124033}",Ristorante L'Imperadore,ChIJh-u7lyPFhkcRVawxyRkye38,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Viale Umbria, 18, Milano"
1317,4845,OPERATIONAL,"{'lat': 45.4498742, 'lng': 9.2125623}",Uni Bar,ChIJbc7Gt6zFhkcRV5BHdvPdghY,,4.7,"['cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",14.0,"Viale Umbria, 22, Milano"
1318,4851,OPERATIONAL,"{'lat': 45.4494035, 'lng': 9.2168644}",Tsu Ba Me Kara,ChIJwz7U4y7EhkcRBTrxKPHHC2I,1.0,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']",119.0,"Via Tertulliano, 32, Milano"
1319,4853,OPERATIONAL,"{'lat': 45.4491667, 'lng': 9.216944399999997}",U Barba Osteria Genovese,ChIJTwGc-y7EhkcRt8JuKOGAmXo,2.0,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']",1025.0,"Via Pier Candido Decembrio, 33, Milano"
1320,4859,OPERATIONAL,"{'lat': 45.4499994, 'lng': 9.212584600000001}",Trattoria Italo Cinese,ChIJO-sdAyXEhkcRgnjudv-k7Yo,,3.6,"['restaurant', 'point_of_interest', 'food', 'establishment']",32.0,"Viale Umbria, 24, Milano"
1321,4867,OPERATIONAL,"{'lat': 45.44914909999999, 'lng': 9.2175695}",Rakki,ChIJw9W_7S7EhkcR24M4Vv0k1ak,2.0,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']",595.0,"Via Tertulliano, 38, Milano"
1322,4872,PERMANENTLY_CLOSED,"{'lat': 45.4510762, 'lng': 9.2180291}",Zafferan,ChIJEYPwKynEhkcRWKUZ4uXUxBo,1.0,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",174.0,"Via Tito Livio, 22, Milano"
1323,4874,OPERATIONAL,"{'lat': 45.4504586, 'lng': 9.2202187}",Onda Fusion Restaurant,ChIJdfXZAyzEhkcRRXp8cCAhkEM,,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,"Via Tito Livio, 37, Milano"
