,Index,business_status,geometry,name_google,place_id,price_level_google,rating_google,types,total_reviews_google,address
0,0,OPERATIONAL,"{'lat': 45.40098, 'lng': 9.1219615}",Autogrill,ChIJsQiLpCbDhkcRbyauBqvKI_I,2.0,3.5,"['bar', 'grocery_or_supermarket', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",2501.0,"A50 Tangenziale Ovest di Milano, km 18, Assago"
1,2,PERMANENTLY_CLOSED,"{'lat': 45.40085879999999, 'lng': 9.122168}",L'angolo del Buongustaio,ChIJgx8dpCbDhkcRYZI08dLeD9w,,1.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",1.0,"A50 Tangenziale Ovest di Milano, km 18, Assago"
2,3,PERMANENTLY_CLOSED,"{'lat': 45.4051188, 'lng': 9.130239499999998}",Compagnia Dell'Espresso Srl,ChIJ3fBTTj3DhkcRim3S-K-o4io,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Viale Milanofiori SDA 6, Assago, MI 20090"
3,4,OPERATIONAL,"{'lat': 45.4051296, 'lng': 9.1302316}",Assago 03,ChIJpa5RTj3DhkcRYKcKGUFArM4,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Piazza degli Incontri, Assago"
4,5,OPERATIONAL,"{'lat': 45.4026414, 'lng': 9.1317121}",Rasoi baget,ChIJO3sglmrDhkcRRGm8QM7A9l8,,,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Roma, Assago"
5,7,OPERATIONAL,"{'lat': 45.4050609, 'lng': 9.130836700000001}","Bar Trattoria ""Anna & Giulio” Assago",ChIJvaB4Qz3DhkcRr6gS3Y_6P28,1.0,4.1,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",264.0,"Via dei Caduti, 8, Assago"
6,10,PERMANENTLY_CLOSED,"{'lat': 45.40301179999999, 'lng': 9.133735900000001}",Italiano,ChIJoxvp1MzDhkcRICqmEED4LLU,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Giovanni XXIII, 6, Assago"
7,11,OPERATIONAL,"{'lat': 45.40545909999999, 'lng': 9.130254899999999}",Boulevardier café & bistrot,ChIJzTvEUz3DhkcRHvgqc4hJ4pE,,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",199.0,"Via Roma, 22, Assago"
8,16,OPERATIONAL,"{'lat': 45.4025059, 'lng': 9.1402384}",The Blue Crab,ChIJUV3fhHzDhkcRK6xsPTkbcn0,,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']",4.0,"Via Giuseppe di Vittorio, 4, Assago"
9,18,OPERATIONAL,"{'lat': 45.4022505, 'lng': 9.14273}",Foodhall Restaurant Pizza Coffee,ChIJuS-IVkDDhkcRKPz1nHP0aN8,2.0,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']",15.0,"Via G. Di Vittorio, 6, Assago"
10,19,OPERATIONAL,"{'lat': 45.401644, 'lng': 9.1420511}",Forum Cafè,ChIJl1yirSrDhkcRPn8xwHrlhMg,,,"['bar', 'cafe', 'restaurant', 'store', 'point_of_interest', 'food', 'establishment']",,"Via Giuseppe di Vittorio, 6, Assago"
11,20,OPERATIONAL,"{'lat': 45.401644, 'lng': 9.1420511}",The Kitchen,ChIJLcpozbDDhkcRSQ4FAM9xJ1Y,,,"['restaurant', 'point_of_interest', 'food', 'establishment']",,"Via Giuseppe di Vittorio, 6, Assago"
12,24,OPERATIONAL,"{'lat': 45.40219460000001, 'lng': 9.147536299999999}",Machapokè,ChIJSdi6BKHDhkcRSUFSMJHGryI,,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']",82.0,"Viale Milanofiori, Assago"
13,26,OPERATIONAL,"{'lat': 45.4022459, 'lng': 9.1492058}",Alice Pizza Assago,ChIJI8LVGcTDhkcRwP7jeZwAsYw,2.0,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",40.0,"Viale Milanofiori, Assago"
14,27,OPERATIONAL,"{'lat': 45.4033096, 'lng': 9.156676000000001}",Marro Garden #Fisheria,ChIJK_zbjF3DhkcRTLGDi5uYe7w,2.0,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']",1047.0,"Via Valleambrosia, 3, Assago"
15,28,OPERATIONAL,"{'lat': 45.401651, 'lng': 9.155717}",UMU Sushi,ChIJzbFAsl3DhkcRHn_C-1Ntd84,1.0,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",1330.0,"Via Valleambrosia, 11, Rozzano"
16,29,PERMANENTLY_CLOSED,"{'lat': 45.4033031, 'lng': 9.1566742}",C'era una volta il Passatore,ChIJ6asRf1zDhkcR-TCkRe73ttM,,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']",13.0,"Via Valleambrosia, 3, Rozzano"
17,30,OPERATIONAL,"{'lat': 45.401651, 'lng': 9.1557218}",Ristorante Villa Yu,ChIJLYPKs13DhkcR4uiPTm0Q3og,,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",101.0,"Via Valleambrosia, 11, Assago"
18,33,PERMANENTLY_CLOSED,"{'lat': 45.4041332, 'lng': 9.169083299999999}",Rm Services S.r.l.,ChIJVVUVOZ_EhkcRTahEvjK1UaY,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Costantino Baroni, 190, Milano"
19,35,OPERATIONAL,"{'lat': 45.404514, 'lng': 9.174146}",Antica Osteria Il Ronchettino,ChIJZexKQpjEhkcRSKnOqLVEEOU,2.0,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']",1227.0,"Via Lelio Basso, 9, Milano"
20,36,OPERATIONAL,"{'lat': 45.4039192, 'lng': 9.1724335}",Pizzeria Il Molo,ChIJ13yD6ZjEhkcRqupBIvl6VSo,1.0,4.0,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",129.0,"Via Costantino Baroni, 244, Milano"
21,37,OPERATIONAL,"{'lat': 45.4040433, 'lng': 9.1723005}",Pizzeria Da Kiro Pizza da asporto,ChIJcS-p8ZjEhkcRRFjuY9Kx4f8,1.0,3.9,"['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",47.0,"Via Costantino Baroni, 242, Milano"
22,43,OPERATIONAL,"{'lat': 45.4006156, 'lng': 9.182365900000002}",The Refreshment of Frogs & Ranokkio,ChIJmwoqP77EhkcR43C2gzINuYw,,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",113.0,"Via Pescara, 44, Milano"
23,44,OPERATIONAL,"{'lat': 45.4042213, 'lng': 9.2727411}",Pizzeria Malibù 2,ChIJQSx9cJrPhkcREb4r7ByXC_c,1.0,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",66.0,"Via del Parlamento, 6, San Giuliano Milanese"
24,45,OPERATIONAL,"{'lat': 45.4051383, 'lng': 9.271803100000001}",Yu Hua,ChIJUxVZjJrPhkcRmNcG5b0--YY,1.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",524.0,"Via delle Crociate, 20, San Giuliano Milanese"
25,46,OPERATIONAL,"{'lat': 45.4047664, 'lng': 9.271458500000001}",Antica Trattoria del Borgo,ChIJofHQjZrPhkcRkEJAhkYegWQ,2.0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",1032.0,"Via delle Crociate, 25, San Giuliano Milanese"
26,47,OPERATIONAL,"{'lat': 45.40536350000001, 'lng': 9.272100199999999}",Pizzeria Bella Regina,ChIJOVrf9ZrPhkcRtQLKa5HwnFg,,3.9,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",31.0,"Via delle Crociate, 10, San Giuliano Milanese"
27,52,OPERATIONAL,"{'lat': 45.4012912, 'lng': 9.278977000000001}",Pizzeria Stella d'Oro,ChIJeT7A-UPPhkcRK7ip65uTRZw,,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",38.0,"Viale Fratelli Cervi, 30, San Giuliano Milanese"
28,54,OPERATIONAL,"{'lat': 45.4011184, 'lng': 9.2809647}",Ristorante la Primavera,ChIJLWRrc73PhkcRl-QzOZZs-BQ,1.0,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",109.0,"Via G. Carducci, 39, San Giuliano Milanese"
29,56,OPERATIONAL,"{'lat': 45.4065557, 'lng': 9.1289683}",Ristorante Pizzeria L'Agorà,ChIJGSETTj3DhkcRiDDoRtZfvq0,2.0,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']",1962.0,"Via Roma, 39, Assago"
30,58,OPERATIONAL,"{'lat': 45.40630309999999, 'lng': 9.1297138}",Il Trio,ChIJ9UCDZj3DhkcRm2nLgqTuIj8,1.0,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",162.0,"Via Roma, 28, Assago"
31,59,PERMANENTLY_CLOSED,"{'lat': 45.4060651, 'lng': 9.129367000000002}",Falena S.r.l.,ChIJc81pUHLChkcRElIYdL8_xOw,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Roma, 39, Assago"
32,76,OPERATIONAL,"{'lat': 45.40561719999999, 'lng': 9.1504342}",KFC,ChIJrcpMR0LDhkcRoV-e40H2RQw,1.0,4.0,"['restaurant', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",3420.0,"Viale Milanofiori, 18, Assago"
33,78,OPERATIONAL,"{'lat': 45.406353, 'lng': 9.1508512}",McDonald's,ChIJTT9V6WfDhkcR89MSCcbT7eA,1.0,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",4511.0,"Viale della Fonte Lunga, 1A, Assago"
34,79,OPERATIONAL,"{'lat': 45.40500249999999, 'lng': 9.152839899999998}",So'Riso Milano Fiori,ChIJcdOyvELDhkcR3yakp6rqu5M,,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",210.0,"Viale Milano Fiori, 1, Assago"
35,80,OPERATIONAL,"{'lat': 45.407825, 'lng': 9.152150599999999}",Wiener Haus,ChIJoUvokmbDhkcRsSJmR7oKvrQ,2.0,3.8,"['restaurant', 'bar', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",672.0,"centro commerciale Milanofiori Piazza degli Incontri, Via Cascina Venina, 4, Assago"
36,81,OPERATIONAL,"{'lat': 45.406021, 'lng': 9.151858599999999}",Calavera Fresh Mex - Assago,ChIJue2COy7DhkcRKvBZVHu2RfA,2.0,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",1483.0,"Viale della Fonte Lunga, Assago"
37,82,OPERATIONAL,"{'lat': 45.4050454, 'lng': 9.152785100000001}",Sushi Daily Assago,ChIJN9z2447DhkcROxmg2dU22Cg,,4.1,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",7.0,"Milanofiori Centro Commerciale, Viale Milanofiori, Milano"
38,83,OPERATIONAL,"{'lat': 45.4077976, 'lng': 9.151866000000002}",I love poke Assago,ChIJkXcRrUjDhkcRNuG4AsPtIo8,,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",39.0,"Piazza degli Incontri, 10, Assago"
39,84,OPERATIONAL,"{'lat': 45.4079059, 'lng': 9.151718100000002}",Velvet Cafe,ChIJTW3yBbPDhkcRRlhWJzsC7jE,,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",247.0,"Business Park, Piazza degli Incontri, 3, Assago"
40,85,OPERATIONAL,"{'lat': 45.408022, 'lng': 9.151479}",Burger Wave Assago,ChIJ_0qC22jDhkcRnaL3hisB0EI,2.0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",1135.0,"Business Park Milanofiori Nord, Piazza degli Incontri, 7, Assago"
41,86,OPERATIONAL,"{'lat': 45.4041906, 'lng': 9.152422200000002}",Gusto,ChIJjWz6QELDhkcRq6BZNWc90I0,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Viale Milano Fiori, 6, Assago"
42,91,OPERATIONAL,"{'lat': 45.4038615, 'lng': 9.153214100000001}",ROADHOUSE RESTAURANT ASSAGO,ChIJmVzhsGnDhkcRRlpMD_R63NI,2.0,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",1382.0,"c/o CC, Viale Milanofiori, Assago"
43,92,OPERATIONAL,"{'lat': 45.4036489, 'lng': 9.1527883}",Spontini,ChIJYw4WUl3DhkcRBRqupzRnLbA,1.0,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",1066.0,"Viale Milanofiori, Assago"
44,93,OPERATIONAL,"{'lat': 45.40361069999999, 'lng': 9.1520207}",Focacceria Saporita,ChIJ1VYAFmjDhkcROsnNIU-PJ9Q,,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",36.0,"Viale Milano Fiori, 1, Assago"
45,94,OPERATIONAL,"{'lat': 45.4036108, 'lng': 9.151838500000002}",Burger King,ChIJG_daUl3DhkcRd-n6BP2V4lg,1.0,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",592.0,"Viale Milanofiori, Assago"
46,95,OPERATIONAL,"{'lat': 45.40353489999999, 'lng': 9.152661499999999}",Autogrill,ChIJ9WVyvELDhkcRDAjfvttB5FU,2.0,3.8,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",77.0,"Viale Milanofiori, Assago"
47,96,OPERATIONAL,"{'lat': 45.4082257, 'lng': 9.151541600000002}",Old Wild West,ChIJ6UhNz2jDhkcRsZGprzyp7zQ,2.0,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",1137.0,"Business Park Milanofiori Nord, Assago"
48,97,PERMANENTLY_CLOSED,"{'lat': 45.4083617, 'lng': 9.151717000000001}",Delta Srl,ChIJ3fBTTj3DhkcRYzvVfajM5hQ,,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"Piazza degli Incontri, 16, Assago"
49,98,OPERATIONAL,"{'lat': 45.4083791, 'lng': 9.152165000000002}",Fratelli la Bufala,ChIJTUj1vmjDhkcRL7qLNLZL_Xo,2.0,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",951.0,"Piazza degli Incontri, 8, A, Assago"
50,103,OPERATIONAL,"{'lat': 45.40391140000001, 'lng': 9.1525206}",Rossopomodoro Assago,ChIJ1bjmH77DhkcRhWWuUgIlHkc,2.0,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",398.0,"Viale Milano Fiori, Assago"
51,105,OPERATIONAL,"{'lat': 45.40792769999999, 'lng': 9.153245499999997}",Cece Nero,ChIJJS7rpGjDhkcRciUsGaD958w,,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"Via Roggia Bartolomea, 5, Assago"
52,106,OPERATIONAL,"{'lat': 45.4037156, 'lng': 9.1521622}",Bottega Portici Assago,ChIJpSYMOfXDhkcR8CrQezGwi6Q,,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",190.0,"Viale Milanofiori, Assago"
53,112,OPERATIONAL,"{'lat': 45.4037248, 'lng': 9.153400699999997}",Sushi Daily,ChIJ4fLaVl3DhkcRjfly09Ub5AQ,2.0,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",859.0,"Viale della Fonte Lunga, Assago"
54,115,PERMANENTLY_CLOSED,"{'lat': 45.408322, 'lng': 9.1535373}",Fantamondo Srl,ChIJA8LYgMjnhkcRG6cmeZs99vE,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Roggia Bartolomea, 7, Vigano"
55,127,PERMANENTLY_CLOSED,"{'lat': 45.4063621, 'lng': 9.265366499999999}",La Cantina Della Tinozza,ChIJTfcht4XPhkcRaDDeuA_J08Q,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via G. di Vittorio, 18, San Donato Milanese"
56,128,OPERATIONAL,"{'lat': 45.4069582, 'lng': 9.265195499999997}",Pizzeria Titanic,ChIJM3fhNYTPhkcR_1MFpjX-tTU,1.0,3.7,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",116.0,"Via Ferruccio Parri, 59, San Donato Milanese"
57,129,OPERATIONAL,"{'lat': 45.4063311, 'lng': 9.265411799999999}",5 Colonne,ChIJbXP4toXPhkcRRppBK25gFN0,2.0,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",512.0,"Via G. di Vittorio, 18, San Donato Milanese"
58,130,OPERATIONAL,"{'lat': 45.406719, 'lng': 9.265589399999998}",Number One Di Marasca Pasquale,ChIJ-02QyoXPhkcRxEn2tsz74vA,,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",9.0,"Via G. di Vittorio, 1, San Donato Milanese"
59,139,PERMANENTLY_CLOSED,"{'lat': 45.4079369, 'lng': 9.268554900000002}",Pizzeria da zamasu,ChIJX4H944nPhkcReUApyvG_Wys,,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"Via Brenta, 9/1, San Donato Milanese"
60,151,OPERATIONAL,"{'lat': 45.4092442, 'lng': 9.112831600000002}",Mr. Fantasy,ChIJq3WnJefChkcR2KMDhZr1d1g,2.0,4.2,"['bar', 'bakery', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",507.0,"Largo Brugnatelli, 5, Buccinasco"
61,153,OPERATIONAL,"{'lat': 45.4107374, 'lng': 9.1179522}",Il Pinguino,ChIJ5bklkeHChkcR6Q4IkG6dzwA,2.0,3.9,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",394.0,"Via della Resistenza angolo Via Toscanelli, Buccinasco"
62,155,OPERATIONAL,"{'lat': 45.4088107, 'lng': 9.1253175}",Ristorante Il Fontanile,ChIJV2A1PRnDhkcRwlX4LVXE040,1.0,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",718.0,"Via Mario Idiomi, 1, Assago"
63,162,OPERATIONAL,"{'lat': 45.4092929, 'lng': 9.132306999999999}",Pizzeria Il Drago Verde,ChIJaXA-QBfDhkcRbuqa9vJQpzA,1.0,4.7,"['restaurant', 'point_of_interest', 'food', 'establishment']",272.0,"Via Giacomo Matteotti, 10, Assago"
64,163,OPERATIONAL,"{'lat': 45.40884739999999, 'lng': 9.1320822}",Pizzeria Ebramo 3,ChIJvRKzQBfDhkcRMYqXkjPxxFk,1.0,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",96.0,"Via Giacomo Matteotti, 10, Assago"
65,166,OPERATIONAL,"{'lat': 45.41109100000001, 'lng': 9.132264}",Mensa Scolastica,ChIJQcMxpRDDhkcRbJIRg8xgK3Y,,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"Via Leonardo Da Vinci, 1, Assago"
66,169,OPERATIONAL,"{'lat': 45.4109197, 'lng': 9.143160599999998}",Ristorante da Kico,ChIJB-2lMhPDhkcRZbgvo_a4OU0,2.0,4.5,"['restaurant', 'lodging', 'point_of_interest', 'food', 'establishment']",1185.0,"Via Cascina Bazzana superiore, 4, Assago"
67,171,OPERATIONAL,"{'lat': 45.4093495, 'lng': 9.1504824}",Tramé - Milanofiori,ChIJVdyu1m7DhkcRqaNmCVm_R4o,,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",43.0,"U4, Edificio, Via del Bosco Rinnovato, 8, Assago"
68,174,OPERATIONAL,"{'lat': 45.40936230000001, 'lng': 9.150782099999999}",That's Vapore Assago,ChIJVdyu1m7DhkcRJmUEmdgKOPw,2.0,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']",308.0,"Via del Bosco Rinnovato, 8, Assago"
69,180,OPERATIONAL,"{'lat': 45.40934, 'lng': 9.1513387}",La Piadineria,ChIJNzzRpg_DhkcRWjML2zeTja8,1.0,3.0,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",2.0,"Via del Bosco Rinnovato, 8, Milano"
70,181,PERMANENTLY_CLOSED,"{'lat': 45.4083617, 'lng': 9.151717000000001}",Foodissimo,ChIJAQCw22jDhkcRDgqSoTnOhPg,,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']",11.0,"Piazza degli Incontri, 16, Milano"
71,183,OPERATIONAL,"{'lat': 45.4083552, 'lng': 9.1520686}",Vintage Break,ChIJgbTfz2jDhkcR0qZw26mJca8,2.0,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",342.0,"Piazza degli Incontri, 12, Milano"
72,219,OPERATIONAL,"{'lat': 45.40917349999999, 'lng': 9.267466599999999}",WASHINGTON 2,ChIJNaa8gIPPhkcRL1oQTNjfRZI,1.0,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",270.0,"Via Mincio, 8, San Donato Milanese"
73,221,PERMANENTLY_CLOSED,"{'lat': 45.4088644, 'lng': 9.2682124}",Alle Cascine,ChIJv3WigoTPhkcRmzrNfgaxNGI,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Adige, 4, San Donato Milanese"
74,227,OPERATIONAL,"{'lat': 45.4107215, 'lng': 9.273059100000001}",Ristorante Pizzeria San Giorgio san donato Milanese,ChIJVVWx45zPhkcR1f24PLcjWno,1.0,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",176.0,"Via Giovanni Pascoli, 5, San Donato Milanese"
75,232,PERMANENTLY_CLOSED,"{'lat': 45.412584, 'lng': 9.0891881}",ristorante bub,ChIJF8Gv55bChkcRl-ExKG8YKL8,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via del Commercio, Gaggiano"
76,239,OPERATIONAL,"{'lat': 45.4139537, 'lng': 9.124915900000001}",La Griglia sul Fuoco,ChIJgS0XiRzDhkcRACOR502PDEA,2.0,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']",1409.0,"Viale Lomellina, 26, Buccinasco"
77,256,OPERATIONAL,"{'lat': 45.4124126, 'lng': 9.1737185}",La Pizza Pulcinella,ChIJBcFGuITEhkcRiZH5r5O_BQI,1.0,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",140.0,"Via Costantino Baroni, 12, Milano"
78,257,OPERATIONAL,"{'lat': 45.4122049, 'lng': 9.174050000000001}",Braceria Gratosoglio del pascolo verde,ChIJ7XoxyITEhkcRke3livPQYgY,,3.8,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",60.0,"Via Costantino Baroni, 1, Milano"
79,262,OPERATIONAL,"{'lat': 45.4134441, 'lng': 9.209488200000001}",Locanda Macconago Ristorante,ChIJRYh2IfzEhkcRODTGAkghhj4,2.0,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']",236.0,"Via Macconago, 20, Milano"
80,264,OPERATIONAL,"{'lat': 45.4126074, 'lng': 9.2518171}",Borgo Bagnolo Restaurant Milano,ChIJp6PdH3nFhkcRbPkuJE_rkEE,2.0,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",696.0,"Via Luigi Calabresi, 42, San Donato Milanese"
81,267,OPERATIONAL,"{'lat': 45.4118827, 'lng': 9.2685017}",Ristorante Pizzeria Quattro Archi,ChIJ5xEiWILPhkcR8A4nzr1CgfQ,1.0,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']",1029.0,"Via Trieste, 43, San Donato Milanese"
82,268,OPERATIONAL,"{'lat': 45.4116423, 'lng': 9.266919099999997}",Benny Pizza,ChIJk-ZIvSPPhkcR7zelD9LTidY,,4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']",94.0,"Via Dante Alighieri, 17, San Donato Milanese"
83,269,OPERATIONAL,"{'lat': 45.4124664, 'lng': 9.267863}",Pizzeria Trieste,ChIJmQCHQoLPhkcRN_Xx8wy1x-g,1.0,4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']",154.0,"Via Trieste, 21, San Donato Milanese"
84,280,OPERATIONAL,"{'lat': 45.4126719, 'lng': 9.2749532}",Koku poke n'roll & Booba'z Bubble Tea,ChIJBQp4Ga_PhkcRqdLlv2m1_zw,,4.9,"['restaurant', 'point_of_interest', 'food', 'establishment']",28.0,"Via Europa, 44, San Donato Milanese"
85,281,OPERATIONAL,"{'lat': 45.4127054, 'lng': 9.2749715}",Pizzeria Take Away da William,ChIJOTyRg53PhkcR8EllDzBDQT8,1.0,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",168.0,"Via Europa, 44, San Donato Milanese"
86,285,OPERATIONAL,"{'lat': 45.41645049999999, 'lng': 9.069220699999999}",La Family,ChIJ46YZElvphkcRB6ZyTs9DZ0Q,,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']",25.0,"Via Circonvallazione, 61, Trezzano sul Naviglio"
87,286,OPERATIONAL,"{'lat': 45.4139499, 'lng': 9.089392900000002}",Campus Café,ChIJWa6UiezDhkcRYhzhxcwx26Y,,4.0,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",3.0,"Via del Commercio, 40, Buccinasco"
88,291,PERMANENTLY_CLOSED,"{'lat': 45.4146849, 'lng': 9.1168737}",Pizza al trancio,ChIJx95HW6fDhkcRgNFo96FDoDQ,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Piemonte, 2, Buccinasco"
89,292,OPERATIONAL,"{'lat': 45.41566509999999, 'lng': 9.115561999999999}",Divino Cafè - Wine Food Bar,ChIJOQJdpM_DhkcRk8-oQJff9Gw,,4.5,"['bar', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",32.0,"Via della Resistenza, 46, Buccinasco"
90,293,OPERATIONAL,"{'lat': 45.41467280000001, 'lng': 9.1170539}",Gustavo Buccinasco,ChIJXXidUcrDhkcRCWsYQy6KANk,2.0,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",1035.0,"Via Piemonte, 2, Buccinasco"
91,294,OPERATIONAL,"{'lat': 45.4160208, 'lng': 9.1159795}",La Piadineria,ChIJrbwCdprDhkcRm6_rS-jJ4vo,,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",11.0,"Via della Resistenza, 121, Buccinasco"
92,302,PERMANENTLY_CLOSED,"{'lat': 45.41395730000001, 'lng': 9.1248502}",Grill,ChIJh5I8MobDhkcRbcdB0_M3deU,,,"['restaurant', 'point_of_interest', 'food', 'establishment']",,"Viale Lomellina, 26, Buccinasco"
93,303,OPERATIONAL,"{'lat': 45.4160315, 'lng': 9.1232451}",Eat Happy Buccinasco,ChIJ9wCpk7jDhkcRkcr9CcC8xKs,,5.0,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",1.0,"Il Viaggiator Goloso, Viale Lomellina, 16, Buccinasco"
94,304,PERMANENTLY_CLOSED,"{'lat': 45.4164324, 'lng': 9.122032700000002}",Chen Li Mei,ChIJw20bqQLDhkcR9dXp0gQ42uo,,,"['restaurant', 'point_of_interest', 'food', 'establishment']",,"Via Toscana, 63, Buccinasco"
95,308,OPERATIONAL,"{'lat': 45.41660299999999, 'lng': 9.1244972}",Bar Più 1986,ChIJf1JzzxzDhkcRCJlPC-Ri3y4,2.0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",556.0,"Via Lomellina, Via Aldo Moro, 31, Buccinasco"
96,311,OPERATIONAL,"{'lat': 45.4140508, 'lng': 9.162860199999999}",Charleston,ChIJRZUFlXzDhkcRpk0sBaJuIIE,2.0,4.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",410.0,"Via Icilio Calzolari, 1, Milano"
97,312,OPERATIONAL,"{'lat': 45.4140904, 'lng': 9.1629139}",Salcone Sas,ChIJZYMQlXzDhkcRpPXG4oOeZ0k,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Icilio Calzolari, 1, Milano"
98,317,OPERATIONAL,"{'lat': 45.4146849, 'lng': 9.1694502}",SAN GAUDIENZO,ChIJwygH8-rFhkcRENsYwTjsLMo,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Gratosoglio, Milano"
