trip,similar
 Abcafè,"[{'score': 89, 'google': 'Acafè', 'formatted_google': 'acafè'}, {'score': 89, 'google': 'Acafè', 'formatted_google': 'acafè'}, {'score': 89, 'google': 'Acafè', 'formatted_google': 'acafè'}, {'score': 91, 'google': 'Lab café', 'formatted_google': 'labcafé'}]"
 Acqua e Sale,"[{'score': 95, 'google': 'Acqua e Sale 2', 'formatted_google': 'acquaesale2'}, {'score': 84, 'google': 'Acquasala', 'formatted_google': 'acquasala'}]"
 Acqua e sale da zio Nino,"[{'score': 84, 'google': 'Osteria Acqua e Sale da zio Nino', 'formatted_google': 'osteriaacquaesaledazionino'}]"
 Aethos Kitchen,[]
 AMICI DI OPLA',[]
 Affori Ristorante,"[{'score': 81, 'google': 'Affori Restaurant', 'formatted_google': 'afforirestaurant'}, {'score': 80, 'google': 'Al Portico ristorante', 'formatted_google': 'alporticoristorante'}, {'score': 81, 'google': 'Armani/Ristorante', 'formatted_google': 'armaniristorante'}, {'score': 83, 'google': 'YAO Ristorante', 'formatted_google': 'yaoristorante'}]"
 Ade Cafè,"[{'score': 80, 'google': 'Acafè', 'formatted_google': 'acafè'}, {'score': 80, 'google': 'Acafè', 'formatted_google': 'acafè'}, {'score': 80, 'google': 'Acafè', 'formatted_google': 'acafè'}, {'score': 80, 'google': 'Garden Cafè', 'formatted_google': 'gardencafè'}]"
 Adriatico,[]
 Ai Bastioni,"[{'score': 100, 'google': 'Ai Bastioni', 'formatted_google': 'aibastioni'}]"
 Africa,[]
 Acai Sisters,[]
 Affettami,[]
 Ai Tre Gradini,"[{'score': 100, 'google': 'Ai Tre Gradini', 'formatted_google': 'aitregradini'}]"
 Acai Frullateria,[]
 Actors Studios Cafe,[]
 Agua Sancta,[]
 Aguacate Porta Romana,[]
 Aji,[]
 Aki me Kedo,"[{'score': 100, 'google': 'Aki me kedo', 'formatted_google': 'akimekedo'}]"
 Ai 3 Scugnizzi,"[{'score': 85, 'google': 'Ai Tre Scugnizzi', 'formatted_google': 'aitrescugnizzi'}]"
 Ai Balestrari sul Naviglio Pavese,[]
 Aksu Turkish Kebap Tavola Calda,"[{'score': 100, 'google': 'Aksu Turkish Kebap Tavola Calda', 'formatted_google': 'aksuturkishkebaptavolacalda'}]"
 Ai 3 Fratelli,[]
 Agriturismo Il Gelso,[]
 Airness Restaurant & CafÃ¨,[]
 Ai Giardini Paprika & Cannella,"[{'score': 83, 'google': 'Ristorante ai Giardini Paprika & Cannella', 'formatted_google': 'ristoranteaigiardinipaprikacannella'}]"
 Aimo e Nadia bistro,[]
 Akwaba,"[{'score': 83, 'google': 'Wakaba', 'formatted_google': 'wakaba'}]"
 Akkademia Pub,[]
 Aivoglia,[]
 Al Basilico Fresco,"[{'score': 100, 'google': 'Al Basilico Fresco', 'formatted_google': 'albasilicofresco'}]"
 Al 44,[]
 Akkademia II,[]
 Al 2cento,[]
 Ajoblanco Isola,[]
 Ai Bei Tranquilli,[]
 Al Cantinone,"[{'score': 100, 'google': 'Al Cantinone', 'formatted_google': 'alcantinone'}]"
 Al 91,[]
 Al Cantinone,"[{'score': 100, 'google': 'Al Cantinone', 'formatted_google': 'alcantinone'}]"
 Al 20,[]
 Al Bacco,[]
 Ai Piedi dell' Etna,[]
 Al Coniglio Bianco,"[{'score': 100, 'google': 'Al Coniglio Bianco', 'formatted_google': 'alconigliobianco'}]"
 Al Bacio Turati,[]
 Al Cortile,"[{'score': 100, 'google': 'Al Cortile', 'formatted_google': 'alcortile'}]"
 Al Cuoco di Bordo,"[{'score': 100, 'google': 'Al cuoco di bordo', 'formatted_google': 'alcuocodibordo'}]"
 Al Caffe di Via Fauche,[]
 Al Bacio Navigli,[]
 Al Galileo,"[{'score': 100, 'google': 'Al Galileo', 'formatted_google': 'algalileo'}]"
 Al Chiossetto Cafè Restaurant,"[{'score': 80, 'google': 'Al Chiossetto Bar Ristorante', 'formatted_google': 'alchiossettobarristorante'}]"
 Al Garghet,"[{'score': 100, 'google': 'Al Garghet', 'formatted_google': 'algarghet'}]"
 Al Grigliaro,"[{'score': 100, 'google': 'Al Grigliaro', 'formatted_google': 'algrigliaro'}]"
 Al Confine,[]
 Al Less,"[{'score': 100, 'google': 'Al Less', 'formatted_google': 'alless'}]"
 Al Bicocca - Milano,[]
 Al Matarel,"[{'score': 100, 'google': 'Al Matarel', 'formatted_google': 'almatarel'}]"
 Al Meazza Ristorante Pizzeria,"[{'score': 100, 'google': 'Al Meazza Ristorante Pizzeria', 'formatted_google': 'almeazzaristorantepizzeria'}]"
 Al Buon Convento Bistrot Caffetteria,[]
 Al Bistrò Milano,"[{'score': 85, 'google': 'Bistrot Milano', 'formatted_google': 'bistrotmilano'}, {'score': 80, 'google': 'Cita Bistrot Milano', 'formatted_google': 'citabistrotmilano'}]"
 Al Ceppo Folle,[]
 Al Meucci,"[{'score': 100, 'google': 'Al Meucci', 'formatted_google': 'almeucci'}]"
 Al Mozzo,"[{'score': 100, 'google': 'Al Mozzo', 'formatted_google': 'almozzo'}]"
 Al Coccio,[]
 Al Desiderio,"[{'score': 90, 'google': 'Desiderio', 'formatted_google': 'desiderio'}]"
 Al Nazionale...Naturalmente,"[{'score': 100, 'google': 'Al Nazionale...naturalmente', 'formatted_google': 'alnazionalenaturalmente'}]"
 Al Noor 2 Rosticceria Indiana,"[{'score': 100, 'google': 'Al Noor 2 Rosticceria Indiana', 'formatted_google': 'alnoor2rosticceriaindiana'}]"
 Al Mercato,[]
 Al Galeone,"[{'score': 88, 'google': 'Galeone', 'formatted_google': 'galeone'}]"
 Al Paradiso della Pizza,"[{'score': 100, 'google': 'Al Paradiso della Pizza', 'formatted_google': 'alparadisodellapizza'}]"
 Al Parco Verde,"[{'score': 100, 'google': 'Al Parco Verde', 'formatted_google': 'alparcoverde'}]"
 Al Padellone,"[{'score': 100, 'google': 'Al Padellone', 'formatted_google': 'alpadellone'}]"
 Al Grisea,[]
 Al Conte Ugolino,[]
 Al Portico,"[{'score': 100, 'google': 'Al Portico', 'formatted_google': 'alportico'}]"
 Al Mercato Steaks Burgers,"[{'score': 80, 'google': ""Al Mercato Steaks Burgers Sant'Eufemia"", 'formatted_google': 'almercatosteaksburgerssanteufemia'}]"
 Al Capriccio di licia e oreste,"[{'score': 83, 'google': 'Ristorante Al Capriccio di Licia e Oreste', 'formatted_google': 'ristorantealcapricciodiliciaeoreste'}]"
 Al Pizzetta,"[{'score': 86, 'google': 'La Piazzetta', 'formatted_google': 'lapiazzetta'}]"
 Al Magna Magna,[]
 Al Rifugio Pugliese da Muciaccia,"[{'score': 100, 'google': 'Al Rifugio Pugliese da Muciaccia', 'formatted_google': 'alrifugiopugliesedamuciaccia'}]"
 Al Rubattino,"[{'score': 100, 'google': 'Al Rubattino', 'formatted_google': 'alrubattino'}]"
 Al Pulentin,"[{'score': 100, 'google': 'Al Pulentin', 'formatted_google': 'alpulentin'}]"
 Al Solito Posto,"[{'score': 100, 'google': 'Al Solito Posto', 'formatted_google': 'alsolitoposto'}]"
 Al Sorriso,"[{'score': 100, 'google': 'Al Sorriso', 'formatted_google': 'alsorriso'}]"
 Al Sale Grosso,"[{'score': 100, 'google': 'Al Sale Grosso', 'formatted_google': 'alsalegrosso'}]"
 Al Tempio D'Oro,"[{'score': 100, 'google': ""Al Tempio D'oro"", 'formatted_google': 'altempiodoro'}]"
 Al Gargano,[]
 Al Mercante in Fiera,[]
 Al Valentino,"[{'score': 100, 'google': 'Al Valentino', 'formatted_google': 'alvalentino'}]"
 Al Vecchio Aratro,"[{'score': 100, 'google': 'Al Vecchio Aratro', 'formatted_google': 'alvecchioaratro'}]"
 Al Vecchio Porco,"[{'score': 100, 'google': 'Al Vecchio Porco', 'formatted_google': 'alvecchioporco'}]"
 Al Pozzo Di Samaria,"[{'score': 100, 'google': 'Al Pozzo Di Samaria', 'formatted_google': 'alpozzodisamaria'}]"
 Al Muleto,"[{'score': 82, 'google': 'Al Muretto', 'formatted_google': 'almuretto'}]"
 Al Nove,[]
 Al Ventisette,[]
 Al Timeout 4,"[{'score': 89, 'google': 'Timeout 4', 'formatted_google': 'timeout4'}]"
 Al Pont De Fer,[]
 Al Portello,"[{'score': 82, 'google': 'Al Porto', 'formatted_google': 'alporto'}, {'score': 82, 'google': 'Casa Portello', 'formatted_google': 'casaportello'}]"
 Alberto Milano,"[{'score': 100, 'google': 'Alberto Milano', 'formatted_google': 'albertomilano'}]"
 Al sesamo,[]
 Albufera,"[{'score': 100, 'google': 'Albufera', 'formatted_google': 'albufera'}]"
 Al Posto Giusto,[]
 Al Tagliando,"[{'score': 80, 'google': 'L´Italiano', 'formatted_google': 'l´italiano'}]"
 Al panino 900,[]
 Al Naviglio,"[{'score': 80, 'google': 'Carlo al Naviglio', 'formatted_google': 'carloalnaviglio'}]"
 AlBar,"[{'score': 89, 'google': 'LùBar', 'formatted_google': 'lùbar'}]"
 Alduccio Taverna Calabra,"[{'score': 100, 'google': 'Alduccio - Taverna Calabra', 'formatted_google': 'alducciotavernacalabra'}]"
 Alessandro Borghese - Il Lusso della Semplicità,"[{'score': 100, 'google': 'Alessandro Borghese - Il lusso della semplicità', 'formatted_google': 'alessandroborgheseillussodellasemplicità'}]"
 Alfa Pizza,"[{'score': 100, 'google': 'ALFA PIZZA', 'formatted_google': 'alfapizza'}]"
 Al Portico SAS Di Sharkawy Hany & C.,[]
 Al Timeout 7,[]
 Alhambra Risto Veg,"[{'score': 100, 'google': 'Alhambra Risto veg', 'formatted_google': 'alhambraristoveg'}]"
 Alia Rosticceria,"[{'score': 100, 'google': 'Alia Rosticceria', 'formatted_google': 'aliarosticceria'}]"
 Alibi,[]
 Alice Pizza,"[{'score': 100, 'google': 'Alice Pizza', 'formatted_google': 'alicepizza'}]"
 Alice Pizza,"[{'score': 100, 'google': 'Alice Pizza', 'formatted_google': 'alicepizza'}]"
 Alice Pizza,"[{'score': 100, 'google': 'Alice Pizza', 'formatted_google': 'alicepizza'}]"
 Alice Pizza,"[{'score': 100, 'google': 'Alice Pizza', 'formatted_google': 'alicepizza'}]"
 Alhambra Cafe,[]
 Alice Pizza,"[{'score': 100, 'google': 'Alice Pizza', 'formatted_google': 'alicepizza'}]"
 Alice Pizza,"[{'score': 100, 'google': 'Alice Pizza', 'formatted_google': 'alicepizza'}]"
 Alice Pizza,"[{'score': 100, 'google': 'Alice Pizza', 'formatted_google': 'alicepizza'}]"
 Alice Pizza,"[{'score': 100, 'google': 'Alice Pizza', 'formatted_google': 'alicepizza'}]"
 Albergo Diurno Cobianchi,[]
 Alchimia,"[{'score': 94, 'google': ""L'Alchimia"", 'formatted_google': 'lalchimia'}]"
 Alchimie,"[{'score': 82, 'google': ""L'Alchimia"", 'formatted_google': 'lalchimia'}]"
 Alice Pizza Città Studi,"[{'score': 100, 'google': 'Alice Pizza Città Studi', 'formatted_google': 'alicepizzacittàstudi'}]"
 Alice Pizza,"[{'score': 100, 'google': 'Alice Pizza', 'formatted_google': 'alicepizza'}]"
 Alice Pizza Dergano,"[{'score': 100, 'google': 'Alice Pizza Dergano', 'formatted_google': 'alicepizzadergano'}]"
 All American Diner,"[{'score': 100, 'google': 'All American Diner', 'formatted_google': 'allamericandiner'}]"
 Al panino,[]
 Alessandro Bistrot della Pesa,[]
 Al-Amin - Ristorante Indiano,"[{'score': 85, 'google': 'Abinaya Ristorante Indiano', 'formatted_google': 'abinayaristoranteindiano'}, {'score': 93, 'google': 'Ali Ristorante indiano', 'formatted_google': 'aliristoranteindiano'}, {'score': 83, 'google': 'Jaipur ristorante indiano', 'formatted_google': 'jaipurristoranteindiano'}, {'score': 84, 'google': 'Raj Ristorante Indiano', 'formatted_google': 'rajristoranteindiano'}, {'score': 86, 'google': 'Tara Ristorante Indiano', 'formatted_google': 'tararistoranteindiano'}]"
 All'Origine,"[{'score': 100, 'google': ""All'Origine"", 'formatted_google': 'allorigine'}]"
 AleXAmber Fish Cuisine,[]
 Alla Cadrega,"[{'score': 100, 'google': 'Alla Cadrega', 'formatted_google': 'allacadrega'}]"
 Aldilà del Vino,[]
 Alla Griglia,"[{'score': 100, 'google': 'Alla Griglia', 'formatted_google': 'allagriglia'}]"
 Alice Pizzeria,"[{'score': 87, 'google': 'Alice Pizza', 'formatted_google': 'alicepizza'}, {'score': 87, 'google': 'Alice Pizza', 'formatted_google': 'alicepizza'}, {'score': 87, 'google': 'Alice Pizza', 'formatted_google': 'alicepizza'}, {'score': 80, 'google': 'Alice Pizza Dergano', 'formatted_google': 'alicepizzadergano'}, {'score': 80, 'google': 'Coke Pizzeria', 'formatted_google': 'cokepizzeria'}, {'score': 80, 'google': 'Sole Pizzeria', 'formatted_google': 'solepizzeria'}]"
 Alla Toscana,"[{'score': 100, 'google': 'Alla Toscana...', 'formatted_google': 'allatoscana'}]"
 All Isola,"[{'score': 86, 'google': ""L'isola"", 'formatted_google': 'lisola'}]"
 Albertone - Fraschetta Romana,[]
 Alice Pizza (milano - Via Torino),[]
 Alkemia Lounge Cafe,[]
 Allangolare,[]
 All'Antico Vinaio,"[{'score': 83, 'google': ""All'Antico Vinaio Milano"", 'formatted_google': 'allanticovinaiomilano'}]"
 Alice Pizza Buenos Aires,[]
 Altatto,"[{'score': 100, 'google': 'Altatto', 'formatted_google': 'altatto'}]"
 Alma Bar,[]
 All'Officina Caffe & Cucina,[]
 Alle Zitelle,[]
 Alla Pala,[]
 All'improvviso Bistrò Café,[]
 Altro che Pizza,"[{'score': 100, 'google': 'Altro Che Pizza', 'formatted_google': 'altrochepizza'}]"
 Aloha Poké,[]
 Alla Fermata,[]
 AltaGuardia17,[]
 Ama Sushi Fusion Restaurant,"[{'score': 100, 'google': 'Ama Sushi Fusion Restaurant', 'formatted_google': 'amasushifusionrestaurant'}]"
 Allo Spaccio del Pesce,[]
 Ali Baba Pizzeria d'asporto,"[{'score': 82, 'google': ""Pizzeria D'Asporto"", 'formatted_google': 'pizzeriadasporto'}, {'score': 82, 'google': ""Pizzeria D'asporto"", 'formatted_google': 'pizzeriadasporto'}, {'score': 82, 'google': ""Pizzeria d'Asporto"", 'formatted_google': 'pizzeriadasporto'}, {'score': 80, 'google': 'Pizzeria da Asporto', 'formatted_google': 'pizzeriadaasporto'}]"
