id_restaurants,bubbles,title,description
3,bubble_50,,"Trovato grazie a Trip... Semplice, ma molto buono, quello che stavamo cercando, vasta scelta per tutti i gusti... Locale piccolo, un pochino spartano, senza bagno... I (deduco) titolari, sono gentili e disponibili, prezzi nella media per la qualità proposta. Lo consiglio!"
3,bubble_50,,"Il locale, molto piccolo, è carino e valorizzato dai tavoli all’esterno. La qualità delle materie prime è sempre eccellente: ingredienti di alta qualità e freschissimi, pane ideale per questo tipo di offerta e vini ben selezionati. Le proposte sono estrose e tutte ben bilanciate, per...Più"
3,bubble_50,,Panini gourmet eccezionali ! La signora attenta e puntuale. Qualita della materia prima ottima. Pulito e bellissima atmosfera. Tutto Super!
3,bubble_50,,"Ottima paninoteca a due passi dall'università statale. I panini sono una delizia per il palato e per gli occhi. Questa volta ho voluto provare un ""delicato"" con tacchino, pomodoro ramato, rucola e maionese. La titolare è molto gentile e con grande capacità si ricorda tutte...Più"
3,bubble_50,,"Posto minuscolo in pieno centro, che consiglio non solo per gli eccellenti panini ma anche per la simpatia della cordiale proprietaria, capace di passare dall'inglese al milanese in un baleno. Clientela prevalente di giovani turisti stranieri, tutti molto felici nonostante un po' di attesa per...Più"
3,bubble_50,,"Ottima qualità delle materie prime, lavorate con cura e passione. Pane morbidissimo! Ogni panino viene preparato al momento ed i salumi vengono affettati quando arriva l’ordine…valore aggiunto. Piccola ma attenta selezione di vini e birre con mescita giornaliera. Locale molto carino, semplice ed essenziale…l’attenzione da...Più"
3,bubble_50,,"Non pensavo di trovare un locale eccellente a due passi dal Duomo di Milano, con prodotti freschi, genuini e di qualità, come la coppa Piacentina DOP mangiata oggi a mezzogiorno ad un ottimo prezzo. Titolari gentili, professionali ed attenti alle esigenze dei clienti. Il locale...Più"
3,bubble_50,,"Location molto carina, panini ottimi e personale ultra simpatico, sembrava veramente di essere fuori dal grigiore milanese."
3,bubble_50,,"Il locale è situato a pochi passi dal Duomo, servizio gentile, cibo ottimo, hanno anche un buonissima selezione di birre; merita 5 su 5. DA PROVARE!"
4,bubble_50,,"Ci hanno servito due ragazzi cordiali e gentili, Veronica e Mirko, sono già venuta più volta e mi sono sempre trovata bene."
4,bubble_50,,Bellissima esperienza sia per l'accoglienza e il servizio dei ragazzi ma soprattutto per l'ottimo cibo😍. Sicuramente ritornerò 😊
4,bubble_50,,"Molto buone l’aperitivo, cibo abbondante e personale molto disponibile. Consigliato anche per il quartiere molto carino."
4,bubble_50,,Ottimo servizio accoglienti e simpatici!! Il cibo è ottimo anche abbondante. Un ottimo posto per passare un bell'aperitivo con amici.
4,bubble_50,,Personale molto educato ed disponibile il cibo super buono e abbondante mi hanno servito Veronica e Mirko
4,bubble_50,,"aperitivo completo e drink piacevole, negroni molto bilanciato. qualità personale attento e amichevole."
4,bubble_50,,"Aperitivo abbondante e super buono, il personale amichevole e simpatico, molto carino il locale per passare una serata con gli amici"
4,bubble_50,,- Locale accogliente - Cibo ottimo e abbondante - Drink fenomenali Consiglio vivamente di andare a provare!
4,bubble_50,,"Aperitivo super abbondante, camerieri gentilissimi, vastissima selezione di gin e drink, super consigliatoooo!!!"
4,bubble_50,,Si mangia e si beve da dio ! Personali simpatici ! Se vuoi un buon aperitivo vieni qui ! Consiglio!!
5,bubble_50,,"Accoglienza molto calda , cibo squisito oltre che di qualità, prezzo giusto per quello che si mangia . Un ringraziamento personale va al membro dello staff Guido che ci ha seguito accuratamente durante il nostro percorso in uno dei ristoranti di carne migliore di Milano...Più"
5,bubble_50,,Wow!!! Ottimo tutto dall'antipasto al dolce Anche i contorni meritano u na menzione d'onore riescono a sorprenderti nel paradiso del carnivoro
5,bubble_50,,"Tornato per la seconda volta, questa volta con la famiglia. Non ho parole. Tutto veramente buono di alta qualità, si sente che vien fatta la ricerca del prodotto. Dall'antipasto al dolce, saltando i primi, una menzione particolare alle carni alla griglia.........commoventi. Ottimo anche il vino...Più"
5,bubble_50,,"Quando la qualità del cibo viene servita in maniera gentile e professionale in un ambiente veramente accogliente e molto curato, merita una recensione di alto livello. Grazie mille per tutto e buona"
5,bubble_50,,"Uno dei pochi posti che, anche se di passaggio nel nostro caso, penso “CI TORNEREI!”. Qualità dei prodotti, prezzo proposto, qualità del servizio veramente eccellenti! La scelta del tipo di coltello poi, una vera chicca. Complimenti!"
5,bubble_40,,Sicuramente si può fare di più l’ultima stellina non l’ho data perché secondo me il servizio è leggermente distratto forse sarà perché c’era molta gente da sabato sera non lo so però si sono dimenticati di portarmi l’acqua poi il pane poi ho richiesto il...Più
5,bubble_50,,"Pranzo con parenti che abitano e Milano , ottima varietà di salotti ed ottimi vini ed anche ottima atmosfere, prezzo giusto"
5,bubble_50,,Pranzo aziendale in 8 persone. Qualità del cibo sempre eccellente. Tavoli comodi.carne eccezionale. Dolci super . Servizio impeccabile
5,bubble_50,,"Preparati e appassionati! Cena davvero fantastica! Contorni nella media ma la carne straordinaria, tagli e razze mai provati"
5,bubble_50,,"In attesa della pausa di Natale, un pomeriggio, appena rientrati in città, veniamo qui a pranzo per salutare buone vecchi amici. Come sempre l'accoglienza è familiare e il clima è troppo simpatico ed accattivante, sempre come stare a casa, come se fossimo in famiglia. 🤗😇...Più"
6,bubble_40,,"Cibo molto buono, tipico Romano. Ambiente caldo e caratteristico, personale solare e disponibile. Unica pecca, prezzi un po’ alti, ma comprensibile visto che siamo a Milano."
6,bubble_30,,"Carciofo alla giudia e strozzapreti alla gricia buoni. Servizio nella norma. Prezzi eccessivi: €8 per un singolo carciofo fritto e €18 per il primo piatto, per quanto di pasta fresca fatta al momento. Non accettano tutte le carte di credito. Manca un appendiabiti o almeno...Più"
6,bubble_10,,La struttura ha messo pressioni affinché venisse scritta una recensione positiva (ora cancellata). Il cameriere Cristian (che tanto ha preteso il suo nome nella recensione 5 stelle) attende con insistenza al tavolo in attesa di visualizzare la conferma sul cellulare del cliente. Cena senza lode...Più
6,bubble_50,,Una cena tipica romana perfetta e super deliziosa! Il cameriere Matteo gentilissimo e simpatico. Ci ritornerò sicuramente 😍
6,bubble_50,,Cristian il camériers migliore la pasta e tiramisu migiori che ho mangiatoe il vivo perfecto x la cena
6,bubble_50,,"A pochi passa da casa abbiamo trovato un piccolo ristorante tipicamente romano in cui abbiamo mangiato benissimo e con un personale molto gentile e disponibile, sopratutto il cameriere Cristian"
6,bubble_50,,"Cibo ottimo, personale fantastico soprattutto cristian e alberto ragazzi fantastici , ci hanno seguito con gentilezza e professionalità. Tornerò sicuramente"
6,bubble_50,,Tutto molto buonooooooo Christian e Andrea i.m numeri uno in assolutooooooooo NON C’È DONNA CHE POSSA COMPETERE
6,bubble_50,,"Ottimo ristornante, si mangia benissimo, personale cordiale e simpatico Christian e Alberto su tutti."
6,bubble_50,,"Ho pranzato con i miei amici qui, cibo ottimo, soprattutto la carbonara e i saltimbocca; i due camerieri, Alberto e Cristian, super gentili e disponibili. Consigliatissimo!"
7,bubble_50,,"Non è la mia prima esperienza da pizzium, sempre impeccabili e veloci! Tutto ottimo e personale sempre cordiale 💪🏻"
7,bubble_50,,"Tutto buono, grandissimo servizio, molto gentili tutti, soprattutto la nuova cameriera. Da ritornarci assolutamente"
7,bubble_50,,Personale super gentile e pizza molto buona con valida materia prima. Ho apprezzato molto l'amaro offerto a fine cena.
7,bubble_40,,"Prima volta che provo Pizzium in occasione del compleanno di una carissima amica: pizza eccezionale, impasto leggerissimo e prodotti super di qualità (nelle foto Puglia ed Umbria). Servizio super ospitale e Noelia super conviviale e disponibile, siamo riuscite a fare una torta sorpresa alla festeggiata...Più"
7,bubble_50,,"Da pizzium ambiente accogliente, pizza napoletana molto buona. Serata molto bella anche grazie a Noelia super simpatica e gentilissima."
7,bubble_10,,45 minuti di attesa per una pizza oltretutto cotta male e modesta nei contenuti. Intollerabile a Milano in pausa pranzo Da evitare assolutamente Esperienza da non ripetere mai piùPiù
7,bubble_50,,"Ambiente caldo e accogliente, menù con una selezione di prodotti stagionali davvero di qualità, impasto leggero e saporito, pizza TOP. Standing ovation per Noelia, simpatica cortese e disponibile per qualunque delucidazione."
7,bubble_50,,"Io e il mio collega veniamo Spesso, il personale è sempre molto gentile ed educato, piatti ottimi e saporiti ad un prezzo onesto. Complimenti anche a Noelia , sempre gentile, sorridente e professionale. Noelia"
