id,title,r_bubbles,r_number,cook_type,expensive
6210,6211. Il Cappellaio Matto,"Punteggio -1,0 su 5",1 recensione,"Italiana, Bar",?
6211,6212. Officina Design Cafè,"Punteggio 2,0 su 5",1 recensione,?,?
6212,6213. Goga Caffe,"Punteggio 5,0 su 5",1 recensione,"Italiana, Bar",?
6213,6214. Tierra Milano,"Punteggio -1,0 su 5",8 recensioni,Italiana,?
6214,6215. Piadina Più - Milano,?,0,Italiana,?
6215,6216. Kung Fu Bao 2,?,0,Cinese,?
6216,6217. Milano,?,0,"Italiana, Internazionale",?
6217,6218. Dolcedipendenza,?,0,?,?
6218,6219. Xiaoshihou,?,0,Birrerie con ristorante,€€ - €€€
6219,6220. C'e' Posto Per Te,?,0,Italiana,€€ - €€€
6220,6221. Bar C&G Drink,?,0,"Bar, Pub",?
6221,6222. Il Pane Di Luca,?,0,"Bar, Pizza",?
6222,6223. Bar Happy Days,?,0,"Bar, Pub",?
6223,6224. American Fried Chicken,?,0,Cibo di strada,?
6224,6225. Pepe Nero Cafè,?,0,"Bar, Pub",?
6225,6226. Sultan Kebap,?,0,Cibo di strada,?
6226,6227. Bar Manu,?,0,"Bar, Pub",?
6227,6228. Istanbul In Europa,?,0,Turca,?
6228,6229. Luca Cucina D'Autore E Bistrot,?,0,"Europea, Fusion",?
6229,6230. Chiosco Burger Bonomelli,?,0,"Birreria, Bar",€€ - €€€
6230,6231. La Scighera,?,0,?,?
6231,6232. Bar Stella d'Oro,?,0,"Bar, Pub",?
6232,6233. Dino's Bar,?,0,"Bar, Pub",?
6233,6234. Bullfrog,?,0,Italiana,?
6234,6235. El Tacomaki Isola,?,0,"Messicana, Sushi",?
6235,6236. Ares Cafè,?,0,"Bar, Pub",?
6236,6237. Ciapa Su Bar,?,0,"Bar, Pub",?
6237,6238. Steakhouse Da Franco,?,0,"Italiana, Steakhouse",?
6238,6239. Bar Girasole,?,0,"Bar, Pub",?
6239,6240. Bar Girasole,?,0,"Bar, Pub",?
6240,6241. So' Garden Cafè,?,0,?,?
6241,6242. Ghe sem cadore,?,0,?,?
6242,6243. Win Love - Hamburger,?,0,?,?
6243,6244. Bar Melissa,?,0,?,?
6244,6245. Bar Pizzeria Molino Dorino,?,0,"Bar, Pizza",?
6245,6246. Terrazza Furore,?,0,?,?
6246,6247. Minami milano,?,0,?,?
6247,6248. Pedde's Cafè,?,0,"Bar, Pub",?
6248,6249. Birtos,?,0,"Bar, Pub",€
6249,6250. Bar Fratelli,?,0,"Bar, Pub",?
6250,6251. Mister Panzerotto 4,?,0,"Pizza, Cibo di strada",?
6251,6252. Rebus con Cucina,?,0,"Italiana, Bar",?
6252,6253. Ciccio Pizza,?,0,Pizza,?
6253,6254. Angolo Bar,?,0,?,?
6254,6255. Greco 39,?,0,Bar,?
6255,6256. Caipiroska Bar,?,0,"Bar, Pub",?
6256,6257. I Siciliani,?,0,"Caffè, Siciliana",?
6257,6258. Ristorante Pizzeria Bar Il Golfo,?,0,"Italiana, Bar",?
6258,6259. Panificio Principe,?,0,?,?
6259,6260. Concept Caffè,?,0,"Bar, Pub",?
6260,6261. Cialda Time,?,0,?,?
6261,6262. Wine Witness,?,0,?,?
6262,6263. Winewitness,?,0,Spagnola,?
6263,6264. Bar Sottovoce,?,0,"Bar, Pub",?
6264,6265. Wasana Restaurant,?,0,?,?
6265,6266. Well Done Bar,?,0,"Americana, Bar",?
6266,6267. Lucky Bar,?,0,"Bar, Pub",?
6267,6268. La Calabrisella,?,0,Pizza,?
6268,6269. Magic Bar,?,0,"Bar, Pub",?
6269,6270. Bar Il Picchio,?,0,"Bar, Pub",?
6270,6271. Bar Art,?,0,"Bar, Pub",?
6271,6272. Bar Britannia,?,0,"Bar, Pub",?
6272,6273. Luna Bar,?,0,?,?
6273,6274. Santé - Bottega,?,0,Italiana,€€ - €€€
6274,6275. Godo Sostanza Italiana,?,0,Italiana,?
6275,6276. Panificio Moia,?,0,Pizza,?
6276,6277. Bar Nobilis,?,0,"Bar, Pub",?
6277,6278. Pugliese Imbottito,?,0,?,?
6278,6279. Cupido Bar,?,0,"Bar, Pub",?
6279,6280. Peter Bar,?,0,"Bar, Pub",?
6280,6281. Panificio Marghera,?,0,Italiana,?
6281,6282. Turkish Pasa Kebab,?,0,?,?
6282,6283. Huba Cafè,?,0,?,?
6283,6284. Armando,?,0,?,?
6284,6285. Bella Vista Istanbul 1 Non Solo Kebab Pizzeria Paninoteca,?,0,?,?
6285,6286. Carrefour Express,?,0,?,?
6286,6287. Bar Destino,?,0,?,?
6287,6288. Ristò Bar Ristorante Pizzeria,?,0,"Italiana, Bar",?
6288,6289. Lucky Bar,?,0,"Bar, Pub",?
6289,6290. Caffè Del Corso,?,0,"Bar, Pub",?
6290,6291. SmokeONE,?,0,"Italiana, Europea",?
6291,6292. Oasis Cafè,?,0,"Bar, Pub",?
6292,6293. Gelmetti 1952,?,0,?,?
6293,6294. Ristorante Specialite Cucina Cinese,?,0,?,?
6294,6295. Pizza & Kebab viale Tibaldi,?,0,"Pizza, Cibo di strada",?
6295,6296. Happy Bar,?,0,"Bar, Pub",?
6296,6297. Ungaro 1956,?,0,"Italiana, Pizza",?
6297,6298. Bocconcino,?,0,Italiana,?
6298,6299. Rosticceria Sal & Pimienta,?,0,Gastronomia,?
6299,6300. Santa Sofia Istanbul Kebap,?,0,"Pizza, Fast food",?
6300,6301. Bar Da Luca,?,0,"Bar, Pub",?
6301,6302. Bar Degli Amici,?,0,"Bar, Pub",?
6302,6303. Pikeito,?,0,"Peruviana, Fast food",?
6303,6304. Ocean Restaurant,?,0,"Italiana, Pesce",?
6304,6305. Ichi Station Ravizza,?,0,"Giapponese, Sushi",?
6305,6306. Amaranto Bistrot Fleuri,?,0,?,?
6306,6307. Airness Restaurant & CafÃ¨,?,0,?,?
6307,6308. il Malabar,?,0,"Indiana, Europea",€€ - €€€
6308,6309. Ottobono Caffe',?,0,?,?
6309,6310. Viola Cafè,?,0,"Bar, Pub",?
6310,6311. Calipsofischbar Milano,?,0,Italiana,?
6311,6312. Samar Indian Restaurant,?,0,Indiana,?
6312,6313. Da Carlo Bar,?,0,?,?
6313,6314. Bar Virgilio,?,0,"Bar, Pub",?
6314,6315. Amobistrot,?,0,"Italiana, Mediterranea",€€ - €€€
6315,6316. Panificio Pasticceria Brianti,?,0,?,?
6316,6317. U Ver Panzarott Bares D Pagnott,?,0,?,?
6317,6318. Giorgi 's Bar Cafe,?,0,Italiana,?
6318,6319. Peccati Di Gola,?,0,"Italiana, Bar",?
6319,6320. Il Caffè Ambrosiano,?,0,?,?
6320,6321. Panificio Pasticceria Silvia E Stefano,?,0,?,?
6321,6322. Colombo99,?,0,"Cinese, Indiana",?
6322,6323. Snoopy Bar,?,0,"Bar, Pub",?
6323,6324. Golden Bar,?,0,"Bar, Pub",?
6324,6325. Best Turkish Kebab,?,0,"Pizza, Turca",?
6325,6326. Turkish Kebab,?,0,Turca,?
6326,6327. Ristò Self Restaurant,?,0,Italiana,?
6327,6328. Panificio Marinoni,?,0,Pizza,?
6328,6329. Yumcha Cargo Hi Tech,?,0,Cinese,?
6329,6330. Meeting Caffè,?,0,"Bar, Pub",?
6330,6331. Bar Firenze,?,0,?,?
6331,6332. Alibi,?,0,"Bar, Pub",?
6332,6333. Mr. Baguette Milano,?,0,"Italiana, Caraibica",?
6333,6334. Shira Sushi,?,0,"Cinese, Giapponese",?
6334,6335. BBQ-1 Filipino Style BBQ & Cuisine,?,0,"Filippina, Asiatica",?
6335,6336. Baarebo' Chiosco,?,0,"Bar, Pub",?
6336,6337. Cavour Interno Fast,?,0,?,?
6337,6338. Seipuntocinque,?,0,€€ - €€€,?
6338,6339. Like Nature,?,0,?,?
6339,6340. Godo Palestro,?,0,?,?
6340,6341. La Bottega Del Corso,?,0,Italiana,€€ - €€€
6341,6342. Bellavia Burger Lab,?,0,"Europea, Italiana (nord)",?
6342,6343. Bar Sandi,?,0,"Bar, Pub",?
6343,6344. Pizzeria da Asporto Regina,?,0,Pizza,?
6344,6345. Caffè Ninfea,?,0,"Bar, Pub",?
6345,6346. University's Bar,?,0,"Italiana, Caffè",€
6346,6347. Cubemilanobrera,?,0,"Italiana, Italiana (centro)",?
6347,6348. Insalaty,?,0,"Italiana, Fast food",€€ - €€€
6348,6349. Bar L'artista,?,0,"Bar, Pub",?
6349,6350. Family Coffee,?,0,"Bar, Pub",?
6350,6351. Sultana,?,0,"Mediterranea, Egiziana",?
6351,6352. Mizzìca,?,0,?,?
6352,6353. Dalle Ragazze,?,0,?,?
6353,6354. Skylight Bar,?,0,"Bar, Pub",?
6354,6355. Bar Amici,?,0,"Bar, Pub",?
6355,6356. Gnammy Cafè,?,0,Caffè,€
6356,6357. Gelateria Grom San Babila,?,0,"Bar, Pub",?
6357,6358. Esubeerante,?,0,Pub,?
6358,6359. Come Vuoi Pane & Condimenti,?,0,Italiana,?
6359,6360. Mitology Lounge Bar,?,0,?,?
6360,6361. Pizzeria Padre Pio 2,?,0,Pizza,?
6361,6362. Pane E Focaccia A Milano,?,0,Pizza,?
6362,6363. Pizzeria Da Asporto Kebab Del Maestro,?,0,Pizza,?
6363,6364. Caffe' Jesi,?,0,"Bar, Pub",?
6364,6365. Pane E Cioccolato,?,0,"Bar, Pub",?
6365,6366. Pizzeria Santa Maria,?,0,Pizza,?
6366,6367. Sapori Reali,?,0,"Pizza, Cibo di strada",?
6367,6368. Nino Verace Bar,?,0,"Bar, Pub",?
6368,6369. Nuit Cafè,?,0,"Bar, Pub",?
6369,6370. RODI,?,0,?,?
6370,6371. Gelateria Porta Romana,?,0,"Bar, Pub",?
6371,6372. Maison Aubry,?,0,?,?
6372,6373. Cafè Verziere,?,0,"Bar, Pub",?
6373,6374. Bar Si,?,0,"Bar, Pub",?
6374,6375. Buonarroti 11,?,0,Italiana,€€ - €€€
6375,6376. Il Caffè di Emilis,?,0,"Bar, Pub",?
6376,6377. Bar Lisi,?,0,"Bar, Pub",?
6377,6378. Glory Milano,?,0,"Italiana, Gastronomia",?
6378,6379. Billytacos,?,0,Messicana,?
6379,6380. Feat Food,?,0,"Italiana, Fast food",€
6380,6381. Aethos Kitchen,?,0,?,?
6381,6382. Abcafè,?,0,?,?
6382,6383. Dolcemente,?,0,?,?
6383,6384. Giacomo Milano,?,0,?,?
6384,6385. Rom'antica Milano Sarpi,?,0,?,?
6385,6386. Doping,?,0,?,?
6386,6387. La Schiscetta,?,0,?,?
6387,6388. Pizzeria L'aquila Di Kevin 1,?,0,?,?
6388,6389. Lom Dopolavoro,?,0,?,?
6389,6390. Barbara Bar,?,0,?,?
6390,6391. Bar 99,?,0,?,?
6391,6392. Haha Garden,?,0,?,?
6392,6393. Bar Amico,?,0,?,?
6393,6394. Restaurante El Guayaco,?,0,"Sudamericana, Ecuadoregna",?
6394,6395. Redo Pizzeria Birreria,?,0,"Birreria, Pizza",?
6395,6396. Bar Girasole,?,0,"Bar, Pub",?
6396,6397. Redo Pasticceria Caffetteria,?,0,"Italiana, Bar",?
6397,6398. Bar Da Davide,?,0,"Bar, Pub",?
6398,6399. Crema & Cioccolato Ortica,?,0,"Bar, Pub",?
6399,6400. Bosforo,?,0,Cibo di strada,?
6400,6401. Rita's Tiki Room,?,0,"Gastronomia, Pub",?
6401,6402. Spacca,?,0,"Italiana, Pizza",?
6402,6403. Galbusera Tre Marie | Bistrot - Caffetteria - Store,?,0,?,?
6403,6404. Awtar Cafè,?,0,"Bar, Pub",?
6404,6405. Feltre Beach,?,0,"Italiana, Bar",?
6405,6406. Family Caffe,?,0,"Bar, Pub",?
6406,6407. Orto Echo Green,?,0,"Lombarda, Italiana (nord)",?
6407,6408. Prelibatezze,?,0,"Italiana, Gastronomia",?
6408,6409. Dream Caffè,?,0,"Bar, Pub",?
6409,6410. L'angolo Del Pane,?,0,?,?
6410,6411. Caffetteria Pasticceria Mancino,?,0,?,?
6411,6412. Bar Twin,?,0,?,?
6412,6413. Beijing Traditional Roll,?,0,?,?
6413,6414. Jun Tai Tavola Calda,?,0,?,?
6414,6415. Fried Skewers,?,0,?,?
6415,6416. Mi' Yama,?,0,?,?
6416,6417. Bar Piceno,?,0,"Bar, Pub",?
6417,6418. El Tacomaki - Sarpi53,?,0,?,?
6418,6419. Pollo Fritto,?,0,?,?
6419,6420. Xiao Hutong,?,0,?,?
6420,6421. Mr. Pie,?,0,?,?
6421,6422. Pao Pao Barbecue,?,0,?,?
6422,6423. Pink Bar,?,0,"Bar, Pub",?
6423,6424. Xian,?,0,?,?
6424,6425. Prestin,?,0,?,?
6425,6426. Bowls And More,?,0,?,?
6426,6427. Rusty,?,0,Pub,?
6427,6428. Roxy Bar,?,0,"Bar, Pub",?
6428,6429. Panetteria Pasticceria,?,0,?,?
6429,6430. Bar Speedy,?,0,?,?
6430,6431. Cafè Beverly,?,0,?,?
6431,6432. GianGusto Piadineria Artigianale,?,0,?,?
6432,6433. Il Chioschetto Calabrese,?,0,?,?
6433,6434. Mr. Tea Bar,?,0,?,?
6434,6435. Good Morning Cafè,?,0,?,?
6435,6436. Bar Agnello,?,0,"Bar, Pub",?
6436,6437. Panificio Sophia,?,0,?,?
6437,6438. Pancaffè Ramadan,?,0,?,?
6438,6439. Pancaffè Porta Genova,?,0,?,?
6439,6440. New Sigiri Lanka,?,0,"Asiatica, Cingalese",?
6440,6441. Chini,?,0,?,?
6441,6442. Hungry Roads,?,0,?,?
6442,6443. Alice Pizza Buenos Aires,?,0,?,?
6443,6444. Chabad House Naar Israel - Kosher Meal Plan,?,0,"Italiana, Israeliana",?
6444,6445. The Hall by UNA Cucina,?,0,?,?
6445,6446. Kairos Café,?,0,?,?
6446,6447. Pan Per Focaccia,?,0,?,?
6447,6448. Osteria al Gasometro,?,0,?,?
6448,6449. Bar Antica Marina,?,0,"Bar, Pub",?
6449,6450. ENE - Prodotti Tipici Spagnoli,?,0,Spagnola,€€ - €€€
6450,6451. Lacucinadiigor,?,0,?,?
6451,6452. Virgilio 1986 Mazzini,?,0,?,?
6452,6453. Virgilio 1986 Festa del Perdono,?,0,?,?
6453,6454. Flower Burger Santa Giulia,?,0,Italiana,?
6454,6455. L'altra Ringhiera,?,0,"Italiana, Asiatica",€
6455,6456. Bar Meeting,?,0,"Bar, Pub",?
6456,6457. JuiceBar,?,0,"Bar, Pub",?
6457,6458. Picaflor,?,0,?,?
6458,6459. Bar Paninoteca L'artista,?,0,"Bar, Pub",?
6459,6460. Il Bar dell'Artista,?,0,"Bar, Pub",?
6460,6461. Aylas Bar Tabacchi,?,0,?,?
6461,6462. Norma'S Restaurant,?,0,"Filippina, Asiatica",?
6462,6463. Kebab Pizzeria Kirmina,?,0,"Pizza, Turca",?
6463,6464. Panini Durini,?,0,"Bar, Pub",€€ - €€€
6464,6465. Bar Atlantic,?,0,"Bar, Pub",?
6465,6466. Lucy Food,?,0,"Pizza, Cibo di strada",?
6466,6467. Bar Fortuna,?,0,"Bar, Pub",?
6467,6468. Alice Pizza,?,0,?,?
6468,6469. Gelateria Rigoletto,?,0,?,?
6469,6470. Il Re Di Napoli,?,0,"Italiana, Cibo di strada",?
6470,6471. Bar Tabacchi Mac 111,?,0,?,?
6471,6472. Pizzeria del Parco,?,0,?,?
6472,6473. Lucky Bar,?,0,?,?
6473,6474. Sushi Wamiya,?,0,"Cinese, Giapponese",€€ - €€€
6474,6475. Caffè Letterario Cult,?,0,?,?
6475,6476. Beefbar Milano,?,0,"Steakhouse, Internazionale",?
6476,6477. Pizzeria Dal Maestro 2,?,0,"Italiana, Marocchina",€€ - €€€
6477,6478. Mitù,?,0,"Sudamericana, Colombiana",?
6478,6479. Il Forno del Panetta,?,0,Pizza,?
6479,6480. Le Cafè Bon Ton,?,0,"Bar, Pub",?
6480,6481. Bar Déjà Vu,?,0,"Bar, Pub",?
6481,6482. Golden Café,?,0,"Bar, Pub",?
6482,6483. Bar Pub Corner,?,0,"Bar, Pub",?
6483,6484. Pizzeria Grazie Italia,?,0,"Pizza, Cibo di strada",?
6484,6485. Jia Club,?,0,"Asiatica, Singapore",?
6485,6486. Pizzeria d'Asporto Best Time,?,0,"Italiana, Pizza",?
6486,6487. Bar Anna,?,0,"Bar, Pub",?
6487,6488. Sbagliàa,?,0,"Italiana, Bar",€
6488,6489. Tondo Forno Artigiano,?,0,Pizza,?
6489,6490. Bar della Via Bellotti,?,0,"Bar, Pub",?
6490,6491. Caro. S,?,0,"Asiatica, Coreana",?
6491,6492. Pizzeria Bella Napoli,?,0,Pizza,€€ - €€€
6492,6493. La Fornarina,?,0,?,?
6493,6494. La Casa Iberica,?,0,?,?
6494,6495. Green Bistrò,?,0,"Italiana, Bar",?
