id,title,r_bubbles,r_number,cook_type,expensive
6495,6496. Gelateria Il Golosone,?,0,?,?
6496,6497. Island Gentleman,?,0,?,?
6497,6498. Jiaclubmilano,?,0,"Giapponese, Asiatica",?
6498,6499. Puglia in Brera - Osteria Tradizionale,?,0,Italiana (nord),?
6499,6500. Picanha Gourmet,?,0,"Brasiliana, Cibo di strada",€€ - €€€
6500,6501. Ohm Café,?,0,?,?
6501,6502. Blu Bar,?,0,"Bar, Pub",?
6502,6503. Pizzeria Castello,?,0,"Italiana, Pizza",?
6503,6504. El Gainatt de Milan,?,0,?,?
6504,6505. Da Gigi - Al borgo degli ortolani,?,0,?,?
6505,6506. Pizzeria San Gennaro,?,0,?,?
6506,6507. Tavernacolo22marzo,?,0,?,?
6507,6508. Bar Morgantini 18,?,0,"Bar, Pub",?
6508,6509. Eden Wine And More,?,0,?,?
6509,6510. Pancaffè Caffetteria,?,0,?,?
6510,6511. Sushi Chen,?,0,?,?
6511,6512. Le Petit Prince,?,0,"Pizza, Turca",?
6512,6513. Il Forno Di Corso Lodi,?,0,"Bar, Pizza",?
6513,6514. L'angolo Gustoso,?,0,"Bar, Pub",?
6514,6515. Istanbul Blu 2 Kebab Pizza Grill,?,0,"Pizza, Turca",?
6515,6516. Ischia,?,0,"Italiana, Pesce",?
6516,6517. Bar David,?,0,"Bar, Pub",?
6517,6518. Marrakech Food,?,0,Mediorientale,?
6518,6519. Dal Lupo,?,0,"Italiana, Bar",?
6519,6520. Cafè Atlante,?,0,"Bar, Pub",?
6520,6521. Sweetland,?,0,"Bar, Pub",?
6521,6522. Pane E Dolci,?,0,?,?
6522,6523. Tanishka Ristorante,?,0,"Italiana, Asiatica",?
6523,6524. Milano,?,0,Italiana,?
6524,6525. Bar Queen,?,0,"Bar, Pub",?
6525,6526. Salumeria Fattoria del Casaro,?,0,?,?
6526,6527. Kalamaro Piadinaro Piazza XXV Aprile,?,0,"Italiana, Pesce",€€ - €€€
6527,6528. Piadineria La Piada Di Una Volta,?,0,Italiana,?
6528,6529. Un Giorno Bellissimo,?,0,?,?
6529,6530. New Gibson,?,0,"Bar, Pub",?
6530,6531. Cocciuto,?,0,?,?
6531,6532. Panificio Spagnolo,?,0,?,?
6532,6533. Vini E Vinili,?,0,Wine Bar,?
6533,6534. Zhaoyidian,?,0,Cinese,€
6534,6535. Da RUFFY SENZA MALELINGUE,?,0,Contemporanea,€€ - €€€
6535,6536. La Dolce Vita,?,0,"Bar, Pub",?
6536,6537. Xi Hot Pot Restaurant,?,0,?,?
6537,6538. Lion's Cafè,?,0,"Bar, Pub",?
6538,6539. Non Solo Caffè,?,0,?,?
6539,6540. Valeria of Milan,?,0,"Italiana, Mediterranea",?
6540,6541. Ji Li Ravioleria,?,0,?,?
6541,6542. Esubeerante Birra E Tigelle Artigianali,?,0,?,?
6542,6543. Slow Bread Lab,?,0,?,?
6543,6544. Bar Giada,?,0,"Bar, Pub",?
6544,6545. Talentum Lounge Art Bar,?,0,?,?
6545,6546. L'antica Michetta,?,0,?,?
6546,6547. Pizzeria San Michele,?,0,?,?
6547,6548. Bar Corsica,?,0,?,?
6548,6549. Contex Happy Hour,?,0,?,?
6549,6550. Why Not?,?,0,"Bar, Pub",?
6550,6551. Caffetteria Orlando,?,0,?,?
6551,6552. Gastronomia Vecchia Napoli,?,0,?,?
6552,6553. Biyikli Hasan,?,0,?,?
6553,6554. Pizzeria Degli Artisti,?,0,?,?
6554,6555. San Carlo Al Corso,?,0,Italiana,?
6555,"6556. Hummus Around Xxii Marzo, Milano",?,0,"Giapponese, Libanese",?
6556,6557. Rom'antica Canonica,?,0,?,?
6557,6558. Zona Sarpi,?,0,Tailandese,?
6558,6559. n'ata pizza,?,0,?,?
6559,6560. CfruitLife Milano,?,0,Salutistica,€
6560,6561. Bruno Ristorante,?,0,?,?
6561,6562. La Pinsa,?,0,?,?
6562,6563. Turkish Kebap Borsieri,?,0,Cibo di strada,?
6563,6564. Green Day,?,0,?,?
6564,6565. Nik Finelli Cafè,?,0,?,?
6565,6566. Pizzeria San Giorgio,?,0,Pizza,?
6566,6567. Inari Sushi,?,0,"Giapponese, Asiatica",?
6567,6568. Bar da Giorgia,?,0,"Bar, Pub",?
6568,6569. Bar Millennium,?,0,"Bar, Pub",?
6569,6570. Burger Room,?,0,Italiana,?
6570,6571. Babygesus,?,0,"Irlandese, Africana",€€€€
6571,6572. Riviera Milano,?,0,"Italiana, Internazionale",?
6572,6573. Lawless Heaven,?,0,?,?
6573,6574. Fortunato,?,0,?,?
6574,6575. Chihuahua Tacos - Sarpi,?,0,?,?
6575,6576. Il tartarughino,?,0,?,?
6576,6577. Scugnizzi Milano,?,0,?,?
6577,6578. Gastronomia Bonardi,?,0,Gastronomia,?
6578,6579. L'angolo Del Panino,?,0,"Bar, Pub",?
6579,6580. Bar Golden Lion,?,0,"Bar, Pub",?
6580,6581. Mi Casa Toasteria,?,0,?,?
6581,6582. Bar Da Francesca,?,0,?,?
6582,6583. O-ste | Birreria e Taverna Con Cucina,?,0,Italiana,?
6583,6584. Botoi,?,0,Contemporanea,?
6584,6585. Street Food Di Yuanzi,?,0,"Pizza, Fast food",?
6585,6586. La Comida Da Jenny,?,0,?,?
6586,6587. Cabana Restaurant,?,0,"Asiatica, Cingalese",?
6587,6588. Cous Cuisine,?,0,"Mediterranea, Fusion",€
6588,6589. Bar Umbria Paninoteca,?,0,"Bar, Pub",?
6589,6590. Eroica Caffè,?,0,"Italiana, Italiana (nord)",?
6590,6591. Pirati Poeti,?,0,Italiana,€€ - €€€
6591,6592. Vibes Cocktail Bar,?,0,"Bar, Pub",?
6592,6593. Cibo Ramen,?,0,Asiatica,?
6593,6594. Saporisolari,?,0,Italiana,?
6594,6595. Nami Sushi,?,0,?,?
6595,6596. Milano Kebap House,?,0,Cibo di strada,?
6596,6597. Giovanni Panetta,?,0,Fast food,€
6597,6598. Bar Volturno,?,0,"Bar, Pub",?
6598,6599. Virgilio 1986 Moscova,?,0,?,?
6599,6600. Starbucks,?,0,?,?
6600,6601. Alice Pizza Città Studi,?,0,?,?
6601,6602. Val.erio,?,0,Pizza,€€€€
6602,6603. Luna Restaurant,?,0,?,?
6603,6604. Wood Bar,?,0,?,?
6604,6605. Profumo Di Pane,?,0,?,?
6605,6606. Oh.la.la.,?,0,?,?
6606,6607. Bar 11,?,0,Italiana,?
6607,6608. Zanza Bar,?,0,"Bar, Pub",?
6608,6609. Bun Burgers,?,0,Americana,?
6609,6610. Pizza OK5,?,0,?,?
6610,6611. Green Day Natural Food & Bar,?,0,Salutistica,?
6611,6612. Nata a Milano,?,0,?,?
6612,6613. Cassette Cafè,?,0,Caffè,?
6613,6614. Gelateria Giulia,?,0,?,?
6614,6615. Golden Bar,?,0,?,?
6615,6616. B-time Café,?,0,?,?
6616,6617. Antico Forno Di Pecchio,?,0,"Pizza, Cibo di strada",?
6617,6618. Caio,?,0,?,?
6618,6619. Ristorante Cuan Cuan,?,0,?,?
6619,6620. Dan Yan restaurant,?,0,?,?
6620,6621. Cavallo Caffè,?,0,"Bar, Pub",?
6621,6622. Bar Leoncavallo,?,0,"Bar, Pub",?
6622,6623. Affettami,?,0,"Gastronomia, Cibo di strada",?
6623,6624. Bar Argento,?,0,"Bar, Pub",?
6624,6625. Green Leaf - Salad & Healthy Bowls,?,0,"Italiana, Salutistica",?
6625,6626. MiTaco,?,0,?,?
6626,6627. Milano,?,0,"Messicana, Giapponese",?
6627,6628. Illusion,?,0,?,?
6628,6629. Oriental Fusion Milano,?,0,?,?
6629,6630. Le Colonne,?,0,?,?
6630,6631. Istanbul Giambellino Kebap,?,0,?,?
6631,6632. Il Focacciaro,?,0,?,?
6632,6633. Bar Chicken Ravioli,?,0,"Bar, Internazionale",?
6633,6634. Eimi Lounge Bar,?,0,?,?
6634,6635. Bar Lodi,?,0,?,?
6635,6636. Delizie Di Grano,?,0,Cibo di strada,?
6636,6637. Cin Cin Bar,?,0,"Bar, Pub",?
6637,6638. Lon Bao,?,0,Cinese,?
6638,6639. Ristorante Vero Cinese,?,0,Cinese,?
6639,6640. Bar Lunigiana,?,0,"Bar, Pub",?
6640,6641. Salad House Santa Tecla,?,0,"Salutistica, Hawaiana",?
6641,6642. Il Grande Puffo,?,0,?,?
6642,6643. Gastronobio,?,0,"Italiana, Salutistica",?
6643,6644. Caffè Della Metro,?,0,?,?
6644,6645. Toy Mochi,?,0,"Giapponese, Pasticceria giapponese",€€ - €€€
6645,6646. Bar Monica,?,0,?,?
6646,6647. Maffu's Bistrot,?,0,"Italiana, Caffè",?
6647,6648. Il Papavero,?,0,?,?
6648,6649. Golab Gelateria Artigianale,?,0,"Bar, Pub",?
6649,6650. Bar Dell'angolo,?,0,"Bar, Pub",?
6650,6651. Via Corso Lodi Milano,?,0,Italiana,?
6651,6652. Bar Caffe Via Rovereto,?,0,Italiana,€€ - €€€
6652,6653. Mamake,?,0,"Cinese, Giapponese",?
6653,6654. Bar Panda,?,0,"Bar, Sushi",?
6654,6655. Lomilan,?,0,"Filippina, Asiatica",?
6655,6656. Tam Bar,?,0,Italiana,€€ - €€€
6656,6657. La Sosta 70,?,0,Italiana,€
6657,6658. Pizzeria Madonnina,?,0,Pizza,?
6658,6659. Happy Bar,?,0,"Bar, Pub",?
6659,6660. Up & Down,?,0,?,?
6660,6661. Washing Cafe,?,0,"Italiana, Caffè",?
6661,6662. Honu Poke Moscova,?,0,Hawaiana,?
6662,6663. Why Not Pizza al Trancio e Rosticceria,?,0,?,?
6663,6664. Ecooking Bistrot - Citylife,?,0,?,?
6664,6665. L’Agorà,?,0,?,?
6665,6666. Pizzeria Marinella,?,0,"Pizza, Cibo di strada",?
6666,6667. Damot' Ristorante,?,0,?,?
6667,6668. Bon Bon,?,0,Cinese,?
6668,6669. L'Oro di Napoli,?,0,?,?
6669,6670. Dream Café,?,0,"Bar, Pub",?
6670,6671. Bar Lambrate,?,0,?,?
6671,6672. Pizzeria Santa Lucia,?,0,?,?
6672,6673. Toyoshu,?,0,Sushi,€€€€
6673,6674. Bar Elisa,?,0,"Bar, Pub",?
6674,6675. Bar Elisa,?,0,"Bar, Pub",?
6675,6676. Bar Adriana,?,0,"Bar, Pub",?
6676,6677. Bar cheers,?,0,Italiana,€
6677,6678. Meneghino Birra e Cucina,?,0,"Lombarda, Italiana (nord)",?
6678,6679. Zanzibar,?,0,"Bar, Pub",?
6679,6680. Bar Garden Cafè,?,0,"Italiana, Birreria",?
6680,6681. Ciko's Bar,?,0,"Bar, Pub",?
6681,6682. Qui,?,0,"Bar, Pub",?
6682,6683. Bar Metropolitana,?,0,"Bar, Pub",?
6683,6684. Il Profumo Del Pane,?,0,?,?
6684,6685. Bar Diamante,?,0,"Bar, Pub",?
6685,6686. Honu Poke Milano Bicocca,?,0,?,?
6686,6687. Oro Restaurant Duomo,?,0,?,?
6687,6688. Ristorante Il Pumo,?,0,"Italiana, Italiana (sud)",?
6688,6689. Cascina Guzzafame,?,0,?,?
6689,6690. Cincin Bar,?,0,?,?
