Unnamed: 0,title,r_bubbles,r_number,cook_type,expensive
758, Carmel,"Punteggio 4,0 su 5",248 recensioni,Italiana,2.5
759, BE BOP,"Punteggio 4,0 su 5",1.452 recensioni,"Italiana, Pizza",2.5
760, Solo Pizza Cafè,"Punteggio 4,0 su 5",961 recensioni,"Italiana, Pizza",2.5
761, L'Alter Bar,"Punteggio 5,0 su 5",48 recensioni,?,1
762, Café Madeira Milano,"Punteggio 4,0 su 5",416 recensioni,"Italiana, Bar",1
763, FUD Bottega Sicula,"Punteggio 4,0 su 5",451 recensioni,"Italiana, Birreria",2.5
764, Maido,"Punteggio 4,0 su 5",732 recensioni,"Giapponese, Fast food",1
765, San Martino Bistrot,"Punteggio 4,5 su 5",233 recensioni,"Italiana, Pesce",2.5
766, El Porteño Gourmet,"Punteggio 4,5 su 5",96 recensioni,"Barbecue, Argentina",€€€€
767, Antica Osteria il Ronchettino,"Punteggio 4,0 su 5",972 recensioni,"Italiana, Mediterranea",2.5
769, Ca Va Sans Dire,"Punteggio 4,5 su 5",103 recensioni,"Italiana, Internazionale",2.5
770, Il Carpaccio,"Punteggio 4,0 su 5",704 recensioni,"Italiana, Pesce",2.5
771, Perla D'oro,"Punteggio 4,0 su 5",410 recensioni,"Cinese, Giapponese",2.5
772, Dim Sum,"Punteggio 4,0 su 5",719 recensioni,"Cinese, Pesce",€€€€
773, Sciuscia',"Punteggio 4,0 su 5",921 recensioni,"Italiana, Mediterranea",2.5
775, Nottingham Forest Cocktail Bar,"Punteggio 4,0 su 5",1.420 recensioni,?,2.5
776, Riad Majorelle Bistrot,"Punteggio 4,5 su 5",97 recensioni,"Africana, Marocchina",2.5
777, Zero Milano,"Punteggio 4,0 su 5",490 recensioni,"Giapponese, Pesce",€€€€
778, Cucina in,"Punteggio 5,0 su 5",66 recensioni,?,2.5
779, Galleria Meravigli Bistrot,"Punteggio 4,0 su 5",387 recensioni,Italiana,2.5
780, Pizzaclub No Limits,"Punteggio 4,0 su 5",505 recensioni,Pizza,1
781, Pizzeria alla Fontana,"Punteggio 4,0 su 5",631 recensioni,"Italiana, Pizza",1
782, My Puglia,"Punteggio 4,5 su 5",249 recensioni,"Italiana, Pizza",2.5
783, Mieru Mieru,"Punteggio 4,5 su 5",218 recensioni,"Italiana, Pesce",€€€€
784, Armonico,"Punteggio 5,0 su 5",57 recensioni,"Giapponese, Sushi",€€€€
785, Kim Bar,"Punteggio 4,5 su 5",341 recensioni,"Cinese, Pesce",2.5
786, Piccola Cucina,"Punteggio 4,5 su 5",230 recensioni,"Italiana, Mediterranea",2.5
787, L'Isola del Tesoro,"Punteggio 4,0 su 5",1.480 recensioni,"Italiana, Pizza",2.5
788, MU Finest Italian Burger,"Punteggio 4,0 su 5",415 recensioni,"Americana, Fast food",2.5
789, Kanpai,"Punteggio 4,5 su 5",227 recensioni,"Giapponese, Asiatica",2.5
790, Lu Dim Sum Ristorante Cinese a Milano,"Punteggio 4,0 su 5",243 recensioni,?,2.5
791, Miyabi,"Punteggio 4,5 su 5",123 recensioni,"Giapponese, Pesce",2.5
792, Locanda Macconago Trattoria con Caffè & Bistro,"Punteggio 4,5 su 5",162 recensioni,"Italiana, Salutistica",2.5
793, Cantina della Vetra,"Punteggio 4,0 su 5",1.211 recensioni,"Italiana, Mediterranea",2.5
794, Takumi Ramen Kitchen Milano,"Punteggio 4,5 su 5",115 recensioni,"Giapponese, Asiatica",2.5
795, Da Giordano il Bolognese,"Punteggio 4,0 su 5",602 recensioni,"Italiana, Mediterranea",2.5
796, Osteria Tajoli,"Punteggio 4,0 su 5",529 recensioni,"Italiana, Lombarda",1
797, Sapori Solari - La Pescheria,"Punteggio 4,5 su 5",143 recensioni,"Italiana, Pesce",2.5
798, Mi Casa Toasteria - via Savona,"Punteggio 4,5 su 5",121 recensioni,"Italiana, Caffè",1
799, Tokuyoshi,"Punteggio 4,0 su 5",398 recensioni,"Italiana, Contemporanea",€€€€
801, Pizzeria del Sole,"Punteggio 4,0 su 5",520 recensioni,"Italiana, Pizza",1
802, Il Ristorantino della Carne,"Punteggio 4,0 su 5",456 recensioni,"Italiana, Mediterranea",2.5
803, Osteria di Brera,"Punteggio 4,0 su 5",1.625 recensioni,"Italiana, Pesce",2.5
804, Zhen Asian Fusion Restaurant,"Punteggio 4,0 su 5",313 recensioni,"Cinese, Giapponese",1
805, Gennaro Esposito Milano,"Punteggio 4,0 su 5",448 recensioni,"Pesce, Italiana",2.5
807, Nobu Milano,"Punteggio 4,0 su 5",1.902 recensioni,"Giapponese, Pesce",€€€€
808, Asian Bistrot,"Punteggio 4,5 su 5",101 recensioni,"Cinese, Asiatica",2.5
809, Roux,"Punteggio 4,5 su 5",159 recensioni,"Italiana, Pesce",€€€€
810, Pizzeria Pratocentenaro,"Punteggio 4,0 su 5",453 recensioni,"Italiana, Pizza",1
811, Premiato Forno Cantoni,"Punteggio 4,0 su 5",650 recensioni,"Italiana, Caffè",2.5
812, Il Tavolino,"Punteggio 4,0 su 5",2.081 recensioni,"Italiana, Mediterranea",2.5
813, Pizzeria Napoletana Daniele,"Punteggio 4,5 su 5",234 recensioni,"Italiana, Pizza",1
814, Officina del Riso Marghera,"Punteggio 4,0 su 5",557 recensioni,"Italiana, Mediterranea",2.5
815, I Mori MIlano,"Punteggio 4,0 su 5",266 recensioni,"Italiana, Pesce",€€€€
816, Il Mannarino - Fiamma,"Punteggio 4,5 su 5",107 recensioni,"Steakhouse, Mediterranea",2.5
817, SlowSud,"Punteggio 4,0 su 5",1.543 recensioni,"Italiana, Pugliese",2.5
818, Davidino di Un Sacco Bello,"Punteggio 4,0 su 5",217 recensioni,"Romana, Laziale",2.5
819, Taiwan,"Punteggio 4,0 su 5",298 recensioni,"Cinese, Asiatica",2.5
820, Zagara,"Punteggio 4,0 su 5",212 recensioni,"Italiana, Pesce",2.5
821, STK Steakhouse Milan,"Punteggio 4,0 su 5",587 recensioni,"Americana, Steakhouse",€€€€
822, Muddica,"Punteggio 4,0 su 5",349 recensioni,"Italiana, Pesce",2.5
823, Giardino Nuovo,"Punteggio 4,5 su 5",220 recensioni,"Cinese, Pesce",1
824, Salsamenteria di Parma,"Punteggio 4,0 su 5",686 recensioni,"Italiana, Mediterranea",2.5
825, Ristorante al Pesciolino,"Punteggio 4,0 su 5",308 recensioni,"Italiana, Pesce",2.5
826, Al Bacco,"Punteggio 4,0 su 5",263 recensioni,"Italiana, Lombarda",2.5
827, Da Franco,"Punteggio 4,0 su 5",373 recensioni,"Italiana, Pizza",2.5
828, Osteria Delizie del Mare,"Punteggio 4,0 su 5",424 recensioni,"Italiana, Pesce",2.5
829, Grissinificio Edelweiss,"Punteggio 4,5 su 5",112 recensioni,?,1
830, Sbunda,"Punteggio 5,0 su 5",55 recensioni,"Italiana, Mediterranea",1
831, El Pecà,"Punteggio 4,5 su 5",125 recensioni,"Italiana, Pesce",2.5
833, Pizzeria L'Ortiga,"Punteggio 4,0 su 5",411 recensioni,"Italiana, Pizza",1
834, Kiku,"Punteggio 4,0 su 5",495 recensioni,"Cinese, Giapponese",1
835, Amabile Milano Viale Teodorico,"Punteggio 4,0 su 5",749 recensioni,"Italiana, Pesce",2.5
836, Zio Pesce,"Punteggio 4,0 su 5",1.034 recensioni,"Italiana, Pesce",2.5
837, Trattoria pugliese Acquasala,"Punteggio 4,0 su 5",868 recensioni,"Italiana, Pesce",2.5
839," Ham Holy Burger - Milano, via Marghera","Punteggio 4,0 su 5",1.659 recensioni,"Italiana, Americana",2.5
840, L'Altrimenti ci Arrabbiamo,"Punteggio 4,5 su 5",123 recensioni,"Italiana, Mediterranea",2.5
841, Vetusta Insigna,"Punteggio 4,0 su 5",611 recensioni,"Italiana, Mediterranea",2.5
842, Da Luigi,"Punteggio 4,0 su 5",332 recensioni,"Wine Bar, Italiana",2.5
843, Al Pizzetta,"Punteggio 4,5 su 5",214 recensioni,"Italiana, Pizza",1
844, Trattoria Piccolo Fumino,"Punteggio 4,5 su 5",224 recensioni,"Italiana, Pesce",2.5
845, Muu House Milano,"Punteggio 5,0 su 5",68 recensioni,"Italiana, Steakhouse",2.5
846, Maia Bistrot,"Punteggio 4,5 su 5",99 recensioni,"Italiana, Lombarda",2.5
847, Nami Sushi & Asian Cucine,"Punteggio 4,0 su 5",318 recensioni,"Giapponese, Pesce",2.5
848, La Plancia,"Punteggio 4,0 su 5",614 recensioni,"Pizza, Pesce",2.5
849, Il Pierrot Di Garofalo,"Punteggio 4,0 su 5",290 recensioni,"Italiana, Pizza",2.5
850, Killer,"Punteggio 5,0 su 5",53 recensioni,"Italiana, Internazionale",2.5
851, HANA Ristorante Coreano,"Punteggio 4,0 su 5",525 recensioni,"Asiatica, Coreana",2.5
852, Gesto Milano,"Punteggio 4,0 su 5",524 recensioni,"Italiana, Pesce",2.5
853, Il Baretto al Baglioni Restaurant,"Punteggio 4,0 su 5",278 recensioni,"Italiana, Pesce",€€€€
854, Sushi Art,"Punteggio 4,0 su 5",228 recensioni,"Giapponese, Pesce",2.5
855, Yum - Taste of the Philippines,"Punteggio 4,0 su 5",278 recensioni,"Filippina, Pesce",1
856, NaBi Natura Biologica,"Punteggio 4,0 su 5",553 recensioni,"Europea, Italiana",1
857, Ristorante Pizzeria Dinky,"Punteggio 4,0 su 5",355 recensioni,"Italiana, Pizza",2.5
858, Camparino in Galleria,"Punteggio 4,0 su 5",1.121 recensioni,"Italiana, Bar",2.5
859, Hambroeus - Prosciutteria con Cantina e Piccola Cucina,"Punteggio 4,5 su 5",147 recensioni,"Italiana, Internazionale",2.5
860, Zelo,"Punteggio 4,0 su 5",290 recensioni,Italiana,€€€€
861, Maison Milano,"Punteggio 4,0 su 5",1.306 recensioni,"Italiana, Bar",2.5
862, Acqua Pazza Ristorante,"Punteggio 4,0 su 5",500 recensioni,Italiana,2.5
863, Trattoria Ai Due Orsi,"Punteggio 4,0 su 5",503 recensioni,"Italiana, Pesce",2.5
865, Misushi restaurant,"Punteggio 4,0 su 5",285 recensioni,"Cinese, Giapponese",2.5
866, Note di Cucina,"Punteggio 4,0 su 5",764 recensioni,"Italiana, Pesce",2.5
867, Ristorante Ivan e Frank,"Punteggio 4,0 su 5",596 recensioni,"Italiana, Pizza",2.5
868, Acqua e Sale 2,"Punteggio 4,0 su 5",293 recensioni,"Italiana, Pesce",2.5
869, Pizza Big,"Punteggio 4,0 su 5",435 recensioni,"Italiana, Pizza",1
871, Fuku Jima,"Punteggio 4,0 su 5",615 recensioni,"Cinese, Giapponese",2.5
872, Affori Ristorante,"Punteggio 4,0 su 5",317 recensioni,"Italiana, Pizza",2.5
873, Fu Asian Restaurant,"Punteggio 4,0 su 5",304 recensioni,"Cinese, Giapponese",2.5
874, Cow Burger,"Punteggio 4,5 su 5",170 recensioni,Fast food,1
875, Il Tegamino,"Punteggio 4,0 su 5",1.046 recensioni,"Italiana, Pizza",2.5
876, Calaluna,"Punteggio 4,0 su 5",458 recensioni,"Italiana, Pesce",2.5
877, Ristoro Monterosso,"Punteggio 4,5 su 5",264 recensioni,"Italiana, Pizza",1
878, La Cantina di Manuela di Via Procaccini,"Punteggio 4,0 su 5",622 recensioni,"Italiana, Mediterranea",2.5
879, Xin Fu-Ji,"Punteggio 4,5 su 5",129 recensioni,"Cinese, Asiatica",2.5
880, Fiordiponti Monte Nero,"Punteggio 4,0 su 5",377 recensioni,"Pizza, Cibo di strada",1
881, Innocenti Evasioni,"Punteggio 4,0 su 5",1.182 recensioni,"Italiana, Pesce",€€€€
882, Baobab Organic Burger,"Punteggio 4,0 su 5",1.404 recensioni,"Italiana, Americana",2.5
883, Nebbia,"Punteggio 4,0 su 5",198 recensioni,"Italiana, Pesce",2.5
884, La Taverna dei Golosi,"Punteggio 4,0 su 5",800 recensioni,"Italiana, Pesce",2.5
885, Clotilde Bistrot,"Punteggio 4,0 su 5",750 recensioni,"Italiana, Mediterranea",2.5
886, Pesce&farina,"Punteggio 5,0 su 5",41 recensioni,"Italiana, Pizza",?
887, Il Delfino,"Punteggio 4,0 su 5",288 recensioni,"Italiana, Pizza",2.5
888, Osteria del Corso,"Punteggio 4,0 su 5",420 recensioni,"Italiana, Mediterranea",2.5
889, Panini Di Mare Milano Isola,"Punteggio 4,5 su 5",105 recensioni,"Italiana, Pesce",2.5
890, Cantine Isola,"Punteggio 4,0 su 5",332 recensioni,Wine Bar,2.5
891, Hamerica's,"Punteggio 4,0 su 5",620 recensioni,Messicana,2.5
892, Ristorante Lungomare,"Punteggio 4,5 su 5",218 recensioni,Pesce,1
893, Piadà,"Punteggio 5,0 su 5",74 recensioni,"Italiana, Fast food",1
894, Cartoccio Milano,"Punteggio 4,5 su 5",157 recensioni,"Italiana, Mediterranea",2.5
895, Tomoyoshi Endo,"Punteggio 4,0 su 5",463 recensioni,"Giapponese, Pesce",2.5
897, La Quarta Carbonaia,"Punteggio 4,0 su 5",753 recensioni,"Italiana, Steakhouse",2.5
898, Osteria Naviglio Grande,"Punteggio 4,5 su 5",135 recensioni,"Italiana, Pesce",2.5
899, Del Ponte,"Punteggio 4,0 su 5",1.154 recensioni,"Italiana, Pizza",2.5
900, Sfizio by Eataly,"Punteggio 4,5 su 5",156 recensioni,"Italiana, Mediterranea",2.5
901, Shiva,"Punteggio 4,0 su 5",951 recensioni,"Indiana, Asiatica",2.5
903, Ugo Bar,"Punteggio 4,0 su 5",295 recensioni,"Italiana, Bar",2.5
904, The Small,"Punteggio 4,0 su 5",645 recensioni,"Italiana, Pesce",2.5
905, Cood - Cocktails and Beef,"Punteggio 4,5 su 5",117 recensioni,"Italiana, Steakhouse",€€€€
906, La Parrilla mexicana,"Punteggio 4,0 su 5",1.244 recensioni,"Messicana, Latino americana",2.5
907, Venice Ristorante Pizzeria,"Punteggio 4,0 su 5",223 recensioni,"Italiana, Pizza",2.5
908, Antica Osteria del Mare,"Punteggio 4,0 su 5",316 recensioni,"Italiana, Pesce",2.5
909, Arirang plus - Ristorante Coreano,"Punteggio 4,0 su 5",247 recensioni,"Asiatica, Coreana",2.5
910, Lon Fon,"Punteggio 4,0 su 5",515 recensioni,"Cinese, Pesce",2.5
911, Oveja Negra Milano - Tapas e Paella,"Punteggio 4,5 su 5",75 recensioni,"Pesce, Mediterranea",2.5
912, Al Sale Grosso,"Punteggio 4,0 su 5",607 recensioni,"Italiana, Pesce",€€€€
913, Nunasoulfood,"Punteggio 4,5 su 5",91 recensioni,"Mediterranea, Asiatica",2.5
914, Al Mozzo,"Punteggio 4,0 su 5",613 recensioni,"Pizza, Italiana",2.5
915, Delicious Baobing,"Punteggio 4,5 su 5",116 recensioni,"Cinese, Asiatica",1
916, Melaverde,"Punteggio 4,0 su 5",541 recensioni,"Italiana, Pesce",2.5
917, Pianeta Luna,"Punteggio 4,0 su 5",592 recensioni,"Italiana, Pizza",2.5
918, Rangoli Indian Restaurant,"Punteggio 4,0 su 5",712 recensioni,"Indiana, Asiatica",2.5
919, Orma Bruna - Bottega & Cucina,"Punteggio 4,5 su 5",76 recensioni,"Italiana, Mediterranea",2.5
920, Pescato E Mangiato,"Punteggio 4,0 su 5",762 recensioni,"Italiana, Pesce",2.5
921, Identità Golose,"Punteggio 4,5 su 5",134 recensioni,"Italiana, Internazionale",€€€€
922, Calice DiVino,"Punteggio 4,5 su 5",208 recensioni,"Italiana, Wine Bar",1
923, Sciatt A' Porter,"Punteggio 4,0 su 5",985 recensioni,"Italiana, Lombarda",2.5
924, Trattoria Da Abele,"Punteggio 4,0 su 5",466 recensioni,"Italiana, Pesce",2.5
925, Ristorante Rifugio,"Punteggio 4,0 su 5",933 recensioni,Italiana,2.5
926, Shin Fusion Restaurant,"Punteggio 4,0 su 5",482 recensioni,"Cinese, Giapponese",2.5
927, Alla Cadrega,"Punteggio 4,0 su 5",889 recensioni,"Italiana, Lombarda",2.5
929, Luca e Andrea Cafe-Bar,"Punteggio 4,0 su 5",796 recensioni,"Italiana, Bar",2.5
930, L'artista del gusto,"Punteggio 4,0 su 5",285 recensioni,"Italiana, Pizza",2.5
931, Osteria Italiana,"Punteggio 4,0 su 5",1.286 recensioni,"Italiana, Napoletana",2.5
932, Al Vecchio Aratro,"Punteggio 4,0 su 5",499 recensioni,"Italiana, Pesce",1
933, Baia Chia,"Punteggio 4,0 su 5",543 recensioni,"Italiana, Pesce",2.5
935, BIANCAZEROZERO Milano,"Punteggio 4,5 su 5",55 recensioni,"Italiana, Pizza",2.5
936, Da Giannino - L'angolo d'Abruzzo,"Punteggio 4,0 su 5",1.095 recensioni,"Italiana, Mediterranea",2.5
937, IZU - Japanese Creative Experience,"Punteggio 4,0 su 5",1.144 recensioni,"Giapponese, Sushi",2.5
938, Forte Restaurant,"Punteggio 4,5 su 5",65 recensioni,"Italiana, Pesce",?
939, Qui Si Mangia,"Punteggio 4,0 su 5",231 recensioni,"Italiana, Pesce",1
940, Miscusi - Stazione Centrale,"Punteggio 4,0 su 5",783 recensioni,"Italiana, Mediterranea",2.5
941, L'Anima del Gusto,"Punteggio 4,5 su 5",110 recensioni,"Italiana, Pesce",2.5
942, Al Coniglio Bianco,"Punteggio 4,0 su 5",1.303 recensioni,Italiana,2.5
943, Sun restaurant,"Punteggio 4,0 su 5",450 recensioni,"Giapponese, Sushi",2.5
944, Ba-Ba Reeba,"Punteggio 4,0 su 5",562 recensioni,"Pesce, Europea",2.5
945, La Mandorla,"Punteggio 4,0 su 5",215 recensioni,Mediterranea,2.5
946, Pane e Vino,"Punteggio 4,0 su 5",926 recensioni,"Italiana, Mediterranea",2.5
947, Pizzeria di Porta Garibaldi,"Punteggio 4,0 su 5",1.045 recensioni,"Italiana, Pizza",2.5
948, Ponte Rosso,"Punteggio 4,0 su 5",513 recensioni,"Italiana, Mediterranea",2.5
949," Sciura Maria Panzerotti Via Cenisio, 36","Punteggio 4,5 su 5",169 recensioni,"Mediterranea, Italiana",1
950, Jumping da Gigi,"Punteggio 4,0 su 5",373 recensioni,"Italiana, Pizza",2.5
951, Taj Mahal,"Punteggio 4,0 su 5",492 recensioni,"Indiana, Asiatica",2.5
952, La Sirenella,"Punteggio 4,0 su 5",696 recensioni,"Italiana, Pesce",2.5
953, VIVO,"Punteggio 4,0 su 5",487 recensioni,"Italiana, Pesce",2.5
954, La Pizzeria Nazionale,"Punteggio 4,0 su 5",721 recensioni,"Italiana, Pizza",2.5
955, Cantina Piemontese,"Punteggio 4,0 su 5",538 recensioni,"Italiana, Mediterranea",2.5
956, Sagami,"Punteggio 4,5 su 5",138 recensioni,"Giapponese, Asiatica",2.5
957, Ristorante Mun,"Punteggio 4,0 su 5",591 recensioni,"Giapponese, Pesce",2.5
958, Trulli Love,"Punteggio 4,0 su 5",575 recensioni,"Italiana, Contemporanea",2.5
959, Margy Burger,"Punteggio 4,0 su 5",470 recensioni,"Italiana, Americana",1
961, MI - Cucina di Confine,"Punteggio 4,0 su 5",392 recensioni,"Asiatica, Fusion",2.5
962, Tijuana cafe' 2.0,"Punteggio 4,0 su 5",436 recensioni,"Latino americana, Sudamericana",2.5
963, Sumi,"Punteggio 4,0 su 5",635 recensioni,"Cinese, Giapponese",2.5
964, Donna Assunta 1954,"Punteggio 4,5 su 5",158 recensioni,"Pizza, Italiana",2.5
965, Jolly Due,"Punteggio 4,0 su 5",243 recensioni,"Italiana, Pizza",1
967, Antica Osteria Cavallini,"Punteggio 4,0 su 5",1.313 recensioni,"Italiana, Pesce",€€€€
968, Curry Twist,"Punteggio 4,5 su 5",87 recensioni,"Indiana, Asiatica",2.5
969, Pizzeria Il Ciliegino,"Punteggio 4,0 su 5",397 recensioni,"Italiana, Pizza",2.5
970, Piadineria Ripamonti,"Punteggio 4,5 su 5",158 recensioni,Italiana,1
971, Mido Ristorante Arabo,"Punteggio 4,0 su 5",348 recensioni,"Marocchina, Mediorientale",2.5
972, HOSTERIA FISH & CO.,"Punteggio 4,0 su 5",317 recensioni,"Italiana, Pesce",2.5
973, The Fish - Ristopescheria,"Punteggio 4,0 su 5",471 recensioni,"Italiana, Pesce",2.5
974, Shambala,"Punteggio 4,0 su 5",1.732 recensioni,"Pesce, Asiatica",€€€€
975, Solo Crudo,"Punteggio 4,0 su 5",208 recensioni,"Italiana, Internazionale",2.5
976, Baja Sardinia,"Punteggio 4,0 su 5",929 recensioni,Italiana (nord),2.5
977, Osteria delle Corti,"Punteggio 4,0 su 5",1.135 recensioni,"Italiana, Pesce",2.5
978, Creanza,"Punteggio 4,5 su 5",89 recensioni,"Italiana, Mediterranea",2.5
979, Ferrelli,"Punteggio 4,0 su 5",313 recensioni,"Italiana, Pesce",2.5
980, Amo Pizza,"Punteggio 4,5 su 5",169 recensioni,"Italiana, Pizza",1
981, Da Zero,"Punteggio 4,0 su 5",207 recensioni,"Italiana, Pizza",2.5
982, L’Officina del Pesce,"Punteggio 4,0 su 5",373 recensioni,"Italiana, Pesce",2.5
983, Osteria Tizio e Caio,"Punteggio 4,0 su 5",241 recensioni,"Pesce, Italiana",2.5
984, Carne e Dintorni,"Punteggio 4,0 su 5",907 recensioni,"Steakhouse, Latino americana",2.5
985, Kingyo,"Punteggio 4,0 su 5",555 recensioni,"Cinese, Giapponese",2.5
986, AbbracciaMi,"Punteggio 4,5 su 5",84 recensioni,"Italiana, Pizza",2.5
987, Pizzeria del Ticinese,"Punteggio 4,0 su 5",409 recensioni,"Italiana, Pizza",1
988, Pepe Verde,"Punteggio 4,0 su 5",219 recensioni,"Italiana, Pesce",1
989, La Colubrina,"Punteggio 4,0 su 5",414 recensioni,"Pizza, Contemporanea",2.5
990, Carretta Il Ristorante,"Punteggio 4,5 su 5",51 recensioni,Italiana,2.5
991, The FisherMan,"Punteggio 4,0 su 5",212 recensioni,"Italiana, Pesce",1
993, Bistrò,"Punteggio 4,0 su 5",346 recensioni,"Italiana, Internazionale",2.5
994, MARGHE - Via Cadore,"Punteggio 4,0 su 5",1.295 recensioni,"Italiana, Pizza",2.5
995, Osteria del Treno,"Punteggio 4,0 su 5",1.026 recensioni,"Italiana, Mediterranea",2.5
996, Ristorante Da Mimmo,"Punteggio 4,0 su 5",419 recensioni,"Italiana, Lombarda",2.5
997, Pizzeria dallo Zio,"Punteggio 4,0 su 5",241 recensioni,"Italiana, Pizza",1
999, Famoso Fusion,"Punteggio 4,0 su 5",468 recensioni,"Cinese, Giapponese",2.5
1000, Il Bucatino con Giardino,"Punteggio 4,0 su 5",393 recensioni,"Italiana, Pizza",2.5
1001, A' Pizzella,"Punteggio 4,5 su 5",79 recensioni,"Italiana, Pizza",2.5
1002, Kebabbar Navigli,"Punteggio 5,0 su 5",29 recensioni,"Bar, Internazionale",?
1003, Ristorante Pizzeria Maruzzella,"Punteggio 4,0 su 5",2.446 recensioni,"Italiana, Pizza",2.5
1004, Piedra del Sol,"Punteggio 4,0 su 5",842 recensioni,"Messicana, Latino americana",2.5
1005, Pizzeria Del 333,"Punteggio 4,0 su 5",251 recensioni,"Italiana, Pizza",1
1006, Aragosta D'Oro,"Punteggio 4,5 su 5",212 recensioni,"Italiana, Pesce",2.5
1007, Café Gorille,"Punteggio 4,0 su 5",337 recensioni,"Italiana, Francese",2.5
1008, Castello d'Oro,"Punteggio 4,0 su 5",239 recensioni,"Cinese, Asiatica",2.5
1009, Le Papè Bistrot 2.0,"Punteggio 4,5 su 5",43 recensioni,"Italiana, Pesce",2.5
1010, Napoli 1820 - Cucina e Pizza D'autore,"Punteggio 4,0 su 5",911 recensioni,"Napoletana, Campana",2.5
1011, Il Pasto Giusto Gnoccheria,"Punteggio 4,0 su 5",371 recensioni,"Italiana, Mediterranea",2.5
1012, Antica Pizzeria Fiorentina,"Punteggio 4,0 su 5",519 recensioni,"Toscana, Italiana (centro)",1
1013, Mare Mosso - Osteria del Pesce,"Punteggio 4,0 su 5",620 recensioni,"Calabrese, Italiana (sud)",2.5
1014, All'Antico Vinaio,"Punteggio 4,0 su 5",300 recensioni,"Italiana, Toscana",1
1015, La Forchetta,"Punteggio 4,0 su 5",373 recensioni,"Italiana, Pizza",2.5
1016, Brezzamarina,"Punteggio 4,5 su 5",113 recensioni,"Italiana, Pesce",2.5
1017, Mahrani Mahal,"Punteggio 4,5 su 5",136 recensioni,"Indiana, Pakistana",1
1018, Tropi & Co Pizza Club,"Punteggio 4,0 su 5",1.046 recensioni,"Italiana, Pizza",1
1019, PESCHERIA I PESCIOLINI,"Punteggio 4,0 su 5",593 recensioni,"Pesce, Italiana",2.5
1020, Bon Wei Chinese Restaurant,"Punteggio 4,0 su 5",822 recensioni,"Cinese, Pesce",€€€€
1021, Pizzeria da Ciro,"Punteggio 4,0 su 5",893 recensioni,"Italiana, Pizza",2.5
1022, KD House,"Punteggio 4,5 su 5",146 recensioni,Americana,1
1023, I Sapori del Mare,"Punteggio 4,0 su 5",409 recensioni,"Italiana, Sarda",2.5
1025, Cirispaccio,"Punteggio 4,5 su 5",111 recensioni,"Italiana, Mediterranea",1
1026, Santo Taco,"Punteggio 4,5 su 5",172 recensioni,Messicana,2.5
1027, Ristorante Al Mercante,"Punteggio 4,0 su 5",815 recensioni,"Italiana, Pesce",2.5
1028, Wang Jiao,"Punteggio 4,0 su 5",352 recensioni,"Cinese, Pesce",1
1029, I Sapori di Giovy,"Punteggio 4,0 su 5",792 recensioni,"Italiana, Pizza",2.5
1031, Osteria del Balabiott,"Punteggio 4,0 su 5",127 recensioni,"Italiana, Italiana (nord)",2.5
1032, Pizzeria da Giuliano,"Punteggio 4,0 su 5",704 recensioni,"Italiana, Pizza",1
1033, Joy's,"Punteggio 4,5 su 5",57 recensioni,"Italiana, Lombarda",2.5
1034, Le Tre Stelle,"Punteggio 4,5 su 5",73 recensioni,"Italiana, Pizza",1
1035, Dolce amaro caffe,"Punteggio 4,5 su 5",88 recensioni,"Caffè, Bar",1
1036, Grand Hotel L'Osteria,"Punteggio 4,0 su 5",329 recensioni,"Italiana, Mediterranea",2.5
1037, Pizza e Mozzarella,"Punteggio 4,0 su 5",173 recensioni,"Pizza, Italiana",1
1038, Top Carne,"Punteggio 4,5 su 5",154 recensioni,"Brasiliana, Italiana",€€€€
1039, Da Jacopo,"Punteggio 4,5 su 5",168 recensioni,"Italiana, Americana",2.5
1040, Casa Ramen Super,"Punteggio 4,0 su 5",229 recensioni,"Giapponese, Asiatica",2.5
1041, Perla d’oro Milano - Via Vigevano,"Punteggio 4,0 su 5",656 recensioni,"Giapponese, Pesce",2.5
1042, 7 Luppoli - Birra E Cucina,"Punteggio 4,0 su 5",849 recensioni,"Italiana, Americana",2.5
1043, Casa del Ramen,"Punteggio 4,0 su 5",270 recensioni,"Cinese, Giapponese",1
1044, Bio Pizza,"Punteggio 4,0 su 5",554 recensioni,"Italiana, Pizza",2.5
1045, Me.nu (Isola),"Punteggio 4,5 su 5",84 recensioni,"Italiana, Caffè",2.5
1046, Trattoria Il Quadrifoglio,"Punteggio 4,0 su 5",283 recensioni,"Italiana, Pesce",2.5
1047, Tongs,"Punteggio 4,5 su 5",153 recensioni,"Italiana, Bar",1
1048, Pizzeria Sibilla,"Punteggio 4,0 su 5",593 recensioni,"Italiana, Pizza",1
1049, Globe • Restaurant & Cocktail Bar,"Punteggio 4,0 su 5",1.851 recensioni,"Italiana, Bar",2.5
1050, Ristorante Mo,"Punteggio 4,5 su 5",101 recensioni,"Asiatica, Pesce",2.5
1051, Kanji EVO,"Punteggio 4,0 su 5",775 recensioni,"Cinese, Giapponese",2.5
1052, Layali Cafe milano,"Punteggio 5,0 su 5",62 recensioni,"Caffè, Mediterranea",€€€€
1053, Hanabi,"Punteggio 4,0 su 5",354 recensioni,"Cinese, Giapponese",1
1054, Mosobna,"Punteggio 4,0 su 5",134 recensioni,Africana,1
1055, Rovello 18,"Punteggio 4,0 su 5",562 recensioni,"Italiana, Mediterranea",2.5
