Unnamed: 0,title,r_bubbles,r_number,cook_type,expensive
56, Ristorante Lucca,"Punteggio 4,5 su 5",810 recensioni,"Toscana, Italiana (centro)",2.5
57, Maccheroni Cucina Italiana,"Punteggio 4,5 su 5",739 recensioni,"Italiana, Mediterranea",?
58, Da Vic - Ristorante Guerrini,"Punteggio 4,5 su 5",2.053 recensioni,"Italiana, Pesce",€€€€
59, Ristorante Enrico Bartolini,"Punteggio 4,5 su 5",355 recensioni,"Italiana, Pesce",€€€€
60, Cibario,"Punteggio 4,5 su 5",255 recensioni,"Italiana, Mediterranea",1
61, Maison Touareg,"Punteggio 4,5 su 5",287 recensioni,"Marocchina, Pesce",2.5
62, Drinc. Cocktail & Conversation,"Punteggio 4,5 su 5",185 recensioni,?,2.5
63, La Muccaccia,"Punteggio 4,5 su 5",187 recensioni,"Italiana, Mediterranea",2.5
65, Iyo,"Punteggio 4,5 su 5",3.329 recensioni,"Giapponese, Pesce",€€€€
66, Pizzium - Via Procaccini,"Punteggio 4,5 su 5",3.210 recensioni,"Pizza, Mediterranea",2.5
67, Dagli Amici di Patty,"Punteggio 4,5 su 5",361 recensioni,"Italiana, Pesce",2.5
68, Tripburger,"Punteggio 4,5 su 5",315 recensioni,"Contemporanea, Cibo di strada",2.5
69, AleXAmber Fish Cuisine,"Punteggio 4,5 su 5",272 recensioni,"Pesce, Italiana",€€€€
71, Pomet Milano,"Punteggio 4,5 su 5",1.038 recensioni,"Italiana, Pizza",1
72, G.B. Bar,"Punteggio 4,5 su 5",1.096 recensioni,"Italiana, Bar",1
73, Tà Bonu! Culurgiones Bar & Gourmet Sardo,"Punteggio 4,5 su 5",222 recensioni,"Italiana, Mediterranea",2.5
74, La TASTeria Gourmet Sicily Milano Brera,"Punteggio 4,5 su 5",232 recensioni,"Italiana, Pesce",2.5
75, Seta,"Punteggio 4,5 su 5",1.061 recensioni,"Italiana, Pesce",€€€€
76, Belé Ristorante,"Punteggio 4,5 su 5",399 recensioni,"Italiana, Mediterranea",2.5
77, Entreé,"Punteggio 4,5 su 5",602 recensioni,"Italiana, Pesce",2.5
78, Ristorante Pizzeria La Ragazza,"Punteggio 4,5 su 5",650 recensioni,"Pesce, Italiana",2.5
79, Savana Ristorante Eritreo,"Punteggio 4,5 su 5",1.037 recensioni,"Africana, Etiope",2.5
80, T4 Bistrot Experience,"Punteggio 4,5 su 5",236 recensioni,"Italiana, Pesce",2.5
81, Pizzium - Isola,"Punteggio 4,5 su 5",381 recensioni,"Pizza, Mediterranea",2.5
82, Ristorante Yazawa Milano,"Punteggio 4,5 su 5",289 recensioni,"Giapponese, Barbecue",€€€€
83, Pizzeria Cinder Mount,"Punteggio 4,5 su 5",273 recensioni,"Italiana, Pizza",1
84, Orianna,"Punteggio 4,5 su 5",217 recensioni,"Italiana, Emiliana",2.5
85, L'Amùri Sicilian Restaurant,"Punteggio 4,5 su 5",204 recensioni,"Italiana, Pesce",2.5
86, LO SPACCIO - Cucina Tradizionale Italiana,"Punteggio 4,5 su 5",148 recensioni,"Italiana, Mediterranea",2.5
87, Ristorante Santo Bevitore,"Punteggio 4,5 su 5",364 recensioni,"Italiana, Mediterranea",2.5
88, CHIOSCO SQUADRE CALCIO,"Punteggio 4,5 su 5",430 recensioni,"Italiana, Bar",1
89, Pasta fresca da Giovanni,"Punteggio 4,5 su 5",476 recensioni,"Italiana, Europea",1
90, Gente di Mare in Darsena,"Punteggio 4,5 su 5",403 recensioni,"Italiana, Mediterranea",2.5
91, shannara5,"Punteggio 4,5 su 5",273 recensioni,"Pesce, Italiana",2.5
92, Sapori Solari - La Bisteccheria,"Punteggio 4,5 su 5",248 recensioni,"Italiana, Steakhouse",€€€€
93, Thai Chokdee restaurant,"Punteggio 4,5 su 5",166 recensioni,"Tailandese, Pesce",2.5
94, Pizza AM,"Punteggio 4,5 su 5",4.241 recensioni,"Italiana, Pizza",1
95, Fei Yun Ge,"Punteggio 4,5 su 5",334 recensioni,"Cinese, Pesce",2.5
97, MooKuzai,"Punteggio 4,5 su 5",827 recensioni,"Sushi, Giapponese",2.5
98, Cous-Cous Restaurant,"Punteggio 4,5 su 5",618 recensioni,"Italiana, Pesce",2.5
99, Soprattutto,"Punteggio 4,5 su 5",160 recensioni,"Italiana, Bar",2.5
100, theLab - unconventional burger experience®,"Punteggio 4,5 su 5",522 recensioni,"Contemporanea, Cibo di strada",1
101, Contraste Ristorante,"Punteggio 4,5 su 5",1.121 recensioni,"Mediterranea, Italiana",€€€€
103, Macelleria Equina Da Vito,"Punteggio 4,5 su 5",916 recensioni,"Italiana, Steakhouse",1
104, Nuovo Yacht,"Punteggio 4,5 su 5",734 recensioni,"Italiana, Mediterranea",2.5
105, Sakeya The House of Sake,"Punteggio 4,5 su 5",237 recensioni,"Giapponese, Pesce",€€€€
106, Un'Altra Pasta,"Punteggio 4,5 su 5",488 recensioni,"Italiana, Pizza",1
107, Pizzium - Stazione Centrale Milano,"Punteggio 4,5 su 5",490 recensioni,"Pizza, Campana",2.5
108, Kowa,"Punteggio 4,5 su 5",365 recensioni,"Asiatica, Fusion",€€€€
109, Seoul Ristorante Coreano,"Punteggio 4,5 su 5",304 recensioni,"Asiatica, Coreana",2.5
110, Ristorante Himalaya,"Punteggio 4,5 su 5",161 recensioni,"Indiana, Nepalese",2.5
111, Monkey in The City,"Punteggio 4,5 su 5",247 recensioni,"Cubana, Internazionale",2.5
112, Cipiace,"Punteggio 5,0 su 5",127 recensioni,"Italiana, Mediterranea",1
113, Chiosco al Politico,"Punteggio 4,5 su 5",324 recensioni,"Italiana, Fast food",1
114, Testone,"Punteggio 4,5 su 5",343 recensioni,"Mediterranea, Barbecue",1
115, ALventicinque,"Punteggio 4,5 su 5",272 recensioni,"Italiana, Mediterranea",2.5
116, Ristorante Acanto,"Punteggio 4,5 su 5",496 recensioni,"Italiana, Pesce",€€€€
117, La cantina del Giannone,"Punteggio 4,5 su 5",856 recensioni,"Italiana, Pesce",2.5
118, Trippa,"Punteggio 4,5 su 5",944 recensioni,"Italiana, Lombarda",2.5
119, Botinero,"Punteggio 4,5 su 5",1.925 recensioni,"Italiana, Steakhouse",€€€€
120, DA NOI IN Via Forcella 6,"Punteggio 4,5 su 5",360 recensioni,"Italiana, Pesce",€€€€
121, Ristorante Delfino,"Punteggio 4,5 su 5",1.279 recensioni,"Italiana, Pesce",2.5
122, San Maurì,"Punteggio 4,5 su 5",672 recensioni,"Italiana, Pesce",2.5
123, Ristorante Omega 3,"Punteggio 4,5 su 5",650 recensioni,"Italiana, Pesce",2.5
124, Nerino Dieci Trattoria,"Punteggio 4,5 su 5",4.827 recensioni,"Italiana, Europea",2.5
125, Sushi Li,"Punteggio 4,5 su 5",384 recensioni,"Giapponese, Pesce",2.5
126, Slice Milano,"Punteggio 5,0 su 5",71 recensioni,"Italiana, Pizza",2.5
127, Olo-olo Ravioleria,"Punteggio 4,5 su 5",128 recensioni,"Cinese, Asiatica",1
129, Icon Cafè Milano,"Punteggio 4,5 su 5",572 recensioni,"Italiana, Bar",1
