title,address_trip,new_column_merged,address_clean_merged,Index,new_column_google,price_level_google,rating_google,total_reviews_google,address,address_clean_google
,,,,5969,Il limite Schianchi Food Hall,,4.0,2.0,"Corso Italia, 38, Milano","corso italia, 38, milano"
,,,,5971,Pizzeria Antonio,,,,"Via Crocefisso, 4, Milano","via crocefisso, 4, milano"
,,,,5974,Punto Futuro Italia,,,,"Corso Italia, 40, Milano","corso italia, 40, milano"
,,,,5975,BarBar Tabacchi,,4.0,2.0,"Via San Martino, Milano","via san martino, milano"
,,,,5976,Bu:r di Eugenio Boer,,4.7,142.0,"Via Mercalli, 22, Milano","via mercalli, 22, milano"
,,,,5978,Marranz,,,,"Corso Italia, Milano","corso italia, milano"
,,,,5979,Cafè Italia,,4.1,154.0,"Corso Italia, 34, Milano","corso italia, 34, milano"
,,,,5981,La Boutique del panino e della birra,1.0,4.7,62.0,"fronte civico n. 4 Chiosco bar, Piazzale di Porta Lodovica, Milano","fronte civico n. 4 chiosco bar, piazzale di porta lodovica, milano"
,,,,5988,Tonbo birre giapponesi,,,,"Via Luigi Anelli, 2, Milano","via luigi anelli, 2, milano"
,,,,5989,De BU:R,,,,"Via Santa Sofia, 15, Milano","via santa sofia, 15, milano"
,,,,5990,K`s Kitchen,,,,"Via Santa Sofia, Milano","via santa sofia, milano"
,,,,5995,Re Fosco Bistrot,2.0,4.1,414.0,"Via San Calimero, 7, Milano","via san calimero, 7, milano"
,,,,5996,Viva | BuonoFrescoNaturale - Crocetta,2.0,4.1,504.0,"Largo della Crocetta, 2, Milano","largo della crocetta, 2, milano"
,,,,5998,Bosforo Kebap Pizza,,4.8,24.0,"Corso di Porta Vigentina, 32, Milano","corso di porta vigentina, 32, milano"
,,,,6000,Fratelli Torcinelli,,4.5,126.0,"Corso di Porta Vigentina, 38, Milano","corso di porta vigentina, 38, milano"
,,,,6001,Ristorante Calimero,,3.4,5.0,"Via San Calimero, 3, Milano","via san calimero, 3, milano"
,,,,6003,Hello Chicken,1.0,3.6,130.0,"Corso di Porta Romana, 94, Milano","corso di porta romana, 94, milano"
,,,,6005,Pizza AM,1.0,4.7,5044.0,"Corso di Porta Romana, 83, Milano","corso di porta romana, 83, milano"
,,,,6007,DOT Chianti Street Food. Cucina toscana.,1.0,4.5,262.0,"Via Orti, 1, Milano","via orti, 1, milano"
,,,,6008,Bar della Crocetta,,3.0,6.0,"Corso di Porta Romana, 67, Milano","corso di porta romana, 67, milano"
,,,,6009,Sette Orti,,3.9,9.0,"Via Orti, 7, Milano","via orti, 7, milano"
,,,,6010,Palo Alto Cafè,2.0,3.4,1032.0,"Corso di Porta Romana, 106, Milano","corso di porta romana, 106, milano"
,,,,6011,Crocetta Panini d'Autore 1982,2.0,3.7,371.0,"Corso di Porta Romana, 67, Milano","corso di porta romana, 67, milano"
