title,address_trip,new_column_merged,address_clean_merged,Index,new_column_google,price_level_google,rating_google,total_reviews_google,address,address_clean_google
,,,,0,Autogrill,2.0,3.5,2501.0,"A50 Tangenziale Ovest di Milano, km 18, Assago","a50 tangenziale ovest di milano, km 18, assago"
,,,,2,L'angolo del Buongustaio,,1.0,1.0,"A50 Tangenziale Ovest di Milano, km 18, Assago","a50 tangenziale ovest di milano, km 18, assago"
,,,,3,Compagnia Dell'Espresso Srl,,,,"Viale Milanofiori SDA 6, Assago, MI 20090","viale milanofiori sda 6, assago, mi 20090"
,,,,4,Assago 03,,,,"Piazza degli Incontri, Assago","piazza degli incontri, assago"
,,,,5,Rasoi baget,,,,"Via Roma, Assago","via roma, assago"
,,,,7,"Bar Trattoria ""Anna & Giulio” Assago",1.0,4.1,264.0,"Via dei Caduti, 8, Assago","via dei caduti, 8, assago"
,,,,10,Italiano,,,,"Via Giovanni XXIII, 6, Assago","via giovanni xxiii, 6, assago"
,,,,11,Boulevardier café & bistrot,,4.2,199.0,"Via Roma, 22, Assago","via roma, 22, assago"
,,,,16,The Blue Crab,,4.3,4.0,"Via Giuseppe di Vittorio, 4, Assago","via giuseppe di vittorio, 4, assago"
,,,,18,Foodhall Restaurant Pizza Coffee,2.0,3.7,15.0,"Via G. Di Vittorio, 6, Assago","via g. di vittorio, 6, assago"
,,,,19,Forum Cafè,,,,"Via Giuseppe di Vittorio, 6, Assago","via giuseppe di vittorio, 6, assago"
,,,,20,The Kitchen,,,,"Via Giuseppe di Vittorio, 6, Assago","via giuseppe di vittorio, 6, assago"
,,,,24,Machapokè,,3.9,82.0,"Viale Milanofiori, Assago","viale milanofiori, assago"
,,,,26,Alice Pizza Assago,2.0,3.3,40.0,"Viale Milanofiori, Assago","viale milanofiori, assago"
,,,,27,Marro Garden #Fisheria,2.0,4.3,1047.0,"Via Valleambrosia, 3, Assago","via valleambrosia, 3, assago"
,,,,28,UMU Sushi,1.0,4.0,1330.0,"Via Valleambrosia, 11, Rozzano","via valleambrosia, 11, rozzano"
,,,,29,C'era una volta il Passatore,,4.4,13.0,"Via Valleambrosia, 3, Rozzano","via valleambrosia, 3, rozzano"
,,,,30,Ristorante Villa Yu,,4.0,101.0,"Via Valleambrosia, 11, Assago","via valleambrosia, 11, assago"
,,,,33,Rm Services S.r.l.,,,,"Via Costantino Baroni, 190, Milano","via costantino baroni, 190, milano"
,,,,35,Antica Osteria Il Ronchettino,2.0,4.3,1227.0,"Via Lelio Basso, 9, Milano","via lelio basso, 9, milano"
,,,,36,Pizzeria Il Molo,1.0,4.0,129.0,"Via Costantino Baroni, 244, Milano","via costantino baroni, 244, milano"
,,,,37,Pizzeria Da Kiro Pizza da asporto,1.0,3.9,47.0,"Via Costantino Baroni, 242, Milano","via costantino baroni, 242, milano"
,,,,43,The Refreshment of Frogs & Ranokkio,,4.5,113.0,"Via Pescara, 44, Milano","via pescara, 44, milano"
,,,,44,Pizzeria Malibù 2,1.0,3.7,66.0,"Via del Parlamento, 6, San Giuliano Milanese","via del parlamento, 6, san giuliano milanese"
,,,,45,Yu Hua,1.0,4.4,524.0,"Via delle Crociate, 20, San Giuliano Milanese","via delle crociate, 20, san giuliano milanese"
,,,,46,Antica Trattoria del Borgo,2.0,4.3,1032.0,"Via delle Crociate, 25, San Giuliano Milanese","via delle crociate, 25, san giuliano milanese"
,,,,47,Pizzeria Bella Regina,,3.9,31.0,"Via delle Crociate, 10, San Giuliano Milanese","via delle crociate, 10, san giuliano milanese"
,,,,52,Pizzeria Stella d'Oro,,4.2,38.0,"Viale Fratelli Cervi, 30, San Giuliano Milanese","viale fratelli cervi, 30, san giuliano milanese"
,,,,54,Ristorante la Primavera,1.0,4.2,109.0,"Via G. Carducci, 39, San Giuliano Milanese","via g. carducci, 39, san giuliano milanese"
,,,,56,Ristorante Pizzeria L'Agorà,2.0,4.2,1962.0,"Via Roma, 39, Assago","via roma, 39, assago"
,,,,58,Il Trio,1.0,3.6,162.0,"Via Roma, 28, Assago","via roma, 28, assago"
,,,,59,Falena S.r.l.,,,,"Via Roma, 39, Assago","via roma, 39, assago"
,,,,76,KFC,1.0,4.0,3420.0,"Viale Milanofiori, 18, Assago","viale milanofiori, 18, assago"
,,,,78,McDonald's,1.0,3.9,4511.0,"Viale della Fonte Lunga, 1A, Assago","viale della fonte lunga, 1a, assago"
,,,,79,So'Riso Milano Fiori,,3.8,210.0,"Viale Milano Fiori, 1, Assago","viale milano fiori, 1, assago"
,,,,80,Wiener Haus,2.0,3.8,672.0,"centro commerciale Milanofiori Piazza degli Incontri, Via Cascina Venina, 4, Assago","centro commerciale milanofiori piazza degli incontri, via cascina venina, 4, assago"
,,,,81,Calavera Fresh Mex - Assago,2.0,3.7,1483.0,"Viale della Fonte Lunga, Assago","viale della fonte lunga, assago"
,,,,82,Sushi Daily Assago,,4.1,7.0,"Milanofiori Centro Commerciale, Viale Milanofiori, Milano","milanofiori centro commerciale, viale milanofiori, milano"
,,,,83,I love poke Assago,,4.9,39.0,"Piazza degli Incontri, 10, Assago","piazza degli incontri, 10, assago"
,,,,84,Velvet Cafe,,4.3,247.0,"Business Park, Piazza degli Incontri, 3, Assago","business park, piazza degli incontri, 3, assago"
,,,,85,Burger Wave Assago,2.0,4.3,1135.0,"Business Park Milanofiori Nord, Piazza degli Incontri, 7, Assago","business park milanofiori nord, piazza degli incontri, 7, assago"
,,,,86,Gusto,,,,"Viale Milano Fiori, 6, Assago","viale milano fiori, 6, assago"
,,,,91,ROADHOUSE RESTAURANT ASSAGO,2.0,3.8,1382.0,"c/o CC, Viale Milanofiori, Assago","c/o cc, viale milanofiori, assago"
,,,,92,Spontini,1.0,3.7,1066.0,"Viale Milanofiori, Assago","viale milanofiori, assago"
,,,,93,Focacceria Saporita,,3.6,36.0,"Viale Milano Fiori, 1, Assago","viale milano fiori, 1, assago"
,,,,94,Burger King,1.0,3.4,592.0,"Viale Milanofiori, Assago","viale milanofiori, assago"
,,,,95,Autogrill,2.0,3.8,77.0,"Viale Milanofiori, Assago","viale milanofiori, assago"
,,,,96,Old Wild West,2.0,3.6,1137.0,"Business Park Milanofiori Nord, Assago","business park milanofiori nord, assago"
,,,,97,Delta Srl,,3.0,1.0,"Piazza degli Incontri, 16, Assago","piazza degli incontri, 16, assago"
,,,,98,Fratelli la Bufala,2.0,3.7,951.0,"Piazza degli Incontri, 8, A, Assago","piazza degli incontri, 8, a, assago"
,,,,103,Rossopomodoro Assago,2.0,3.8,398.0,"Viale Milano Fiori, Assago","viale milano fiori, assago"
,,,,105,Cece Nero,,2.0,1.0,"Via Roggia Bartolomea, 5, Assago","via roggia bartolomea, 5, assago"
,,,,106,Bottega Portici Assago,,3.6,190.0,"Viale Milanofiori, Assago","viale milanofiori, assago"
,,,,112,Sushi Daily,2.0,3.9,859.0,"Viale della Fonte Lunga, Assago","viale della fonte lunga, assago"
,,,,115,Fantamondo Srl,,,,"Via Roggia Bartolomea, 7, Vigano","via roggia bartolomea, 7, vigano"
,,,,127,La Cantina Della Tinozza,,,,"Via G. di Vittorio, 18, San Donato Milanese","via g. di vittorio, 18, san donato milanese"
,,,,128,Pizzeria Titanic,1.0,3.7,116.0,"Via Ferruccio Parri, 59, San Donato Milanese","via ferruccio parri, 59, san donato milanese"
,,,,129,5 Colonne,2.0,4.1,512.0,"Via G. di Vittorio, 18, San Donato Milanese","via g. di vittorio, 18, san donato milanese"
,,,,130,Number One Di Marasca Pasquale,,4.3,9.0,"Via G. di Vittorio, 1, San Donato Milanese","via g. di vittorio, 1, san donato milanese"
,,,,139,Pizzeria da zamasu,,2.0,1.0,"Via Brenta, 9/1, San Donato Milanese","via brenta, 9/1, san donato milanese"
,,,,151,Mr. Fantasy,2.0,4.2,507.0,"Largo Brugnatelli, 5, Buccinasco","largo brugnatelli, 5, buccinasco"
,,,,153,Il Pinguino,2.0,3.9,394.0,"Via della Resistenza angolo Via Toscanelli, Buccinasco","via della resistenza angolo via toscanelli, buccinasco"
,,,,155,Ristorante Il Fontanile,1.0,3.9,718.0,"Via Mario Idiomi, 1, Assago","via mario idiomi, 1, assago"
,,,,162,Pizzeria Il Drago Verde,1.0,4.7,272.0,"Via Giacomo Matteotti, 10, Assago","via giacomo matteotti, 10, assago"
,,,,163,Pizzeria Ebramo 3,1.0,4.0,96.0,"Via Giacomo Matteotti, 10, Assago","via giacomo matteotti, 10, assago"
,,,,166,Mensa Scolastica,,5.0,1.0,"Via Leonardo Da Vinci, 1, Assago","via leonardo da vinci, 1, assago"
,,,,169,Ristorante da Kico,2.0,4.5,1185.0,"Via Cascina Bazzana superiore, 4, Assago","via cascina bazzana superiore, 4, assago"
,,,,171,Tramé - Milanofiori,,3.6,43.0,"U4, Edificio, Via del Bosco Rinnovato, 8, Assago","u4, edificio, via del bosco rinnovato, 8, assago"
,,,,174,That's Vapore Assago,2.0,3.9,308.0,"Via del Bosco Rinnovato, 8, Assago","via del bosco rinnovato, 8, assago"
,,,,180,La Piadineria,1.0,3.0,2.0,"Via del Bosco Rinnovato, 8, Milano","via del bosco rinnovato, 8, milano"
,,,,181,Foodissimo,,4.1,11.0,"Piazza degli Incontri, 16, Milano","piazza degli incontri, 16, milano"
,,,,183,Vintage Break,2.0,4.0,342.0,"Piazza degli Incontri, 12, Milano","piazza degli incontri, 12, milano"
,,,,219,WASHINGTON 2,1.0,3.9,270.0,"Via Mincio, 8, San Donato Milanese","via mincio, 8, san donato milanese"
,,,,221,Alle Cascine,,,,"Via Adige, 4, San Donato Milanese","via adige, 4, san donato milanese"
,,,,227,Ristorante Pizzeria San Giorgio san donato Milanese,1.0,3.9,176.0,"Via Giovanni Pascoli, 5, San Donato Milanese","via giovanni pascoli, 5, san donato milanese"
,,,,232,ristorante bub,,,,"Via del Commercio, Gaggiano","via del commercio, gaggiano"
,,,,239,La Griglia sul Fuoco,2.0,4.1,1409.0,"Viale Lomellina, 26, Buccinasco","viale lomellina, 26, buccinasco"
,,,,256,La Pizza Pulcinella,1.0,4.0,140.0,"Via Costantino Baroni, 12, Milano","via costantino baroni, 12, milano"
,,,,257,Braceria Gratosoglio del pascolo verde,,3.8,60.0,"Via Costantino Baroni, 1, Milano","via costantino baroni, 1, milano"
,,,,262,Locanda Macconago Ristorante,2.0,4.4,236.0,"Via Macconago, 20, Milano","via macconago, 20, milano"
,,,,264,Borgo Bagnolo Restaurant Milano,2.0,4.3,696.0,"Via Luigi Calabresi, 42, San Donato Milanese","via luigi calabresi, 42, san donato milanese"
,,,,267,Ristorante Pizzeria Quattro Archi,1.0,4.1,1029.0,"Via Trieste, 43, San Donato Milanese","via trieste, 43, san donato milanese"
,,,,268,Benny Pizza,,4.6,94.0,"Via Dante Alighieri, 17, San Donato Milanese","via dante alighieri, 17, san donato milanese"
,,,,269,Pizzeria Trieste,1.0,4.5,154.0,"Via Trieste, 21, San Donato Milanese","via trieste, 21, san donato milanese"
,,,,280,Koku poke n'roll & Booba'z Bubble Tea,,4.9,28.0,"Via Europa, 44, San Donato Milanese","via europa, 44, san donato milanese"
,,,,281,Pizzeria Take Away da William,1.0,4.0,168.0,"Via Europa, 44, San Donato Milanese","via europa, 44, san donato milanese"
,,,,285,La Family,,4.2,25.0,"Via Circonvallazione, 61, Trezzano sul Naviglio","via circonvallazione, 61, trezzano sul naviglio"
,,,,286,Campus Café,,4.0,3.0,"Via del Commercio, 40, Buccinasco","via del commercio, 40, buccinasco"
,,,,291,Pizza al trancio,,,,"Via Piemonte, 2, Buccinasco","via piemonte, 2, buccinasco"
,,,,292,Divino Cafè - Wine Food Bar,,4.5,32.0,"Via della Resistenza, 46, Buccinasco","via della resistenza, 46, buccinasco"
,,,,293,Gustavo Buccinasco,2.0,4.1,1035.0,"Via Piemonte, 2, Buccinasco","via piemonte, 2, buccinasco"
,,,,294,La Piadineria,,4.2,11.0,"Via della Resistenza, 121, Buccinasco","via della resistenza, 121, buccinasco"
,,,,302,Grill,,,,"Viale Lomellina, 26, Buccinasco","viale lomellina, 26, buccinasco"
,,,,303,Eat Happy Buccinasco,,5.0,1.0,"Il Viaggiator Goloso, Viale Lomellina, 16, Buccinasco","il viaggiator goloso, viale lomellina, 16, buccinasco"
,,,,304,Chen Li Mei,,,,"Via Toscana, 63, Buccinasco","via toscana, 63, buccinasco"
,,,,308,Bar Più 1986,2.0,4.3,556.0,"Via Lomellina, Via Aldo Moro, 31, Buccinasco","via lomellina, via aldo moro, 31, buccinasco"
,,,,311,Charleston,2.0,4.0,410.0,"Via Icilio Calzolari, 1, Milano","via icilio calzolari, 1, milano"
,,,,312,Salcone Sas,,,,"Via Icilio Calzolari, 1, Milano","via icilio calzolari, 1, milano"
,,,,317,SAN GAUDIENZO,,,,"Via Gratosoglio, Milano","via gratosoglio, milano"
,,,,318,Pizzeria Tramonti,,4.2,93.0,"Via Gratosoglio, 99A, Milano","via gratosoglio, 99a, milano"
,,,,323,Vita Bistrot,,,,"Via dei Missaglia, 89, Milano","via dei missaglia, 89, milano"
,,,,324,"Gustop - Ristorante, Bar, Catering",1.0,4.1,111.0,"Via Selvanesco, 77, Milano","via selvanesco, 77, milano"
,,,,329,Pizzeria da Tito,,4.0,88.0,"Via Ettore Bugatti, 11, Milano","via ettore bugatti, 11, milano"
,,,,330,Bistro' terrazze,,4.3,34.0,"Via Ettore Bugatti, 11, Milano","via ettore bugatti, 11, milano"
,,,,331,Molini Besozzi Marzoli,,,,"Via Ettore Bugatti, 11, Milano","via ettore bugatti, 11, milano"
,,,,342,Borgo Nuovo Restaurant Lounge,2.0,4.1,246.0,"Via San Bernardo, 16, Milano","via san bernardo, 16, milano"
,,,,343,Locanda Chiaravalle,,,,"Via San Bernardo, 36, Milano","via san bernardo, 36, milano"
,,,,349,Piada e bollicine,,4.3,128.0,"Via Strasburgo, 3E, San Donato Milanese","via strasburgo, 3e, san donato milanese"
,,,,350,Pizza Am San Donato,,4.4,152.0,"Via Strasburgo, 1, San Donato Milanese","via strasburgo, 1, san donato milanese"
,,,,351,Giardino D'Oriente,1.0,4.1,204.0,"Via Emilia, 18 Bis, San Donato Milanese","via emilia, 18 bis, san donato milanese"
,,,,352,Meriggi Gastronomica,2.0,4.5,162.0,"Via Martiri Cefalonia, 6, San Donato Milanese","via martiri cefalonia, 6, san donato milanese"
,,,,353,Ristorante Pizzeria Il Camino di Ugo Serra - San Donato Milanese,2.0,3.9,518.0,"Via Martiri Cefalonia, 21, San Donato Milanese","via martiri cefalonia, 21, san donato milanese"
,,,,355,Caffè La Pieve,2.0,4.5,173.0,"Via Martiri Cefalonia, 4, San Donato Milanese","via martiri cefalonia, 4, san donato milanese"
,,,,356,baslòtt,,4.5,26.0,"Via Martiri Cefalonia, 6, San Donato Milanese","via martiri cefalonia, 6, san donato milanese"
,,,,358,Mensa del comune,,,,"Via della Libertà, 24, San Donato Milanese","via della libertà, 24, san donato milanese"
,,,,368,Il Timone ristorante,2.0,4.1,291.0,"Via Europa, 22, San Donato Milanese","via europa, 22, san donato milanese"
,,,,377,Ice Cafè,2.0,4.2,219.0,"Via Felice Maritano, snc, San Donato Milanese","via felice maritano, snc, san donato milanese"
,,,,378,Il Pontile,2.0,3.9,475.0,"Via I Maggio, 8, San Donato Milanese","via i maggio, 8, san donato milanese"
,,,,382,Ca'Solare,2.0,3.8,909.0,"Via Circonvallazione, 45, Trezzano sul Naviglio","via circonvallazione, 45, trezzano sul naviglio"
,,,,383,La Piazzetta,1.0,4.3,79.0,"Largo Risorgimento, 3, Trezzano sul Naviglio","largo risorgimento, 3, trezzano sul naviglio"
,,,,385,Trattoria da Maurizio,1.0,4.3,310.0,"Via Circonvallazione, 28, Trezzano sul Naviglio","via circonvallazione, 28, trezzano sul naviglio"
,,,,386,Antica Osteria Da TORO,,4.6,75.0,"Via Vittorio Veneto, 11, Trezzano sul Naviglio","via vittorio veneto, 11, trezzano sul naviglio"
,,,,387,Pizzeria Naplè,,4.9,46.0,"Via Vittorio Veneto, 14/15, Trezzano sul Naviglio","via vittorio veneto, 14/15, trezzano sul naviglio"
,,,,388,Pizzeria Del Ponte,,4.0,1.0,"Via Vittorio Veneto, 13, Trezzano sul Naviglio","via vittorio veneto, 13, trezzano sul naviglio"
,,,,389,Corte Salterio,,,,"Via Roma, Trezzano sul Naviglio","via roma, trezzano sul naviglio"
,,,,390,Pizza Al Trancio Mordicchio,1.0,4.8,62.0,"Viale Indipendenza, Trezzano sul Naviglio","viale indipendenza, trezzano sul naviglio"
,,,,391,Osteria Del Ponte,2.0,4.3,569.0,"Via Vittorio Veneto, 22, Trezzano sul Naviglio","via vittorio veneto, 22, trezzano sul naviglio"
,,,,393,L'Angolo Sul Naviglio,2.0,4.4,407.0,"Via Salvatore Quasimodo, 19, Trezzano sul Naviglio","via salvatore quasimodo, 19, trezzano sul naviglio"
,,,,402,O' Vesuvio,2.0,4.1,2594.0,"Via Vittorio Veneto, 37, Trezzano sul Naviglio","via vittorio veneto, 37, trezzano sul naviglio"
,,,,406,isola dei sapori,,,,"Via P. Mascagni, 9, Trezzano sul Naviglio","via p. mascagni, 9, trezzano sul naviglio"
,,,,408,La Meridionale,1.0,4.6,251.0,"Via Giovanni Pascoli, 24, Trezzano sul Naviglio","via giovanni pascoli, 24, trezzano sul naviglio"
,,,,410,Trattoria Trezzanese,,4.1,121.0,"Via San Cristoforo, 50, Trezzano sul Naviglio","via san cristoforo, 50, trezzano sul naviglio"
,,,,411,PIZZERIA-KEBAB IL GUSTO,1.0,3.8,81.0,"Via San Cristoforo, 4, Trezzano sul Naviglio","via san cristoforo, 4, trezzano sul naviglio"
,,,,413,Pizzeria Kebab Emilia,1.0,3.9,87.0,"Via Emilia, 29-31, Buccinasco","via emilia, 29-31, buccinasco"
,,,,415,Hummus Around Lab,,,,"Via Lazio, 10, Buccinasco","via lazio, 10, buccinasco"
,,,,418,Tourlé LaPizzeria e ilGrill Buccinasco,1.0,3.9,1826.0,"Via della Resistenza, 115, Buccinasco","via della resistenza, 115, buccinasco"
,,,,422,Amy Sushi Buccinasco,2.0,3.9,2114.0,"Via Emilia, 24, Buccinasco","via emilia, 24, buccinasco"
,,,,425,Centro cottura Camst Group,1.0,3.7,9.0,"Via Calabria, 17, Buccinasco","via calabria, 17, buccinasco"
,,,,432,III Millennio,2.0,4.0,818.0,"Via Lomellina, 10/4, Buccinasco","via lomellina, 10/4, buccinasco"
,,,,434,Da Fede,,4.9,32.0,"Via Lomellina, 10/5, Buccinasco","via lomellina, 10/5, buccinasco"
,,,,435,Daimyo Buccinasco,,4.1,365.0,"Via Lomellina, 12/a, Buccinasco","via lomellina, 12/a, buccinasco"
,,,,437,TBG Burger & fries,,3.1,9.0,"Via Lomellina, 23, Buccinasco","via lomellina, 23, buccinasco"
,,,,438,Mc2 Sport Way,,4.1,503.0,"Via Aldo Moro, 1, Buccinasco","via aldo moro, 1, buccinasco"
,,,,443,Fl!ck Restaurant,,4.6,41.0,"Via Aldo Moro, 1, Buccinasco","via aldo moro, 1, buccinasco"
,,,,456,Fratelli Diversi,1.0,3.6,511.0,"Via del Mare, 49, Milano","via del mare, 49, milano"
,,,,457,프라텔리 식당,,,,"Via del Mare, 49, Milano","via del mare, 49, milano"
,,,,460,Rm,,5.0,3.0,"Via Gratosoglio, 108, Milano","via gratosoglio, 108, milano"
,,,,463,Da Max Hamburger House,,,,"Via Teresa Noce, 5, Milano","via teresa noce, 5, milano"
,,,,472,"Da kiro,2",,5.0,1.0,"Via Guido de Ruggiero, 8, Milano","via guido de ruggiero, 8, milano"
,,,,473,Pizzeria Mina,1.0,4.1,77.0,"Via Guido de Ruggiero, 4, Milano","via guido de ruggiero, 4, milano"
,,,,478,Shon Cafè,1.0,4.1,418.0,"Via Ettore Bugatti, 7, Milano","via ettore bugatti, 7, milano"
,,,,483,Bugatti Pizza - Pizza al Trancio,,4.8,122.0,"Via Ettore Bugatti, 5, Milano","via ettore bugatti, 5, milano"
,,,,492,A Casa di Rucci Ristorante,,4.5,188.0,"Via Nicola Romeo, 5, Milano","via nicola romeo, 5, milano"
,,,,494,Trattoria Al Laghett,2.0,4.1,695.0,"Via Sant'Arialdo, 126, Milano","via sant'arialdo, 126, milano"
,,,,501,La Corte Bistrot by “UNA cucina”,,4.0,4.0,"Via Maastricht, 3, San Donato Milanese","via maastricht, 3, san donato milanese"
,,,,502,Bar Atlantic Esselunga,,3.3,38.0,"Via della Unione Europea, 8, San Donato Milanese","via della unione europea, 8, san donato milanese"
,,,,503,Ristorante G,,,,"Via Maastricht, 3, San Donato Milanese","via maastricht, 3, san donato milanese"
,,,,504,Stoker Brasserie San Donato,2.0,3.9,499.0,"Piazza della Stazione, 1, San Donato Milanese","piazza della stazione, 1, san donato milanese"
,,,,505,Osterietta,2.0,4.5,940.0,"Strada Statale 9 Via Emilia, 26, San Donato Milanese","strada statale 9 via emilia, 26, san donato milanese"
,,,,509,bob food and more,2.0,4.6,513.0,"Piazza Bobbio, 1, San Donato Milanese","piazza bobbio, 1, san donato milanese"
,,,,510,PIZZERIA KIRO 3 (halal),1.0,4.6,174.0,"4/G, Via Bruxelles, San Donato Milanese","4/g, via bruxelles, san donato milanese"
,,,,511,SottoSopra,2.0,4.2,2166.0,"Via Emilia, 26/B, San Donato Milanese","via emilia, 26/b, san donato milanese"
,,,,513,Rapsody,,4.4,88.0,"Via Salvemini, 7, San Donato Milanese","via salvemini, 7, san donato milanese"
,,,,515,Phoenicia,2.0,4.3,1363.0,"Via Monte Bianco, 4, San Donato Milanese","via monte bianco, 4, san donato milanese"
,,,,521,Il Piccolo Cuoco,1.0,4.3,750.0,"Via della Libertà, 38, San Donato Milanese","via della libertà, 38, san donato milanese"
,,,,522,Trattoria,,,,"Via Eugenio Curiel, 14, San Donato Milanese","via eugenio curiel, 14, san donato milanese"
,,,,529,PIADINO,,4.5,17.0,"Via della Libertà, 98, San Donato Milanese","via della libertà, 98, san donato milanese"
,,,,530,L'isola,2.0,4.3,819.0,"Via Salvemini, 3, San Donato Milanese","via salvemini, 3, san donato milanese"
,,,,574,Bacco e Arianna Ristorante,3.0,4.7,351.0,"Via Circonvallazione, 1, Trezzano sul Naviglio","via circonvallazione, 1, trezzano sul naviglio"
,,,,581,Real Food Bistrot,,4.4,30.0,"Via Don Giacomo, Via Don Casaleggi, 4, Trezzano sul Naviglio","via don giacomo, via don casaleggi, 4, trezzano sul naviglio"
,,,,584,Incontri Ricordi Srl,,,,"Via Circonvallazione, 1, Trezzano sul Naviglio","via circonvallazione, 1, trezzano sul naviglio"
,,,,586,LA GRADISCA,,3.2,39.0,"Via Don Casaleggi, 4, Trezzano sul Naviglio","via don casaleggi, 4, trezzano sul naviglio"
,,,,609,Ristorante Cascina Antonietta,2.0,4.2,716.0,"Antonietta, Località Cascina, Trezzano sul Naviglio","antonietta, località cascina, trezzano sul naviglio"
,,,,611,Ristorante Gastronomia Goody Goody B.T.F. Srl,,,,"Piazza Cavalieri di Vittorio Veneto, 11, Buccinasco","piazza cavalieri di vittorio veneto, 11, buccinasco"
,,,,612,Ristorante Pizzeria New Paradise,1.0,4.0,784.0,"Via Roma, 20, Buccinasco","via roma, 20, buccinasco"
,,,,613,Domus Frau S.R.L.,,,,"Piazza Cavalieri di Vittorio Veneto, 23, Buccinasco","piazza cavalieri di vittorio veneto, 23, buccinasco"
,,,,618,Baia Blu Ristorante Pizzeria,1.0,3.8,585.0,"Via della Resistenza, 15/B, Buccinasco","via della resistenza, 15/b, buccinasco"
,,,,619,Bonaventura Music Club,2.0,4.2,261.0,"Via Modena, 15, Buccinasco","via modena, 15, buccinasco"
,,,,620,Osteria Del Mare,,,,"Via della Resistenza, 33, Peschiera Borromeo","via della resistenza, 33, peschiera borromeo"
,,,,622,Miyabi,,4.3,188.0,"Via della Resistenza, 15/b, Buccinasco","via della resistenza, 15/b, buccinasco"
,,,,635,Pizzeria Bruno Ottavio Vincenzo,,3.5,4.0,"Via Emilia, 1, Buccinasco","via emilia, 1, buccinasco"
,,,,636,MAESTRO ISTANBUL,1.0,3.9,162.0,"Via Emilia, 1, Buccinasco","via emilia, 1, buccinasco"
,,,,638,Food House Snc di Giglio Michele e C.,1.0,4.6,194.0,"Viale Lomellina, 1, Buccinasco","viale lomellina, 1, buccinasco"
,,,,646,Ecclesia Cafè,1.0,4.2,5.0,"Viale Lombardia, 8, Buccinasco","viale lombardia, 8, buccinasco"
,,,,653,American Barbecue Milano,,5.0,26.0,"Via Marzabotto, 3, Buccinasco","via marzabotto, 3, buccinasco"
,,,,661,Autogrill,2.0,3.4,1508.0,"Via del Mare, 34, Milano","via del mare, 34, milano"
,,,,676,Cristian Pizzeria Ristorante,1.0,4.1,279.0,"Via Nicola Romeo, 6, Milano","via nicola romeo, 6, milano"
,,,,685,Al Garghet,3.0,4.5,4218.0,"Via Selvanesco, 36, Milano","via selvanesco, 36, milano"
,,,,688,La Taverna,2.0,4.1,513.0,"Via Giuseppe Ripamonti, 340, Milano","via giuseppe ripamonti, 340, milano"
,,,,689,Jump In The Past di Pedonesi Rodolfo,,3.6,7.0,"Via Giuseppe Ripamonti, 334, Milano","via giuseppe ripamonti, 334, milano"
,,,,690,Carbonara Ristorante,,3.0,1.0,"Via Giuseppe Ripamonti, Milano","via giuseppe ripamonti, milano"
,,,,700,Caffè Minerva,2.0,4.1,1524.0,"Piazzale Supercortemaggiore, 3, San Donato Milanese","piazzale supercortemaggiore, 3, san donato milanese"
,,,,702,Hotel Santa Barbara,,4.2,831.0,"Piazzale Supercorte Maggiore, 4, San Donato Milanese","piazzale supercorte maggiore, 4, san donato milanese"
,,,,703,Nonna Emilia - Moderna Trattoria,2.0,4.1,2054.0,"Via Monte Bianco, 33, San Donato Milanese","via monte bianco, 33, san donato milanese"
,,,,704,Chemona,2.0,4.3,148.0,"Piazzale Supercortemaggiore, 2, San Donato Milanese","piazzale supercortemaggiore, 2, san donato milanese"
,,,,706,Banshee R.G.,2.0,3.9,1889.0,"Piazzale Supercortemaggiore, 2, San Donato Milanese","piazzale supercortemaggiore, 2, san donato milanese"
,,,,709,Rare GrillHouse,2.0,4.0,954.0,"Piazzale Supercortemaggiore, 4, San Donato Milanese","piazzale supercortemaggiore, 4, san donato milanese"
,,,,710,Kona 07 S.R.L.,,4.0,3.0,"Piazzale Supercortemaggiore, 2, San Donato Milanese","piazzale supercortemaggiore, 2, san donato milanese"
,,,,711,Melrose Japanese Bar,,,,"Piazzale Supercortemaggiore, 2, San Donato Milanese","piazzale supercortemaggiore, 2, san donato milanese"
,,,,712,Aurora Bar,1.0,4.5,190.0,"Via Salvemini, 1, San Donato Milanese","via salvemini, 1, san donato milanese"
,,,,716,Flower Poke San Donato M.,,4.1,91.0,"Via Monte Nero, 9, San Donato Milanese","via monte nero, 9, san donato milanese"
,,,,717,L'Italia in una Pizza,,4.6,39.0,"Via Monte Nero, 7, San Donato Milanese","via monte nero, 7, san donato milanese"
,,,,719,Ristorante Eolo,,4.4,151.0,"Via Monte Bianco, 8, San Donato Milanese","via monte bianco, 8, san donato milanese"
,,,,720,Eatery,,,,"Piazzale Supercorte Maggiore, San Donato Milanese","piazzale supercorte maggiore, san donato milanese"
,,,,741,PIZZA KEBAB AURORA,1.0,3.9,148.0,"Via Jannozzi, 50, San Donato Milanese","via jannozzi, 50, san donato milanese"
,,,,746,Bar Up 54,1.0,4.5,116.0,"Via Jannozzi, 54, San Donato Milanese","via jannozzi, 54, san donato milanese"
,,,,759,Osteria dei Vinattieri,2.0,4.4,714.0,"Via Unica Bolgiano, 3, San Donato Milanese","via unica bolgiano, 3, san donato milanese"
,,,,760,La Locanda del GianPy,2.0,4.4,451.0,"Via Unica Bolgiano, 4, San Donato Milanese","via unica bolgiano, 4, san donato milanese"
